"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",12868,-69,-464,-13,81.911,-0.528,139,"14",1,13951,1685,86.013
2,"=","DAVID GUETTA Without You f/Usher",12415,36,429,-79,73.291,0.595,80,"3",2,12424,1586,73.291
3,"=","ADELE Someone Like You",11842,-194,-1155,-173,74.784,-1.958,100,"5",2,13563,2614,91.686
4,"+1","COBRA STARSHIP You Make Me Feel... f/Sab...",11290,8,-226,40,64.489,-0.282,154,"18",4,11548,1097,70.438
5,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",11280,-40,-746,75,80.768,-0.223,129,"9",1,14127,1893,93.336
6,"=","RIHANNA We Found Love f/Calvin Harris",11227,276,1560,24,78.911,1.806,51,"1",6,11227,2184,78.911
7,"=","LMFAO Sexy And I Know It",10398,55,468,-41,65.756,0.319,80,"2",6,10398,1530,65.756
8,"=","DEV In The Dark",7757,-8,-97,39,50.613,0.154,109,"32",8,8037,1224,51.486
9,"=","FOSTER THE PEOPLE Pumped Up Kicks",7359,-178,-1195,-56,42.361,-1.31,124,"10",3,12112,1356,70.246
10,"+1","KATY PERRY The One That Got Away",6603,104,800,-40,41.762,0.744,39,"11",10,6603,1631,41.762
11,"-1","JASON DERULO It Girl",6562,-7,44,-46,28.634,-0.146,89,"16",10,6634,1048,29.284
12,"=","BRUNO MARS It Will Rain",6468,134,884,-16,36.99,0.78,43,"4",12,6468,1337,36.99
13,"=","FLO RIDA Good Feeling",5864,157,968,39,37.085,1.05,51,"6",13,5864,1207,37.085
14,"=","KELLY CLARKSON Mr. Know It All",5704,8,123,-89,28.646,0.115,72,"24",13,5782,1093,29.195
15,"=","LMFAO Party Rock Anthem",5208,-63,-592,37,34.124,-0.161,188,"17",1,14043,1859,94.193
16,"=","NICKI MINAJ Fly f/Rihanna",4743,-21,145,-118,25.239,0.215,58,"40",16,4764,987,25.465
17,"=","BAD MEETS EVIL Lighters f/Bruno Mars",3928,-138,-872,-74,25.89,-0.84,142,"100",2,11835,1599,78.403
18,"=","LADY GAGA You And I",3668,-163,-1969,178,18.388,-1.188,98,"33",7,7824,1553,44.474
19,"=","SELENA GOMEZ & THE SCENE Love You Like A...",3589,88,636,22,17.413,0.425,84,"47",19,3589,636,17.413
20,"=","BRITNEY SPEARS Criminal",3296,-48,-98,-52,14.556,-0.263,55,"57",19,3422,669,17.372
21,"=","T-PAIN 5 O'clock f/Wiz Khalifa",3219,126,693,42,19.743,0.228,38,"13",21,3219,693,19.743
22,"+1","GAVIN DEGRAW Not Over You",2710,60,466,-5,13.218,0.422,82,"35",22,2710,532,13.218
23,"+1","RIHANNA You Da One",2660,133,2660,133,30.776,1.548,4,"--",23,2660,2660,30.776
24,"-2","ALEXANDRA STAN Mr. Saxobeat",2582,-123,-769,-46,25.212,-1.081,114,"59",18,4585,673,38.816
25,"=","JESSIE J Domino",2409,40,381,5,12.756,0.408,60,"44",24,2409,381,12.756
26,"=","LADY ANTEBELLUM Just A Kiss",2353,48,443,-27,9.39,0.123,55,"39",24,2353,525,9.39
27,"=","DRAKE Headlines",2177,104,481,80,17.135,1.1,30,"25",26,2177,618,17.135
28,"=","BREATHE CAROLINA Blackout",1811,57,311,26,8.603,0.432,82,"87",27,1811,326,8.603
29,"=","HOT CHELLE RAE I Like It Like That f/New...",1737,43,215,16,6.727,0.101,46,"63",29,1737,407,6.727
30,"=","FRAY Heartbeat",1608,43,381,-82,7.176,0.295,19,"192",30,1608,677,7.176
31,"=","NICKELBACK When We Stand Together",1573,19,93,-15,5.212,-0.019,44,"52",30,1615,457,5.4
32,"+1","NICOLE SCHERZINGER Don't Hold Your Breat...",1476,24,-55,55,4.463,-0.061,50,"168",29,1562,446,5.007
33,"-1","ANDY GRAMMER Keep Your Head Up",1454,-100,-599,39,6.715,-0.36,142,"155",21,3215,355,13.959
34,"=","JENNIFER LOPEZ Papi",1408,-18,-21,-21,4.958,-0.262,38,"263",32,1477,488,6.062
35,"+1","J. COLE Workout",1325,76,375,37,15.573,0.987,22,"26",35,1325,375,15.573
36,"-1","OUTASIGHT Tonight Is The Night",1301,50,357,-28,5.799,0.127,14,"196",35,1301,500,5.799
37,"+4","LADY GAGA Marry The Night",1221,190,829,152,10.204,0.935,6,"291",37,1221,829,10.204
38,"-1","JAY Z & KANYE WEST N***** In Paris",1169,60,544,2,7.354,0.349,9,"19",37,1169,544,7.354
39,"=","PITBULL F/CHRIS BROWN International Love",1101,31,263,-18,7.155,0.111,12,"109",39,1101,418,7.155
40,"-2","BEYONCE Countdown",1101,9,76,-14,3.61,-0.016,31,"80",36,1101,255,3.693
41,"+1","AVRIL LAVIGNE Wish You Were Here",1080,71,492,36,3.861,0.252,9,"414",41,1080,492,3.861
42,"-2","THE SCRIPT Nothing",944,-91,-769,20,5.071,-0.534,108,"70",18,4360,722,20.667
43,"=","WE THE KINGS Say You Like Me",764,7,113,0,1.689,-0.004,57,"--",42,764,320,1.701
