"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",14199,49,437,-20,95.445,0.107,27,1,14199,2273,95.445
2,"=","KATY PERRY E.T.",12665,-99,-529,-30,86.801,-1.029,27,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",12358,-206,-843,-203,78.668,-1.049,27,2,13366,715,84.474
4,"+1","BRUNO MARS Lazy Song",11235,141,869,98,60.906,-0.007,27,4,11235,1054,60.913
5,"-1","BRITNEY SPEARS Till The World Ends",11017,-94,-531,-97,71.938,-0.547,27,3,11896,966,75.819
6,"+1","PITBULL Give Me Everything f/Ne-Yo",9845,225,1284,49,71.313,1.382,27,6,9845,1811,71.313
7,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",9663,-136,-400,-128,59.449,-1.099,27,5,10169,668,65.118
8,"=","TINIE TEMPAH Written In The Stars",7428,-185,-822,-98,41.406,-1.087,27,7,8819,756,54.175
9,"=","LUPE FIASCO The Show Goes On",6899,158,1005,94,42.091,0.768,27,9,6899,1005,42.091
10,"=","LADY GAGA The Edge Of Glory",6643,212,1271,93,40.188,1.05,27,10,6643,2193,40.188
11,"=","KE$HA Blow",5710,-151,-617,-9,35.429,-0.935,27,4,10135,0,56.264
12,"=","RIHANNA S&M",5543,-81,-528,76,37.062,-0.307,27,5,10081,0,64.524
13,"=","JESSIE J Price Tag f/B.O.B",5470,-153,-288,-129,26.631,-0.95,27,12,5959,582,30.453
14,"=","THE SCRIPT For The First Time",5118,-205,-797,-224,29.044,-0.639,27,11,6229,433,33.625
15,"=","JASON DERULO Don't Wanna Go Home",4867,144,1010,5,26.458,0.709,25,15,4867,1463,26.458
16,"=","LMFAO Party Rock Anthem",4836,168,1012,27,34.984,1.039,27,16,4836,1012,34.984
17,"=","WIZ KHALIFA Roll Up",4667,50,350,15,25.911,0.315,27,16,4667,725,25.911
18,"+2","HOT CHELLE RAE Tonight Tonight",4466,78,602,26,21.606,0.354,27,18,4466,643,21.606
19,"=","SELENA GOMEZ & THE SCENE Who Says",4407,9,274,-28,26.203,-0.088,27,17,4407,707,26.291
20,"-2","JEREMIH Down On Me f/50 Cent",4326,-159,-996,-45,24.997,-0.506,27,10,8052,153,44.2
