"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","TAYLOR SWIFT","Shake It Off",17128,"-80",-280,"-16",106.031,"-0.005",68,"1",1,17531,9016,110.142
2,"=","IGGY AZALEA","Black Widow f/Rita Ora",16666,"-331",-867,"-335",108.212,"-2.958",118,"30",1,17547,2437,115.226
3,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",15699,"+45",641,"-81",93.995,"-0.241",88,"9",3,15699,4716,94.236
4,"=","MEGHAN TRAINOR","All About That Bass",15300,"-163",-844,"-37",104.77,"-0.835",109,"3",1,17875,3030,116.17
5,"=","JEREMIH","Don't Tell 'Em f/YG",12553,"+2",265,"-32",73.006,"-0.774",97,"22",5,12620,1458,74.757
6,"=","TOVE LO","Habits (Stay High)",12417,"+128",945,"-42",84.687,"+0.722",124,"10",6,12417,1460,84.687
7,"=","ED SHEERAN","Don't",10467,"+27",564,"-99",64.107,"+0.326",104,"18",7,10467,1458,64.107
8,"+1","MAROON 5","Animals",8659,"+239",1555,"+18",56.107,"+2.319",32,"6",8,8659,2460,56.107
9,"-1","CALVIN HARRIS","Blame f/John Newman",8549,"+63",480,"+4",52.914,"+0.541",47,"26",8,8549,1988,52.914
10,"=","ECHOSMITH","Cool Kids",8280,"+5",-135,"+15",43.467,"-0.326",139,"13",8,8425,978,46.431
11,"+1","NICK JONAS","Jealous",7040,"+80",614,"-16",37.814,"+0.148",44,"16",11,7040,1846,37.814
12,"+1","JASON DERULO","Trumpets",6930,"+67",715,"+5",36.118,"+0.178",61,"8",12,6930,1238,36.118
13,"-2","ARIANA GRANDE","Break Free f/Zedd",6892,"-307",-2755,"+216",54.554,"-1.821",112,"45",4,14321,2327,87.942
14,"=","MR PROBZ","Waves",6818,"+89",623,"-14",49.433,"+0.790",104,"21",14,6818,1001,49.433
15,"=","CHARLI XCX","Boom Clap",6118,"-86",-1052,"+89",41.557,"-1.449",133,"54",1,16743,2210,108.049
16,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",5886,"-42",-310,"-2",53.854,"+0.320",149,"29",6,11598,1590,74.965
17,"+1","PITBULL","Fireball f/John Ryan",5486,"-30",99,"-105",25.733,"-0.161",83,"12",17,5516,739,26.223
18,"-1","5 SECONDS OF SUMMER","Amnesia",5355,"-195",-566,"-229",25.138,"-0.977",101,"48",14,5943,912,27.287
19,"=","SAM SMITH","I'm Not The Only One",4818,"+135",941,"+44",22.253,"+0.456",30,"14",19,4818,1424,22.253
20,"=","ONE DIRECTION","Steal My Girl",4486,"+27",652,"-79",17.63,"+0.264",26,"17",20,4486,2502,17.63
