"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","G-EAZY","Me Myself And I f/Bebe Rexha",15796,"-146",-455,"-164",95.097,"-0.049",103,"30",1,16250,1836,97.757
2,"=","DNCE","Cake By The Ocean",15760,"-3",814,"-98",92.576,"+0.013",202,"17",2,15763,1185,92.576
3,"=","ZAYN","Pillowtalk",15722,"+234",1109,"+141",90.244,"+1.643",81,"22",3,15722,2441,90.244
4,"=","MIKE POSNER","I Took A Pill In Ibiza",14818,"+92",1319,"-120",89.01,"+0.478",95,"7",4,14818,1578,89.01
5,"+1","LUKAS GRAHAM","7 Years",13742,"+385",2034,"+147",82.545,"+2.288",93,"1",5,13742,2034,82.545
6,"-1","JUSTIN BIEBER","Love Yourself",13500,"-126",-773,"-76",93.568,"-0.604",137,"25",1,19000,4103,124.28
7,"=","FLO RIDA","My House",12845,"-93",-1015,"+50",78.664,"-1.467",183,"10",1,18123,2285,104.909
8,"=","MEGHAN TRAINOR","NO",12456,"+106",724,"-23",69.393,"+0.610",46,"4",8,12456,5498,69.393
9,"=","FIFTH HARMONY","Work From Home",11150,"+110",963,"-46",63.403,"+0.675",53,"5",9,11150,4059,63.403
10,"=","TWENTY ONE PILOTS","Stressed Out",10784,"-143",-1695,"+89",79.525,"-0.292",156,"26",1,19140,2702,124.646
11,"+1","ZARA LARSSON & MNEK","Never Forget You",10086,"+83",527,"-97",60.616,"+0.563",76,"14",11,10086,1534,60.616
12,"-1","SELENA GOMEZ","Hands To Myself",9605,"-488",-3907,"+8",57.218,"-2.482",107,"60",1,16291,1952,91.457
13,"=","ARIANA GRANDE","Dangerous Woman",8370,"+141",967,"+39",47.627,"+0.954",39,"12",13,8370,4214,47.627
14,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8189,"+42",370,"-31",43.118,"+0.369",93,"27",13,8189,1239,43.118
15,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",6758,"+219",1845,"+21",42.007,"+1.503",37,"6",15,6758,1845,42.007
