"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17589,-38,67,-213,109.897,0.372,98,"34",1,17839,2441,109.897
2,"=","MIKE POSNER","I Took A Pill In Ibiza",17529,142,970,-165,108.326,0.808,112,"11",2,17529,1578,108.326
3,"=","LUKAS GRAHAM","7 Years",17351,54,905,-242,105.287,-0.695,110,"8",3,17351,2077,105.982
4,"=","FIFTH HARMONY","Work From Home",13632,275,1275,82,78.441,0.854,70,"12",4,13632,4059,78.441
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",11121,-166,-2235,170,69.516,-0.583,120,"67",1,16250,1836,97.757
6,"=","ZARA LARSSON & MNEK","Never Forget You",11037,44,281,-80,65.119,0.561,93,"21",6,11037,1534,65.119
7,"=","JUSTIN BIEBER","Love Yourself",10706,-179,-1272,-116,72.615,-0.86,154,"47",1,19000,4103,124.28
8,"=","DNCE","Cake By The Ocean",10592,-272,-2925,145,62.242,-1.631,219,"24",2,15763,1185,92.576
9,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",10359,238,1418,0,65.265,1.302,54,"9",9,10359,1906,65.265
10,"+1","FLO RIDA","My House",9805,-178,-1227,-104,63.219,-1.199,200,"19",1,18123,2285,104.909
11,"+1","ARIANA GRANDE","Dangerous Woman",9753,33,435,-131,55.441,0.038,56,"16",11,9753,4214,55.441
12,"-2","MEGHAN TRAINOR","NO",9331,-697,-2784,-698,47.066,-4.01,63,"13",7,12552,5498,69.649
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8572,-47,14,-183,47.269,0.444,110,"43",12,8717,1239,47.269
14,"=","DRAKE","One Dance f/Wizkid & Kyla",7559,293,2345,-56,49.164,1.357,26,"2",14,7559,2494,49.164
15,"=","NICK JONAS","Close f/Tove Lo",7154,31,415,-105,34.033,-0.095,42,"26",14,7154,3392,34.128
16,"=","ALESSIA CARA","Wild Things",6017,20,280,-48,30.696,0.175,96,"79",16,6017,814,30.696
17,"=","JASON DERULO","If It Ain't Love",5777,33,308,-61,28.046,0.032,35,"92",17,5777,2192,28.046
18,"=","SELENA GOMEZ","Hands To Myself",5616,-109,-1100,13,35.265,-0.378,124,"128",1,16291,1952,91.457
19,"=","JAMES BAY","Let It Go",5433,115,590,-18,31.369,0.726,75,"20",19,5433,885,31.369
20,"=","RUTH B.","Lost Boy",4063,74,505,-17,19.006,0.136,81,"14",20,4063,534,19.006
21,"+3","CALVIN HARRIS","This Is What You... f/Rihanna",3960,623,3960,623,35.301,4.157,7,"5",21,3960,3960,35.301
22,"-1","PINK","Just Like Fire",3908,78,750,-77,18.63,0.3,21,"18",21,3908,2189,18.63
23,"-1","IGGY AZALEA","Team",3488,-16,-94,-39,11.795,-0.283,47,"97",21,3649,1132,12.711
