"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","SHAWN MENDES","Stitches",17959,50,687,-3,106.546,0,170,"9",1,17959,2130,106.546
2,"=","TAYLOR SWIFT","Wildest Dreams",17710,-124,-956,-117,108.078,-0.094,73,"13",1,18848,3531,112.715
3,"=","THE WEEKND","The Hills",15578,-279,-1514,-172,98.345,-1.369,98,"16",2,17451,2705,105.256
4,"=","JUSTIN BIEBER","What Do You Mean?",14610,-273,-2151,9,90.5,-1.581,72,"12",1,18691,5900,114.523
5,"=","DRAKE","Hotline Bling",13614,213,2256,-121,80.276,1.055,55,"4",5,13614,2377,80.276
6,"=","ELLIE GOULDING","On My Mind",10948,268,1197,241,60.891,1.607,52,"14",6,10948,3457,60.891
7,"=","ELLE KING","Ex's and Oh's",10138,159,1453,-15,60.422,1.161,86,"8",7,10138,1468,60.422
8,"=","ALESSIA CARA","Here",10087,195,1451,41,61.009,1.844,112,"19",8,10087,1451,61.009
9,"=","X AMBASSADORS","Renegades",9936,109,635,145,48.853,0.162,90,"37",8,9936,1573,48.853
10,"+1","SELENA GOMEZ","Same Old Love",9877,244,1762,124,58.466,2.137,54,"15",10,9877,1762,58.466
11,"-1","ONE DIRECTION","Drag Me Down",9582,-229,-774,-192,48.375,-1.002,100,"29",5,10402,3358,53.211
12,"=","ADELE","Hello",9440,783,4681,232,58.139,3.935,16,"1",12,9440,4698,58.139
13,"=","R. CITY","Locked Away f/Adam Levine",7586,-258,-1494,-76,47.739,-1.248,121,"30",1,17400,2155,103.625
14,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",7503,132,1145,-49,38.242,0.585,132,"6",14,7503,1248,38.242
15,"=","CALVIN HARRIS + DISCIPLES","How Deep Is Your Love",7258,-41,-77,-90,46.145,-0.598,105,"47",14,7390,1033,48.997
16,"=","SELENA GOMEZ","Good For You f/A$AP Rocky",7128,-86,-1144,117,51.233,-0.678,139,"89",1,18426,4663,107.401
17,"+1","JUSTIN BIEBER","Sorry",6917,371,2255,48,40.788,1.698,17,"5/56",17,6917,3902,40.788
18,"-1","DEMI LOVATO","Confident",6811,122,890,6,35.323,0.512,38,"44",17,6811,1761,35.323
19,"+1","RUDIMENTAL","Lay It All On Me f/Ed Sheeran",5606,196,826,127,27.21,1.115,39,"53",19,5606,1343,27.21
