"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","JOHN LEGEND","All Of Me",17212,"-21",256,"-97",121.78,"+0.253",87,"2",1,17233,2520,121.78
2,"=","JASON DERULO","Talk Dirty f/2 Chainz",15853,"-47",-755,"+46",109.671,"-0.350",118,"9/26",1,16827,2775,114.964
3,"=","PHARRELL WILLIAMS","Happy",14912,"-102",-706,"+101",99.443,"-0.597",98,"1",1,17173,2414,120.293
4,"=","KATY PERRY","Dark Horse",12348,"-82",-969,"+38",96.714,"-0.398",155,"7",1,17515,2780,123.167
5,"=","JUSTIN TIMBERLAKE","Not A Bad Thing",11668,"+188",1333,"-58",70.454,"+1.125",62,"8",5,11668,2024,70.454
6,"=","AMERICAN AUTHORS","Best Day Of My Life",10674,"+97",735,"-61",60.439,"+0.649",138,"20",6,10674,1116,60.439
7,"=","DEMI LOVATO","Neon Lights",10288,"-157",-346,"-200",62.077,"-0.569",149,"51",5,10638,1162,63.06
8,"=","BASTILLE","Pompeii",8667,"-162",-747,"-53",67.307,"-0.498",169,"21",3,15079,1804,100.897
9,"=","AVICII","Hey Brother",8243,"-158",-227,"-238",49.249,"-1.211",142,"23",9,8638,816,52.005
10,"=","LORDE","Team",7988,"-173",-1650,"+103",59.729,"-1.021",154,"45",1,16451,1641,108.342
11,"=","PARAMORE","Ain't It Fun",7723,"+94",928,"-31",50.571,"+1.043",77,"12",11,7723,978,50.571
12,"=","MARTIN GARRIX","Animals",7312,"-9",19,"+1",41.415,"-0.203",146,"27",12,7393,993,43.39
13,"=","NAUGHTY BOY","La La La f/Sam Smith",7299,"+67",340,"+43",40.68,"+0.488",104,"11",13,7299,984,40.68
14,"+1","RIXTON","Me And My Broken Heart",6886,"+68",761,"-41",37.995,"+0.298",55,"24",14,6886,1397,37.995
15,"-1","ALOE BLACC","The Man",6628,"-341",-1839,"-151",29.139,"-1.473",94,"14",8,9064,1722,43.362
16,"=","ED SHEERAN","Sing",6544,"+286",2496,"-52",42.553,"+1.427",18,"10",16,6544,2778,42.553
17,"+2","DJ SNAKE & LIL JON","Turn Down For What",5588,"+173",1112,"+30",37.328,"+1.049",97,"3",17,5588,1115,37.328
18,"-1","PITBULL","Wild Wild Love f/GRL",5588,"+96",773,"+30",35.526,"+0.292",55,"17",17,5588,1068,35.526
19,"-1","TIESTO","Red Lights",5483,"+26",555,"-101",33.586,"-0.137",64,"66",16,5483,850,33.723
20,"=","MKTO","Classic",5003,"+78",599,"-4",25.54,"+0.453",146,"16",19,5003,603,25.54
21,"=","AUSTIN MAHONE","Mmm Yeah f/Pitbull",4677,"-54",104,"-125",19.686,"-0.192",81,"31",18,4731,764,20.02
22,"=","5 SECONDS OF SUMMER","She Looks So Perfect",3940,"+106",805,"-1",18.627,"+0.365",33,"30",22,3940,1186,18.627
23,"=","IGGY AZALEA","Fancy f/Charlie XCX",3542,"+194",1144,"+81",22.169,"+1.140",36,"4",23,3542,1144,22.169
24,"=","CALVIN HARRIS","Summer",3371,"+93",671,"+17",27.039,"+0.501",36,"19",23,3371,763,27.039
25,"=","NICO & VINZ","Am I Wrong",3218,"+108",700,"-24",15.726,"+0.481",25,"15",25,3218,1022,15.726
26,"+1","KATY PERRY","Birthday",2955,"+284",1720,"+111",20.803,"+1.577",20,"76",26,2955,1720,20.803
27,"-1","NEON TREES","Sleeping With A Friend",2887,"+23",245,"+9",13.024,"+0.214",80,"36",24,2887,507,13.024
28,"=","DISCLOSURE","Latch f/Sam Smith",2633,"+39",237,"+7",12.421,"+0.207",83,"33",27,2633,344,12.421
29,"+1","LADY GAGA","G.U.Y.",1933,"-6",206,"-52",7.013,"-0.061",27,"--",29,1939,816,7.227
30,"-1","B.O.B","John Doe f/Priscilla",1838,"-145",-506,"-148",8.707,"-0.786",67,"47",25,2490,644,12.96
31,"+1","KID INK","Show Me f/Chris Brown",1753,"-10",-557,"+165",13.916,"-0.213",111,"68",19,3945,644,21.33
32,"+2","KATY TIZ","The Big Bang",1609,"+71",262,"+66",11.553,"+0.744",31,"154",32,1609,878,11.553
33,"-2","EMINEM","Headlights",1586,"-180",-920,"-123",6.834,"-0.810",70,"88",23,2731,453,13.933
34,"-1","THE CHAINSMOKERS","#Selfie",1496,"-246",-2375,"+71",6.355,"-0.633",68,"37",13,6173,1709,33.093
35,"=","HOT CHELLE RAE","Don't Say Goodnight",1370,"-9",12,"-28",5.386,"-0.007",50,"390",35,1379,225,6.003
36,"=","SHAKIRA","Empire",1275,"-4",171,"-3",7.143,"-0.053",29,"35",36,1279,494,7.445
37,"=","NEW HOLLOW","She Ain't You",1190,"+1",121,"-16",3.497,"-0.017",41,"--",37,1190,181,3.514
38,"=","KONGOS","Come With Me Now",1130,"+51",589,"-39",4.558,"-0.105",8,"52",38,1130,628,4.663
39,"=","MAGIC!","Rude",1092,"+77",507,"+27",8.194,"+0.673",10,"98",39,1092,507,8.194
40,"+1","CHRISTINA PERRI","Human",974,"+19",56,"+19",3.163,"+0.107",46,"22",39,974,136,3.163
41,"-1","CASH CASH","Take Me Home f/Bebe Rexha",959,"-49",-748,"+108",6.659,"-0.265",160,"162",13,6726,1074,37.25
42,"=","AFROJACK","Ten Feet Tall f/Wrabel",879,"+20",145,"-13",2.9,"+0.131",27,"--",42,879,192,2.9
43,"=","BEYONCE","Drunk In Love f/Jay Z",778,"-42",-531,"+19",6.58,"-0.235",97,"60",12,7095,1663,41.601
44,"=","AJR","I'm Ready",741,"+29",117,"+13",1.697,"+0.108",15,"256",44,741,190,1.697
45,"=","MY CRAZY GIRLFRIEND","Crazy Stupid Love",657,"+5",232,"-61",1.4,"-0.141",6,"--",45,657,314,1.541
46,"+1","CHRIS BROWN","Loyal f/Lil' Wayne",647,"+30",144,"+38",2.776,"+0.187",29,"67",46,647,144,2.776
47,"+2","SIA","Chandelier",584,"+36",182,"+3",2.815,"+0.043",6,"--",47,584,313,3.488
48,"=","HAIM","Forever",577,"+11",208,"-38",2.197,"-0.030",4,"--",48,577,264,2.227
49,"-3","ZEDD","Find You f/M. Koma & M. Bryant",562,"-73",-664,"+19",3.19,"-0.193",62,"222",33,1570,262,7.838
50,"--","ONE DIRECTION","You & I",532,"--",412,"--",2.306,"--",1,"165",50,532,412,2.306
