"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","CARLY RAE JEPSEN Call Me Maybe",14417,"+140",1347,"-95",110.311,"+1.090",94,"1",1,14417,1711,110.311
2,"=","GOTYE Somebody That I Used To Know",13589,"-104",-452,"-109",101.926,"-0.805",104,"4",1,14242,2018,106.819
3,"=","MAROON 5 Payphone f/Wiz Khalifa",12529,"+188",1161,"+11",88.399,"+0.823",58,"5",3,12529,3415,88.399
4,"=","ONE DIRECTION What Makes You Beautiful",11707,"-49",-133,"-58",80.433,"+0.056",105,"8",3,11838,1579,80.433
5,"=","NICKI MINAJ Starships",10467,"-249",-966,"-83",76.822,"-1.424",120,"26/43",3,12071,1834,87.938
6,"=","FUN. We Are Young f/Janelle Monae",9825,"-101",-1538,"+138",72.121,"-1.045",112,"16",1,14439,2738,110.772
7,"=","FLO RIDA Wild Ones f/Sia",8633,"-138",-638,"-33",68.636,"-0.824",130,"13",2,12595,1940,93.589
8,"=","RIHANNA Where Have You Been",8150,"+104",853,"-26",64.891,"+0.893",59,"7",8,8150,1884,64.891
9,"+1","JUSTIN BIEBER Boyfriend",7702,"+61",215,"-15",51.515,"+0.509",79,"9",9,7937,4726,51.515
10,"+1","USHER Scream",7615,"+2",182,"-48",52.496,"-0.006",48,"14",9,7615,2323,52.502
11,"-2","WANTED Glad You Came",7600,"-80",-676,"-22",59.164,"-0.204",157,"29",1,13712,1363,101.962
12,"=","KARMIN Broken Hearted",7316,"-4",79,"-29",45.047,"-0.520",115,"15",10,7320,936,47.276
13,"=","ELLIE GOULDING Lights",6825,"+196",736,"+151",47.401,"+2.063",124,"11",13,6825,786,47.401
14,"=","KATY PERRY Wide Awake",6316,"+177",1349,"-101",46.77,"+0.910",22,"3",14,6316,2824,46.77
15,"=","PITBULL Back In Time",6031,"+129",432,"+123",38.922,"+0.921",76,"6",14,6031,925,38.922
16,"=","DAVID GUETTA Titanium f/Sia",5702,"+77",616,"-56",39.297,"+0.474",66,"12",16,5702,987,39.297
17,"=","GYM CLASS HEROES Fighter f/Ryan Tedder",5299,"+46",444,"-50",33.679,"+0.081",44,"24",17,5299,1441,33.679
18,"=","TRAIN Drive By",5048,"-203",-818,"-111",30.526,"-0.961",150,"22",13,6123,601,36.311
19,"=","KATY PERRY Part Of Me",4527,"-91",-596,"+76",31.641,"-0.902",121,"59",3,12039,3625,78.553
20,"=","DEMI LOVATO Give Your Heart A Break",3834,"-1",127,"-32",27.513,"+0.340",105,"27",20,3835,665,27.513
21,"=","ADELE Rumour Has It",3402,"-80",-983,"+89",24.002,"-0.821",101,"56",8,8497,1514,56.313
22,"+1","ONE DIRECTION One Thing",3368,"+136",799,"+18",18.357,"+0.453",38,"40",22,3368,975,18.357
23,"-1","CALVIN HARRIS Feel So Close",3280,"-143",-931,"-60",23.304,"-0.839",125,"34",7,8145,1329,55.352
24,"=","CALVIN HARRIS Let's Go f/Ne-Yo",3269,"+108",608,"+59",24.511,"+0.706",46,"55",23,3269,836,24.511
25,"=","HAVANA BROWN We Run The Night f/Pitbull",3032,"+54",184,"+46",23.621,"+0.336",122,"41",24,3032,278,23.621
26,"=","RITA ORA How We Do (Party)",2816,"+117",288,"+118",15.378,"+0.434",48,"62",25,2816,620,15.378
27,"=","B.O.B Both Of Us f/Taylor Swift",1881,"+29",420,"-78",10.979,"+0.217",31,"44",27,1881,536,10.979
28,"=","KIRKO BANGZ Drank In My Cup",1801,"-14",22,"-37",9.67,"-0.009",71,"78",28,1815,312,9.679
29,"=","THE WANTED Chasing The Sun",1645,"+23",119,"-37",11.987,"-0.036",40,"83",29,1645,423,12.074
30,"=","NEON TREES Everybody Talks",1610,"+20",188,"-14",9.298,"+0.285",65,"19",30,1610,240,9.298
31,"+1","CHER LLOYD Want U Back",1405,"+91",336,"+37",8.413,"+0.484",32,"61",31,1405,345,8.413
32,"-1","GROUPLOVE Tongue Tied",1368,"+11",104,"+9",8.876,"+0.236",50,"53",31,1368,284,8.876
33,"=","JASON MRAZ I Won't Give Up",1273,"+48",201,"+35",6.303,"+0.261",59,"23",33,1273,210,6.303
34,"=","DRAKE The Motto f/Lil Wayne",1194,"-9",-54,"+13",13.919,"+0.054",115,"52",25,2047,321,19.147
35,"=","COLDPLAY Paradise",918,"-4",-22,"-11",5.812,"-0.036",84,"58",35,943,255,5.988
36,"=","OUTASIGHT Now Or Never",865,"+10",118,"-11",2.614,"+0.051",34,"--",36,865,206,2.614
37,"=","SAMMY ADAMS Only One",806,"+12",110,"-11",3.62,"-0.013",25,"--",37,806,230,3.633
38,"+1","ALEX CLARE Too Close",590,"+37",175,"+13",1.527,"+0.048",15,"48",38,590,194,1.527
39,"-1","CHRIS RENE Young Homie",550,"-67",-539,"+74",2.537,"-0.334",94,"174",25,1933,226,8.787
40,"+2","KELLY CLARKSON Dark Side",515,"+65",406,"+33",2.553,"+0.289",4,"296",40,515,406,2.553
41,"-1","FLO RIDA Whistle",492,"+30",212,"-3",3.406,"+0.107",8,"79",40,492,215,3.406
42,"+4","LINKIN PARK Burn It Down",438,"+28",163,"+7",1.249,"+0.074",7,"75",42,438,163,1.249
43,"=","CHIDDY BANG Mind Your Manners f/Icona Po...",437,"-1",35,"-18",1.272,"-0.070",21,"--",41,438,99,1.342
44,"=","JAY SEAN I'm All Yours f/Pitbull",436,"+2",89,"-15",0.947,"+0.002",13,"386",42,436,205,0.947
45,"-4","JENNIFER LOPEZ Dance Again f/Pitbull",431,"-28",-225,"-18",3.255,"-0.060",75,"60",17,4851,2243,30.831
46,"-1","THE CAB La La",407,"-5",13,"-8",0.983,"-0.010",67,"--",43,412,82,0.995
47,"=","SEAN KINGSTON Back 2 Life (Live It Up) f...",393,"+38",305,"+18",2.007,"+0.216",3,"163",47,393,305,2.007
48,"--","BREATHE CAROLINA Hit And Run",368,"--",266,"--",0.694,"--",1,"--",48,368,266,0.694
49,"=","STEFANO I'm On A Roll f/New Boyz",354,"+17",43,"+2",0.73,"+0.073",10,"--",47,354,128,0.73
50,"=","FUN. Some Nights",346,"+13",99,"-12",2.039,"+0.076",3,"35",49,346,115,2.039
