"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FUN. We Are Young f/Janelle Monae",14348,"+122",941,"+64",108.06,"+0.724",61,"3",1,14348,2738,108.06
2,"=","WANTED Glad You Came",13653,"+15",76,"+20",100.53,"-0.204",106,"8",1,13712,1363,101.962
3,"=","KATY PERRY Part Of Me",11925,"-3",184,"-61",76.976,"+0.358",70,"15",3,11928,3625,77.218
4,"=","FLO RIDA Wild Ones f/Sia",11429,"+161",1579,"-91",80.462,"+0.619",79,"7",4,11429,1940,80.462
5,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",9778,"-238",-1670,"-172",74.532,"-1.543",106,"18",1,13549,2321,99.332
6,"=","NICKI MINAJ Starships",8513,"+161",1005,"+90",64.642,"+0.450",69,"11/40",6,8513,1834,64.642
7,"=","ONE DIRECTION What Makes You Beautiful",8336,"+96",869,"+35",53.895,"+0.191",54,"6",7,8336,1579,53.895
8,"=","CALVIN HARRIS Feel So Close",8069,"+8",327,"+10",54.667,"-0.170",74,"22",7,8069,1329,55.352
9,"=","JUSTIN BIEBER Boyfriend",7911,"+84",479,"+69",50.153,"-0.090",28,"5",9,7911,4726,51.492
10,"=","ADELE Rumour Has It",7690,"+187",1181,"+87",51.459,"+1.784",50,"21",10,7690,1514,51.459
11,"=","GOTYE Somebody That I Used To Know",7645,"+193",1418,"+46",56.264,"+1.829",53,"2",11,7645,1560,56.264
12,"=","DRAKE Take Care f/Rihanna",7324,"-17",-240,"+30",59.433,"+0.040",107,"27",8,7620,1220,60.618
13,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",6867,"-358",-2016,"-234",53.92,"-1.289",134,"54",2,12506,1674,92.019
14,"=","GYM CLASS HEROES Ass Back Home",6513,"-364",-2345,"-103",51.336,"-1.956",151,"62",4,11001,1379,73.574
15,"=","CARLY RAE JEPSEN Call Me Maybe",5635,"+144",780,"-94",38.094,"+0.891",43,"4",15,5635,1298,38.094
16,"=","KARMIN Broken Hearted",5522,"+72",228,"-18",33.631,"+0.297",64,"25",15,5522,936,33.631
17,"=","TRAIN Drive By",5414,"+64",448,"+10",31.367,"+0.239",99,"9",17,5414,601,31.367
18,"+1","B.O.B So Good",4594,"-51",76,"-146",31.004,"-0.314",51,"12",18,4675,1013,31.923
19,"+1","JENNIFER LOPEZ Dance Again f/Pitbull",4487,"+120",578,"-52",30.013,"+0.895",24,"17",19,4487,2243,30.013
20,"+1","TAYLOR SWIFT Eyes Open",3925,"+20",182,"-120",22.305,"+0.080",29,"13",20,3925,1442,22.305
21,"+2","MAROON 5 Payphone f/Wiz Khalifa",3220,"+506",3220,"+506",23.312,"+3.676",7,"1",21,3220,3220,23.312
22,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",2851,"-97",-760,"+45",18.863,"-0.556",151,"29",10,7182,1174,48.863
23,"+1","PITBULL Back In Time",2507,"+76",402,"-86",14.056,"+0.606",25,"39",23,2507,916,14.056
24,"+1","ELLIE GOULDING Lights",2151,"+12",142,"-46",12.761,"+0.324",73,"43",24,2151,431,12.761
25,"+1","DRAKE The Motto f/Lil Wayne",1937,"+10",197,"-13",18.172,"-0.140",64,"26",25,1944,321,18.389
26,"+2","DEMI LOVATO Give Your Heart A Break",1882,"+94",300,"+62",13.075,"+0.966",54,"59",26,1882,362,13.075
27,"=","CHRIS BROWN Turn Up The Music",1814,"-105",-851,"+33",15.219,"-0.826",82,"56",17,4894,987,33.507
28,"+1","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",1638,"-29",-17,"-127",8.507,"-0.195",50,"--",27,1740,461,9.538
29,"+1","HAVANA BROWN We Run The Night f/Pitbull",1614,"-6",112,"-24",12.001,"+0.134",71,"106",27,1632,237,12.001
30,"+1","NEON HITCH F U Betta",1381,"+41",168,"+34",4.44,"+0.194",50,"547",30,1381,215,4.44
31,"+1","CHRIS RENE Young Homie",1339,"+32",168,"+6",5.12,"+0.194",43,"121",31,1339,213,5.12
32,"+1","RIHANNA Talk That Talk f/Jay Z",1100,"-51",-323,"+44",7.159,"-0.144",76,"93",24,2226,339,12.882
33,"+2","DAVID GUETTA Titanium f/Sia",962,"+81",398,"+9",6.522,"+0.335",15,"74",33,962,497,6.522
34,"=","HOT CHELLE RAE Honestly",903,"+18",106,"-8",3.508,"+0.098",22,"262",34,903,284,3.508
35,"+3","RIHANNA Where Have You Been",813,"+120",574,"+81",8.614,"+1.155",8,"171",35,813,574,8.614
36,"=","USHER Climax",806,"-41",-99,"-54",2.907,"-0.205",36,"32",34,905,348,3.895
37,"=","CHRISTINA PERRI A Thousand Years",718,"-77",-262,"-38",3.225,"-0.720",109,"52",23,2055,280,9.423
38,"+1","WALLPAPER F**king Best Song Everrr",627,"-57",-275,"-52",2.199,"-0.307",38,"--",34,908,262,3.847
