"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL","Timber f/Ke$ha",16172,-158,-712,-202,110.614,-1.679,106,"15",1,16901,2001,117.778
2,"=","ONEREPUBLIC","Counting Stars",15663,6,-382,86,109.704,-0.013,108,"21",1,16524,2609,113.696
3,"=","EMINEM","The Monster f/Rih...",14047,-416,-1596,-343,97.353,-2.407,91,"35/96",1,16414,2904,117.022
4,"=","ELLIE GOULDING","Burn",13144,197,788,-26,90.122,0.391,114,"28",4,13144,1574,90.122
5,"=","KATY PERRY","Dark Horse",12348,266,1683,-107,87.762,2.398,67,"1",5,12348,2297,87.762
6,"=","ONE DIRECTION","Story Of My Life",10859,221,699,136,75.623,0.948,90,"30",6,10859,1292,75.623
7,"=","ZEDD","Stay The Night f/...",9695,-78,-408,-76,61.173,-0.383,121,"63",5,10105,1238,64.483
8,"=","PASSENGER","Let Her Go",9670,38,185,-62,58.572,-0.316,121,"22",8,9673,1223,59.781
9,"=","LADY GAGA","Do What U Want f/...",9213,-143,-770,-150,48.516,-1.706,91,"58",7,9983,1408,60.79
10,"=","LORDE","Team",9058,106,673,-61,62.749,1.07,66,"14",10,9058,1348,62.749
11,"=","A GREAT BIG WORLD","Say Something w/C...",8734,60,530,-156,57.654,0.333,67,"16/79",11,8734,1506,57.654
12,"=","IMAGINE DRAGONS","Demons",7034,-258,-1755,90,46.276,-1.723,149,"27",1,14595,1982,96.313
13,"=","BASTILLE","Pompeii",6995,65,468,-28,45.63,1.135,81,"12",13,6995,1030,45.63
14,"=","MACKLEMORE & RYAN...","White Walls f/ScH...",6133,-202,-964,-199,31.547,-1.085,136,"38",12,7258,764,39.457
15,"=","BRUNO MARS","Young Girls",5694,63,835,-74,32.128,0.63,46,"69",15,5694,938,32.128
16,"=","JOHN NEWMAN","Love Me Again",5592,42,388,-30,31.571,0.202,116,"37",15,5592,697,31.571
17,"=","BEYONCE","XO",5097,-24,231,-150,27.662,-0.794,39,"54",16,5121,1464,29.475
18,"=","MILEY CYRUS","Adore You",4737,89,656,-104,23.591,0.593,33,"32",18,4737,1542,23.591
19,"=","JASON DERULO","Talk Dirty f/2 Ch...",4592,266,1392,39,35.339,1.895,30,"10",19,4592,1471,35.339
20,"=","ZENDAYA","Replay",3718,13,147,-64,12.883,0.121,103,"52",20,3727,472,13.025
21,"=","DEMI LOVATO","Neon Lights",3681,-7,532,-139,20.663,-0.197,61,"73",21,3688,671,20.86
22,"=","MILEY CYRUS","Wrecking Ball",3367,-146,-589,-44,19.451,-1.356,139,"60",1,15459,2954,107.57
23,"=","CASH CASH","Take Me Home f/Be...",3280,122,312,60,22.049,0.749,72,"110",23,3280,836,22.049
24,"=","SARA BAREILLES","Brave",3136,30,113,26,17.183,0.156,149,"11",21,3136,380,19.453
25,"=","CALVIN HARRIS","Thinking About Yo...",3032,-23,155,-70,20.301,0.279,88,"173",23,3055,605,20.301
26,"=","AVICII","Hey Brother",2556,118,443,99,14.533,0.376,54,"36",26,2556,443,14.533
27,"+1","SHAKIRA F/RIHANNA","Can't Remember To...",2397,105,1232,788,15.687,0.089,15,"94",27,2397,1848,20.193
28,"-1","THE 1975","Chocolate",2327,15,91,-41,10.468,0.17,65,"107",26,2327,389,10.468
29,"+1","PHARRELL WILLIAMS","Happy",1976,248,1156,124,18.03,2.201,10,"2",29,1976,1156,18.03
30,"-1","AMERICAN AUTHORS","Best Day Of My Li...",1925,32,224,25,9.551,0.208,50,"40",29,1925,394,9.551
31,"=","MARTIN GARRIX","Animals",1411,24,170,3,11.795,0,58,"61",31,1411,402,11.795
32,"+2","ALOE BLACC","The Man",1363,202,1116,143,7.956,1.16,6,"17",32,1363,1116,7.956
33,"-1","CHRIS WALLACE","Keep Me Crazy",1356,15,100,-10,3.071,0.009,146,"--",31,1356,138,3.11
34,"-1","MKTO","Classic",1218,9,156,-8,3.261,0.001,58,"118",33,1218,164,3.261
35,"+1","KID INK","Show Me f/Chris B...",1134,72,287,43,6.944,0.713,23,"47",35,1134,320,6.944
36,"+1","NONONO","Pumpin Blood",1081,23,210,-27,3.93,0.219,49,"--",36,1081,237,3.93
37,"-2","FLO RIDA","How I Feel",988,-143,-1398,-46,4.55,-0.745,81,"142",23,2794,547,12.521
38,"=","NAUGHTY BOY","La La La f/Sam Sm...",947,23,217,-45,3.035,0.31,16,"--",38,947,389,3.035
39,"=","KATY PERRY","Unconditionally",763,-6,-85,57,4.038,-0.013,101,"56",8,8987,3384,51.293
40,"=","FALL OUT BOY","Alone Together",719,-34,-732,184,3.33,-0.157,162,"133",22,3296,471,18.251
41,"=","DJ SNAKE & LIL JO...","Turn Down For Wha...",703,5,179,-55,2.875,0.063,9,"34",41,703,353,2.875
