"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY The One That Got Away",13316,-28,-42,-17,79.651,-0.15,112,"32",1,13402,1631,80.623
2,"=","BRUNO MARS It Will Rain",13022,-218,-555,-220,79.473,-1.471,116,"15",1,13635,2024,86.477
3,"=","FLO RIDA Good Feeling",12939,-6,168,-44,85.406,0.036,124,"5",3,12995,1657,85.747
4,"=","RIHANNA We Found Love f/Calvin Harris",12787,-66,-673,10,87.478,-0.722,124,"10",1,14238,2184,95.593
5,"=","ADELE Set Fire To The Rain",11007,179,1269,-57,71.036,0.918,63,"3",5,11007,2301,71.036
6,"=","SELENA GOMEZ & THE SCENE Love You Like A...",9111,-12,35,-37,48.131,0.086,157,"29",6,9123,1208,48.131
7,"=","JESSIE J Domino",8756,128,867,-22,52.24,0.747,133,"7",7,8756,1524,52.24
8,"=","LMFAO Sexy And I Know It",8091,-148,-810,-31,53.114,-0.946,153,"9",2,12000,1530,74.768
9,"=","DAVID GUETTA Without You f/Usher",7322,-103,-710,-14,45.967,-0.53,153,"40",1,13428,1586,84.476
10,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",6220,227,1166,104,39.762,1.295,47,"2",10,6220,1674,39.762
11,"-1","GAVIN DEGRAW Not Over You",6163,60,291,43,31.839,0.391,155,"16",10,6163,547,31.839
12,"=","J. COLE Workout",5758,-14,236,-50,33.703,-0.025,95,"24",12,5772,659,34.202
13,"+1","GYM CLASS HEROES Ass Back Home",5635,56,776,-57,35.983,0.771,64,"12",13,5635,1379,35.983
14,"-1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",5562,-79,-943,44,34.449,-0.231,212,"39",1,13951,1685,86.013
15,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5373,-53,-207,-63,34.597,-0.137,202,"19",1,14127,1893,93.336
16,"=","PITBULL F/CHRIS BROWN International Love",5267,130,824,75,34.583,1.013,85,"8",16,5267,1058,34.583
17,"=","JAY Z & KANYE WEST N***** In Paris",5134,36,332,-31,36.484,-0.118,82,"13",15,5134,785,36.602
18,"=","HOT CHELLE RAE I Like It Like That f/New...",4933,47,334,-4,22.475,0.187,119,"27",17,4933,639,22.475
19,"+1","BREATHE CAROLINA Blackout",4499,81,161,112,24.066,-0.216,155,"26",19,4499,498,24.36
20,"-1","RIHANNA You Da One",4477,-60,-78,-59,23.108,-0.445,77,"30",17,4573,3394,36.963
21,"=","OUTASIGHT Tonight Is The Night",3794,28,225,19,18.921,0.24,87,"31",21,3794,506,18.921
22,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",3525,118,1158,-76,21.262,1.026,19,"1",22,3525,1410,21.262
23,"=","FRAY Heartbeat",3143,23,203,-43,13.312,0.07,92,"64",23,3143,677,13.312
24,"+1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",2935,73,521,-10,18.845,0.509,64,"6",24,2935,619,18.845
