"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","PHARRELL WILLIAMS","Happy",17093,"+10",670,"-374",120.054,"+0.108",65,"1",1,17093,2414,120.054
2,"=","KATY PERRY","Dark Horse",16178,"-39",-219,"-118",117.403,"-0.054",122,"4",1,17515,2780,123.167
3,"=","LORDE","Team",15847,"-20",-604,"-89",106.29,"+0.159",121,"12",1,16451,1641,108.342
4,"=","BASTILLE","Pompeii",15069,"+8",133,"-111",99.425,"-0.089",136,"7",3,15079,1804,100.897
5,"=","JASON DERULO","Talk Dirty f/2 Chainz",13732,"+71",532,"-43",89.313,"+0.338",85,"5/18",5,13732,2775,89.313
6,"=","JOHN LEGEND","All Of Me",11563,"+226",1903,"-153",83.329,"+1.979",54,"2",6,11563,2520,83.329
7,"=","ONEREPUBLIC","Counting Stars",8581,"-120",-692,"-124",66.458,"-0.951",163,"21",1,16524,2609,113.696
8,"=","ALOE BLACC","The Man",8309,"+42",462,"-24",42.835,"+0.189",61,"6",8,8309,1722,42.835
9,"=","DEMI LOVATO","Neon Lights",8223,"+75",746,"-90",45.6,"+0.708",116,"37",9,8223,967,45.6
10,"=","AMERICAN AUTHORS","Best Day Of My Life",7550,"+131",642,"-5",44.922,"+0.716",105,"15",10,7550,1116,44.922
11,"+1","AVICII","Hey Brother",7300,"+74",481,"-59",44.303,"+0.646",109,"11",11,7300,816,44.303
12,"+1","BEYONCE","Drunk In Love f/Jay Z",7003,"+0",57,"-40",39.808,"+0.214",64,"22",12,7095,1663,41.601
13,"+1","CASH CASH","Take Me Home f/Bebe Rexha",6726,"+5",112,"-33",36.87,"-0.315",127,"66",13,6726,1074,37.25
14,"+3","JUSTIN TIMBERLAKE","Not A Bad Thing",6141,"+256",1641,"-71",40.444,"+1.747",29,"13",14,6141,2024,40.444
15,"+1","MARTIN GARRIX","Animals",6032,"+58",326,"-166",37.439,"+0.155",113,"17",15,6032,993,37.439
16,"-1","ONE DIRECTION","Story Of My Life",5832,"-211",-1582,"+79",38.883,"-1.034",145,"27",3,12896,1527,82.164
17,"+1","EMINEM","The Monster f/Rihanna",5718,"-80",154,"-56",41.895,"-0.138",146,"59",1,16414,2904,117.022
