"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17627,11,280,-133,109.525,0.399,97,"34",1,17839,2441,109.525
2,"=","MIKE POSNER","I Took A Pill In Ibiza",17387,122,1135,-107,107.518,1.06,111,"10",2,17387,1578,107.518
3,"=","LUKAS GRAHAM","7 Years",17297,68,1147,-174,105.982,0.206,109,"8",3,17297,2077,105.982
4,"=","FIFTH HARMONY","Work From Home",13357,189,1193,9,77.587,0.42,69,"11",4,13357,4059,77.587
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",11287,-210,-2405,64,70.099,-1.014,119,"64",1,16250,1836,97.757
6,"+2","ZARA LARSSON & MNEK","Never Forget You",10993,90,361,-11,64.558,1.031,92,"18",6,10993,1534,64.558
7,"=","JUSTIN BIEBER","Love Yourself",10885,-81,-1156,64,73.475,-0.365,153,"44",1,19000,4103,124.28
8,"-2","DNCE","Cake By The Ocean",10864,-274,-3070,76,63.873,-1.83,218,"21",2,15763,1185,92.576
9,"+2","THE CHAINSMOKERS","Don't Let Me Down f/Daya",10121,178,1418,-106,63.963,0.793,53,"9",9,10121,1906,63.963
10,"-1","MEGHAN TRAINOR","NO",10028,-636,-2086,-592,51.076,-3.441,62,"12",7,12552,5498,69.649
11,"-1","FLO RIDA","My House",9983,-231,-1123,-133,64.418,-0.328,199,"17",1,18123,2285,104.909
12,"=","ARIANA GRANDE","Dangerous Woman",9720,62,566,-19,55.403,0.386,55,"16",11,9720,4214,55.403
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8619,-23,197,-108,46.825,0.769,109,"37",12,8717,1239,46.825
14,"+1","DRAKE","One Dance f/Wizkid & Kyla",7266,362,2401,48,47.807,1.564,25,"1",14,7266,2494,47.807
15,"-1","NICK JONAS","Close f/Tove Lo",7123,87,520,96,34.128,0.116,41,"25",14,7123,3392,34.128
16,"=","ALESSIA CARA","Wild Things",5997,77,328,33,30.521,0.654,95,"75",16,5997,814,30.521
17,"+1","JASON DERULO","If It Ain't Love",5744,-4,369,-139,28.014,0.052,34,"96",17,5748,2192,28.014
18,"-1","SELENA GOMEZ","Hands To Myself",5725,-92,-1113,141,35.643,-0.413,123,"118",1,16291,1952,91.457
19,"=","JAMES BAY","Let It Go",5318,114,608,12,30.643,1.187,74,"20",19,5318,885,30.643
20,"=","RUTH B.","Lost Boy",3989,70,522,-12,18.87,0.17,80,"15",20,3989,534,18.87
21,"=","PINK","Just Like Fire",3830,83,827,-84,18.33,0.359,20,"19",21,3830,2189,18.33
22,"=","IGGY AZALEA","Team",3504,-15,-55,-48,12.078,-0.209,46,"92",21,3649,1132,12.711
23,"=","RIHANNA","Kiss It Better",3493,12,350,-64,15.028,-0.441,29,"83",23,3493,1133,15.648
24,"+1","CALVIN HARRIS","This Is What You... f/Rihanna",3337,598,3337,598,31.144,4.293,6,"5",24,3337,3337,31.144
25,"-1","GRACE","You Don't Own Me f/G-Eazy",3074,74,585,2,12.273,0.19,48,"56",24,3074,664,12.273
26,"+1","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2635,32,251,-11,11.583,-0.026,27,"47",26,2635,1675,13.913
27,"-1","RIHANNA","Work f/Drake",2588,-33,-656,103,16.655,-0.609,99,"35",8,11661,3999,67.246
28,"=","FLUME","Never Be Like You f/Kai",2507,37,360,-24,13.362,0.311,51,"69",28,2507,487,13.362
