"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ELLIE GOULDING","Lights",13282,"-162",-728,"-195",99.501,"-0.438",191,"16",1,13999,1482,101.262
2,"=","KATY PERRY","Wide Awake",13266,"-80",-502,"+19",91.271,"-0.951",89,"15",1,14124,2824,100.029
3,"=","DAVID GUETTA","Titanium f/Sia",11195,"+108",484,"+54",77.393,"-0.242",133,"18",3,11195,1091,79.723
4,"=","DEMI LOVATO","Give Your Heart A Br...",10061,"+251",1175,"+232",70.367,"+1.024",172,"25",4,10061,1250,70.367
5,"=","MAROON 5","Payphone f/Wiz Khali...",9493,"+14",-925,"+199",69.918,"-0.189",125,"28",1,14353,3415,107.136
6,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",9354,"-44",221,"-122",60.22,"-0.457",113,"31",6,9398,1254,61.384
7,"=","RIHANNA","Where Have You Been",9030,"-346",-1573,"-247",70.815,"-2.061",126,"41",2,12963,1884,95.69
8,"=","FLO RIDA","Whistle",8716,"+85",980,"-38",59.974,"+0.807",75,"2",8,8716,1412,59.974
9,"=","PINK","Blow Me (One Last Ki...",8401,"+47",562,"-71",55.068,"+0.660",46,"17/92",9,8401,2737,55.068
10,"+1","CHER LLOYD","Want U Back",7697,"+96",392,"+70",44.884,"+0.191",99,"8",10,7697,1103,44.91
11,"-1","CARLY RAE JEPSEN","Call Me Maybe",7357,"-323",-1445,"-205",54.309,"-1.605",161,"6",1,14563,1711,111.23
12,"=","NEON TREES","Everybody Talks",7013,"+203",1632,"+43",43.992,"+1.686",132,"10",12,7013,1632,43.992
13,"+1","OWL CITY & CARLY RAE...","Good Time",6817,"+113",442,"+125",44.331,"+0.466",54,"9",13,6817,1961,44.331
14,"-1","USHER","Scream",6447,"-324",-2068,"-192",47.372,"-1.811",115,"33",6,9627,2323,68.266
