"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL","Timber f/Ke$ha",16885,126,896,132,117.466,0.587,96,"2",1,16885,2001,117.466
2,"=","ONEREPUBLIC","Counting Stars",16286,-95,34,-159,111.914,-0.498,98,"4",1,16524,2609,113.696
3,"=","EMINEM","The Monster f/Rih...",15852,-103,-487,-64,111.627,-1.294,81,"10/50",1,16414,2904,117.022
4,"=","ELLIE GOULDING","Burn",11738,250,1426,157,82.54,1.708,104,"13",4,11738,1574,82.54
5,"=","ZEDD","Stay The Night f/...",10046,-11,191,-7,63.548,-0.211,111,"44",5,10077,1238,64.445
6,"+3","KATY PERRY","Dark Horse",9936,326,2291,38,70.034,1.903,57,"1",6,9936,2297,70.034
7,"=","LADY GAGA","Do What U Want f/...",9931,-21,184,-43,58.092,-1.013,81,"33",7,9952,1408,60.79
8,"=","ONE DIRECTION","Story Of My Life",9788,76,704,-52,67.174,1.179,80,"11",8,9788,1292,67.174
9,"-3","IMAGINE DRAGONS","Demons",9556,-431,-2354,-254,60.966,-2.491,139,"16",1,14595,1982,96.313
10,"=","PASSENGER","Let Her Go",9303,52,496,19,56.179,0.769,111,"8",9,9303,1223,56.179
11,"+1","LORDE","Team",7982,154,943,81,55.112,0.707,56,"7",11,7982,1348,55.112
12,"+2","A GREAT BIG WORLD","Say Something w/C...",7828,134,1070,78,52.042,0.614,57,"3/60",12,7828,1506,52.042
13,"-2","AVICII","Wake Me Up",7789,-186,-1131,-8,60.765,-1.036,175,"20",1,17010,2103,116.977
14,"-1","NEIGHBOURHOOD","Sweater Weather",7618,-136,-570,-99,43.344,-0.651,203,"26",7,8300,869,45.648
15,"=","MACKLEMORE & RYAN...","White Walls f/ScH...",7218,11,126,-16,38.451,-0.083,126,"23",12,7258,764,39.457
16,"=","BASTILLE","Pompeii",6215,106,691,74,38.41,0.469,71,"9",16,6215,1030,38.41
17,"=","JOHN NEWMAN","Love Me Again",4911,62,619,27,26.88,0.69,106,"27",17,4911,619,26.88
18,"=","BEYONCE","XO",4641,58,650,-47,28.215,-0.024,29,"51",18,4641,1464,28.239
19,"+1","BRUNO MARS","Young Girls",4537,96,895,-19,25.503,-0.001,36,"114",19,4537,914,25.504
20,"-1","MILEY CYRUS","Wrecking Ball",4409,-106,-1559,141,27.123,-0.987,129,"34",1,15459,2954,107.57
21,"+1","MILEY CYRUS","Adore You",3525,122,1467,-75,17.053,0.41,23,"21",21,3525,1542,17.053
22,"-1","ZENDAYA","Replay",3414,-10,260,-45,11.545,-0.107,93,"37",21,3424,472,12.61
