"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",13553,"-104",-881,"-21",91.33,"-0.378",12,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13306,"-23",192,"-106",84.186,"-0.288",12,2,13366,715,84.474
3,"=","ADELE Rolling In The Deep",12432,"+202",1530,"-36",82.386,"+1.640",12,3,12432,2273,82.386
4,"=","BRITNEY SPEARS Till The World Ends",11896,"+34",471,"+29",75.819,"+0.104",12,3,11896,966,75.819
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10070,"+85",410,"+79",64.669,"+0.590",12,5,10070,668,64.669
6,"=","BRUNO MARS Lazy Song",9658,"+123",958,"+15",54.96,"+0.437",12,6,9658,958,54.96
7,"=","TINIE TEMPAH Written In The Stars",8707,"-45",130,"-70",51.079,"-0.569",12,7,8819,756,54.175
8,"=","KE$HA Blow",7762,"-148",-1445,"+77",44.876,"-0.864",12,4,10135,0,56.264
9,"=","RIHANNA S&M",7324,"-136",-1325,"+174",46.24,"-1.443",12,5,10081,0,64.524
10,"+1","PITBULL Give Me Everything f/Ne-Yo",7090,"+312",1788,"+148",50.902,"+1.805",12,10,7090,1788,50.902
11,"-1","JEREMIH Down On Me f/50 Cent",6758,"-168",-1188,"-135",37.923,"-0.576",12,10,8052,153,44.2
12,"=","THE SCRIPT For The First Time",6229,"+39",181,"+8",33.191,"+0.167",12,11,6229,433,33.625
13,"=","JESSIE J Price Tag f/B.O.B",5873,"-12",146,"-87",30.424,"-0.029",12,12,5885,582,30.453
14,"=","LUPE FIASCO The Show Goes On",5441,"+85",969,"-36",34.603,"+0.642",12,14,5441,1005,34.603
15,"=","CEE LO GREEN F**k You (Forget You)",5044,"-107",-556,"-113",29.619,"-0.583",12,11,5830,0,32.865
16,"=","PINK F**kin' Perfect (Perfect)",4246,"-136",-798,"-76",21.667,"-0.673",12,14,5394,0,27.986
17,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4010,"+80",307,"+97",20.734,"+0.326",12,17,4010,331,20.734
18,"=","SELENA GOMEZ & THE SCENE Who Says",3801,"+63",478,"-30",22.051,"+0.450",12,18,3801,707,22.051
19,"+1","LADY GAGA The Edge Of Glory",3740,"+302",2032,"-22",23.7,"+1.287",12,19,3740,2054,23.7
20,"-1","WIZ KHALIFA Roll Up",3699,"+110",535,"+45",19.863,"+1.132",12,19,3699,725,19.863
21,"=","HOT CHELLE RAE Tonight Tonight",3446,"+89",499,"-17",16.349,"+0.555",12,20,3446,643,16.349
22,"=","ONEREPUBLIC Good Life",3263,"+81",580,"+13",16.832,"+0.610",12,21,3263,580,16.832
23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3144,"+27",529,"-76",20.322,"+0.200",12,23,3144,605,20.322
24,"+1","LMFAO Party Rock Anthem",2983,"+76",408,"+29",19.888,"+1.059",12,24,2983,464,19.888
25,"-1","LADY GAGA Born This Way",2921,"-114",-455,"-82",15.049,"-0.207",12,19,3651,0,20.436
26,"=","TAYLOR SWIFT The Story Of Us",2589,"+86",587,"+63",12.578,"+0.436",12,26,2589,587,12.578
27,"+1","JASON DERULO Don't Wanna Go Home",2445,"+229",1343,"-3",15.416,"+1.327",10,27,2445,1397,15.416
28,"-1","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",2290,"-165",-840,"-138",10.409,"-0.561",12,21,3233,127,13.744
29,"=","AVRIL LAVIGNE What The Hell",1945,"-53",-446,"+96",9.196,"-0.251",12,24,2903,0,13.876
30,"+2","CHRIS BROWN Look At Me Now",1861,"+50",208,"+66",12.622,"+0.512",12,30,1861,229,12.622
31,"-1","DR. DRE I Need A Doctor f/Eminem",1801,"-169",-1198,"-21",11.93,"-0.524",12,20,3521,0,21.933
32,"-1","BIG TIME RUSH Boyfriend",1791,"-31",-103,"-30",6.887,"-0.127",12,30,1912,197,7.455
33,"+1","SHONTELLE Say Hello To Goodbye",1494,"-3",83,"-26",4.279,"-0.008",12,33,1497,142,4.287
34,"+2","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",1488,"+77",642,"-80",10.691,"+0.695",10,34,1488,855,10.691
35,"=","NICKI MINAJ Super Bass",1481,"+28",381,"-87",9.054,"+0.086",12,35,1481,680,9.054
36,"-3","LADY GAGA Judas",1340,"-256",-2447,"+30",5.45,"-1.056",12,15,4801,0,27.232
37,"+1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1309,"+19",494,"-31",5.566,"+0.040",12,37,1309,525,5.566
38,"-1","MY CHEMICAL ROMANCE Sing",1256,"-108",-659,"-102",5.982,"-0.329",12,29,2009,0,7.995
39,"+1","MAROON 5 Never Gonna Leave This Bed",1233,"+40",232,"+24",4.468,"+0.110",12,39,1233,312,4.468
40,"-1","NICKI MINAJ Moment 4 Life f/Drake",1181,"-86",-576,"-33",8.103,"-0.619",12,29,2036,0,13.564
41,"+1","BRITNEY SPEARS Hold It Against Me",1079,"+20",10,"+98",8.9,"+0.161",12,37,1171,10,8.927
42,"+3","RIHANNA California King Bed",1032,"+79",610,"+14",5.748,"+0.192",7,42,1032,610,5.748
43,"-2","BEYONCE Run The World (Girls)",1015,"-51",-222,"-94",3.573,"-0.219",12,35,1285,242,5.356
44,"-1","THE READY SET Young Forever",978,"+6",76,"-10",2.473,"+0.031",12,41,978,107,2.473
45,"+1","NEON TREES Your Surrender",878,"+25",126,"-12",2.093,"+0.051",12,43,878,173,2.093
46,"+2","THE BAND PERRY If I Die Young",687,"+17",130,"+5",2.505,"+0.075",12,46,687,130,2.505
47,"+2","FAR EAST MOVEMENT If I Was You (OMG) f/S...",628,"-19",-14,"-26",1.962,"-0.048",12,45,655,108,2.201
48,"+2","T-PAIN Best Love Song f/Chris Brown",604,"+13",98,"+20",2.564,"-0.058",10,47,604,98,2.622
49,"--","CHRIS BROWN She Ain't You",516,"--",188,"--",4.26,"--",1,49,516,188,4.26
50,"--","STEVEN TYLER (It) Feels So Good",479,"--",221,"--",2.468,"--",1,50,479,221,2.468
