"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","WANTED Glad You Came",13343,187,1003,83,96.621,1.491,90,"7",1,13343,1363,96.621
2,"+1","FUN. We Are Young f/Janelle Monae",12361,240,1725,-75,96.111,1.242,45,"1",2,12361,2738,96.111
3,"-1","KELLY CLARKSON Stronger (What Doesn't Ki...",12338,-60,-810,20,91.513,-0.359,90,"14",1,13549,2321,99.332
4,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",10991,-224,-1220,-105,81.983,-2.143,118,"35",2,12506,1674,92.019
5,"=","KATY PERRY Part Of Me",10988,177,872,106,72.841,0.722,54,"13",5,10988,3625,72.841
6,"=","GYM CLASS HEROES Ass Back Home",10665,-99,-323,-112,71.932,0.199,135,"28",4,11001,1379,73.574
7,"+1","FLO RIDA Wild Ones f/Sia",7837,196,1157,9,57.139,1.718,63,"8",7,7837,1182,57.139
8,"+1","DRAKE Take Care f/Rihanna",7488,70,345,133,58.257,0.913,91,"24",8,7488,1220,58.257
9,"-2","ADELE Set Fire To The Rain",7390,-274,-2067,33,55.645,-2.176,134,"23",1,13928,2301,95.946
10,"=","CALVIN HARRIS Feel So Close",7254,156,463,98,52.17,1.295,58,"16",10,7254,1329,52.17
11,"=","NICKI MINAJ Starships",6752,121,627,73,49.136,1.005,53,"9/47",11,6752,1834,49.136
12,"=","ONE DIRECTION What Makes You Beautiful",6486,167,763,32,43.107,2.258,38,"4",12,6486,1579,43.107
13,"=","JESSIE J Domino",6197,-87,-817,30,38.885,-0.667,204,"52",2,12024,1524,67.403
14,"=","JUSTIN BIEBER Boyfriend",5941,267,2749,-400,44.917,1.481,12,"3",14,5941,4726,44.917
15,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",5080,-135,-1067,34,34.374,-0.443,135,"21",10,7182,1174,48.863
16,"=","ADELE Rumour Has It",4979,207,1359,59,30.256,1.871,34,"27",16,4979,1359,30.256
17,"=","KARMIN Broken Hearted",4760,78,320,7,28.845,0.743,48,"26",16,4760,936,28.845
18,"=","GOTYE Somebody That I Used To Know",4713,200,1503,57,34.606,1.104,37,"2",18,4713,1503,34.606
19,"=","TRAIN Drive By",4495,76,506,10,25.142,0.706,83,"11",19,4495,527,25.142
20,"=","OUTASIGHT Tonight Is The Night",4076,-202,-1503,-31,24.276,-1.145,158,"68",13,6035,572,36.649
21,"+1","B.O.B So Good",3997,39,382,-54,27.255,0.379,35,"12",21,3997,1013,27.255
22,"-1","CHRIS BROWN Turn Up The Music",3917,-148,-783,-137,25.991,-0.596,66,"34",17,4894,987,33.507
23,"=","CARLY RAE JEPSEN Call Me Maybe",3328,154,1112,-17,20.873,1.002,27,"6",23,3328,1230,20.873
24,"=","TAYLOR SWIFT Eyes Open",2552,119,1246,-106,14.996,0.959,13,"18",24,2552,1442,14.996
25,"+1","RIHANNA Talk That Talk f/Jay Z",2138,-26,-61,-42,9.835,-0.466,60,"64",24,2226,339,12.882
26,"-1","JENNIFER LOPEZ Dance Again f/Pitbull",1824,-419,1004,-1239,13.952,-8.795,8,"10",25,2243,2243,22.747
27,"=","CHRISTINA PERRI A Thousand Years",1492,-76,-342,-27,8.002,-0.258,93,"41",23,2055,280,9.423
28,"=","ELLIE GOULDING Lights",1471,37,95,29,7.582,0.222,57,"67",27,1471,226,7.582
29,"=","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",1377,29,61,14,7.438,0.154,34,"93",28,1377,461,8.004
30,"+1","HAVANA BROWN We Run The Night f/Pitbull",1363,38,97,31,10.445,0.596,55,"120",30,1363,237,10.526
31,"-1","DRAKE The Motto f/Lil Wayne",1360,31,39,25,14.792,0.208,48,"22",29,1360,237,15.761
32,"=","DEMI LOVATO Give Your Heart A Break",1213,62,264,41,7.299,0.544,38,"56",32,1213,264,7.299
33,"+1","NEON HITCH F U Betta",1049,34,76,42,3.139,0.134,34,"640",33,1049,215,3.139
34,"+1","CHRIS RENE Young Homie",985,16,123,-21,3.386,-0.021,27,"131",34,985,213,3.407
35,"-2","DEV & ENRIQUE IGLESIAS Naked",977,-84,-447,-48,5.317,-0.34,77,"--",28,1524,318,8.497
36,"+1","PITBULL Back In Time",922,107,533,34,6.767,0.163,9,"124",36,922,560,6.767
37,"-1","WALLPAPER F**king Best Song Everrr",864,26,50,21,3.524,-0.023,22,"--",36,864,262,3.563
38,"=","USHER Climax",791,12,54,4,3.14,-0.017,20,"38",37,791,348,3.492
39,"+1","JASON DERULO Breathing",597,-26,-543,80,2.928,-0.157,63,"387",28,1573,432,6.812
40,"-1","ALL-AMERICAN REJECTS Beekeeper's Daughte...",587,-40,-192,-18,2.008,-0.142,49,"--",38,804,204,2.758
41,"=","SEAN PAUL She Doesn't Mind",512,-13,-7,-16,1.81,-0.062,27,"631",41,525,158,1.872
42,"+1","HOT CHELLE RAE Honestly",497,33,279,-5,1.853,0.166,6,"518",42,497,284,1.853
43,"+1","J. COLE Can't Get Enough f/Trey Songz",450,-13,-49,-12,2.084,-0.208,27,"147",43,562,156,3.809
44,"+1","AVICII Levels",443,-11,-63,-13,6.108,0.128,93,"116",33,1352,260,9.722
45,"-3","COLDPLAY Princess Of China",430,-47,-556,78,2.176,-0.195,133,"90",24,2042,363,10.812
46,"=","FAR EAST MOVEMENT Live My Life f/Justin ...",414,6,54,5,1.424,0.051,16,"378",45,418,80,1.436
47,"=","MADONNA Girl Gone Wild",385,12,204,-37,0.919,0.048,6,"259",47,385,245,0.919
48,"=","RIHANNA Birthday Cake",313,14,89,6,1.108,0.043,6,"44",48,313,89,1.108
49,"=","THE CAB La La",205,11,77,10,0.231,0.013,2,"813",49,205,77,0.231
50,"=","KIRKO BANGZ Drank In My Cup",195,4,55,-6,2.443,0.076,4,"69",50,195,77,2.443
