"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FUN. We Are Young f/Janelle Monae",14021,"-98",-339,"-73",107.714,"-0.696",79,"7",1,14439,2738,110.772
2,"=","FLO RIDA Wild Ones f/Sia",12544,"-44",230,"-197",91.471,"-0.046",97,"6",2,12595,1940,91.517
3,"=","GOTYE Somebody That I Used To Know",12314,"+116",1673,"-243",94.803,"+1.179",71,"1",3,12314,2018,94.803
4,"+1","NICKI MINAJ Starships",11335,"+110",1273,"-111",80.519,"+0.653",87,"11/43",4,11335,1834,80.519
5,"-1","WANTED Glad You Came",11290,"-116",-1224,"+92",88.927,"-1.000",124,"16",1,13712,1363,101.962
6,"=","ONE DIRECTION What Makes You Beautiful",10401,"+70",578,"-56",71.303,"+0.200",72,"8",6,10401,1579,71.303
7,"=","KATY PERRY Part Of Me",9030,"-147",-1817,"+152",60.637,"-0.985",88,"35",3,12039,3625,78.553
8,"=","ADELE Rumour Has It",8497,"+5",64,"-40",56.217,"-0.096",68,"30",8,8497,1514,56.313
9,"=","CARLY RAE JEPSEN Call Me Maybe",7674,"+166",700,"+79",55.557,"+2.272",61,"3",9,7674,1298,55.557
10,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",7342,"-137",-1003,"-13",51.306,"-1.856",124,"36",1,13549,2321,99.332
11,"=","JUSTIN BIEBER Boyfriend",7148,"-110",-616,"-81",41.188,"-0.603",46,"5",9,7937,4726,51.492
12,"=","MAROON 5 Payphone f/Wiz Khalifa",7054,"+115",1202,"-62",50.412,"+0.956",25,"2",12,7054,3415,50.412
13,"=","CALVIN HARRIS Feel So Close",6633,"-185",-1279,"-76",43.922,"-1.195",92,"19",7,8145,1329,55.352
14,"=","KARMIN Broken Hearted",5881,"+27",123,"-10",36.512,"+0.269",82,"21",14,5881,936,36.512
15,"=","TRAIN Drive By",5848,"+30",187,"-1",35.108,"-0.192",117,"13",15,5848,601,35.3
16,"=","DRAKE Take Care f/Rihanna",4857,"-27",-735,"+121",39.319,"-0.071",125,"54",8,7620,1220,60.618
17,"=","JENNIFER LOPEZ Dance Again f/Pitbull",4685,"-45",-142,"-64",28.022,"-0.228",42,"9",17,4851,2243,30.831
18,"=","RIHANNA Where Have You Been",4315,"+145",1686,"-117",31.185,"+0.800",26,"12",18,4315,1884,31.185
19,"=","PITBULL Back In Time",4242,"+88",527,"+15",24.164,"+0.917",43,"14",18,4242,925,24.164
20,"=","USHER Scream",4065,"+159",2323,"+536",29.376,"+0.999",15,"24",20,4065,2323,29.376
21,"=","ELLIE GOULDING Lights",3595,"+108",661,"+25",22.7,"+0.799",91,"33",20,3595,786,22.7
22,"=","DEMI LOVATO Give Your Heart A Break",2947,"+66",540,"-14",19.58,"+0.623",72,"50",22,2947,665,19.58
23,"+2","DAVID GUETTA Titanium f/Sia",2492,"+82",612,"-29",15.958,"+0.469",33,"37",23,2492,694,15.958
24,"-1","B.O.B So Good",2422,"-79",-1405,"+186",12.148,"-0.752",69,"42",18,4675,1013,31.923
25,"-1","TAYLOR SWIFT Eyes Open",2360,"-101",-1093,"+49",11.107,"-0.644",47,"25",20,3925,1442,22.308
26,"=","HAVANA BROWN We Run The Night f/Pitbull",2095,"+31",196,"+6",15.72,"+0.496",89,"66",26,2095,267,15.72
27,"=","DRAKE The Motto f/Lil Wayne",1867,"-46",-105,"-27",16.173,"-0.151",82,"39",25,2047,321,19.147
28,"=","CHRIS RENE Young Homie",1783,"+5",197,"-29",8.083,"+0.083",61,"127",28,1783,226,8.083
29,"=","NEON HITCH F U Betta",1739,"+6",77,"+4",7.888,"+0.015",68,"--",28,1739,247,7.888
30,"=","RITA ORA How We Do (Party)",1390,"+49",483,"-24",7.751,"+0.210",15,"307",30,1390,620,7.751
31,"=","HOT CHELLE RAE Honestly",1173,"+4",78,"-12",5.051,"+0.105",40,"186",30,1173,284,5.051
32,"=","CHRIS BROWN Turn Up The Music",1066,"-33",-82,"-34",9.417,"-0.372",100,"68",17,4894,987,33.507
33,"+1","GYM CLASS HEROES Fighter f/Ryan Tedder",947,"+89",541,"+16",5.698,"+0.563",11,"235",33,947,541,5.698
34,"-1","NEON TREES Everybody Talks",901,"+14",140,"-18",3.485,"+0.181",32,"--",33,901,211,3.485
35,"=","KIRKO BANGZ Drank In My Cup",857,"+41",155,"+2",4.385,"+0.182",38,"67",34,857,278,4.385
36,"=","JASON MRAZ I Won't Give Up",757,"+24",172,"+4",3.566,"+0.161",26,"--",36,757,210,3.566
37,"=","COLDPLAY Paradise",716,"+14",159,"-20",4.526,"+0.157",51,"53",37,892,255,4.526
38,"=","GROUPLOVE Tongue Tied",713,"+15",138,"-18",2.396,"+0.151",17,"155",38,713,284,2.396
39,"=","RIHANNA Talk That Talk f/Jay Z",668,"-27",-163,"-27",3.64,"-0.226",94,"126",24,2226,339,12.882
40,"+1","CALVIN HARRIS Let's Go f/Ne-Yo",638,"+56",244,"+41",6.582,"+0.198",13,"139",40,638,244,6.582
41,"-1","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",539,"-50",-517,"+62",2.362,"-0.144",68,"--",27,1740,461,9.538
42,"=","NELLY FURTADO Big Hoops (Bigger The Bett...",522,"+26",290,"-26",2.12,"+0.092",6,"--",42,522,318,2.12
43,"+1","ONE DIRECTION One Thing",441,"+32",225,"+5",3.318,"+0.174",5,"88",43,441,225,3.318
44,"-1","THE WANTED Chasing The Sun",432,"+4",163,"-17",4.741,"+0.337",7,"242",43,432,192,4.741
45,"+1","RIHANNA Birthday Cake",348,"+10",-81,"+26",1.696,"+0.034",40,"51",40,479,116,1.742
46,"+1","SELENA GOMEZ & THE SCENE Hit The Lights",344,"+16",53,"+13",1.332,"+0.138",15,"--",46,344,72,1.332
47,"-2","KEVIN RUDOLF Don't Give Up",341,"-6",44,"-17",0.6,"-0.023",12,"--",45,347,132,0.624
48,"=","THE CAB La La",320,"+6",20,"-7",0.6,"+0.051",34,"--",46,320,82,0.6
49,"=","VIENNIE V For You",252,"+6",10,"+0",0.211,"+0.000",6,"--",49,252,26,0.23
50,"--","OUTASIGHT Now Or Never",249,"--",141,"--",0.747,"--",1,"--",50,249,141,0.747
