"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",13934,-145,-658,-111,92.665,-0.829,9,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13366,8,368,-84,84.275,0.549,9,2,13366,715,84.275
3,"+1","ADELE Rolling In The Deep",11835,226,1747,-74,78.401,1.305,9,3,11835,2273,78.401
4,"-1","BRITNEY SPEARS Till The World Ends",11737,74,370,-31,75.157,-0.142,9,3,11737,966,75.299
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9870,36,303,-11,63.046,0.305,9,5,9870,668,63.046
6,"=","BRUNO MARS Lazy Song",9247,167,889,70,53.664,0.453,9,6,9247,889,53.664
7,"=","TINIE TEMPAH Written In The Stars",8791,-28,393,-137,52.883,-0.958,9,7,8819,756,54.175
8,"=","KE$HA Blow",8219,-164,-1640,115,47.504,-0.67,9,4,10135,0,56.264
9,"=","RIHANNA S&M",7813,-167,-1911,190,50.477,-1.109,9,5,10081,0,64.524
10,"=","JEREMIH Down On Me f/50 Cent",7390,-248,-662,-249,40.356,-0.981,9,10,8052,153,44.2
11,"+1","PITBULL Give Me Everything f/Ne-Yo",6226,275,1458,109,45.979,1.459,9,11,6226,1458,45.979
12,"-1","THE SCRIPT For The First Time",6120,-2,280,-81,32.344,0.083,9,11,6122,433,33.625
13,"=","JESSIE J Price Tag f/B.O.B",5823,-10,228,-48,29.926,0.148,9,12,5833,582,30.026
14,"=","CEE LO GREEN F**k You (Forget You)",5316,-57,-409,48,31.117,-0.018,9,11,5830,0,32.865
15,"=","LUPE FIASCO The Show Goes On",5068,175,936,99,32.229,1.051,9,15,5068,936,32.229
16,"=","PINK F**kin' Perfect (Perfect)",4622,-137,-676,-40,23.089,-0.488,9,14,5394,0,27.986
17,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3879,58,208,40,19.973,0.192,9,17,3879,331,19.973
18,"=","SELENA GOMEZ & THE SCENE Who Says",3561,36,524,-38,20.517,0.533,9,18,3561,707,20.517
19,"=","WIZ KHALIFA Roll Up",3453,103,470,72,17.358,0.657,9,19,3453,725,17.358
20,"+1","HOT CHELLE RAE Tonight Tonight",3242,86,634,10,15.041,0.358,9,20,3242,643,15.041
