"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","GOTYE Somebody That I Used To Know",13954,"-47",124,"-21",105.645,"-0.435",99,"2",1,14242,2018,106.819
2,"=","CARLY RAE JEPSEN Call Me Maybe",13489,"+194",1689,"-4",104.659,"+1.442",89,"1",2,13489,1711,104.659
3,"=","ONE DIRECTION What Makes You Beautiful",11823,"+50",403,"+57",79.326,"+0.643",100,"10",3,11838,1579,79.326
4,"=","MAROON 5 Payphone f/Wiz Khalifa",11612,"+113",1301,"-141",85.012,"+0.658",53,"3",4,11612,3415,85.012
5,"=","NICKI MINAJ Starships",11199,"-123",-576,"-79",82.825,"-1.585",115,"22/43",3,12071,1834,87.938
6,"=","FUN. We Are Young f/Janelle Monae",10862,"-206",-1205,"-53",78.811,"-1.062",107,"--",1,14439,2738,110.772
7,"=","FLO RIDA Wild Ones f/Sia",9130,"-72",-1185,"+191",73.33,"-1.048",125,"14",2,12595,1940,93.589
8,"=","WANTED Glad You Came",7982,"-191",-675,"-104",61.712,"-1.117",152,"29",1,13712,1363,101.962
9,"=","JUSTIN BIEBER Boyfriend",7626,"+57",597,"-14",49.947,"+0.676",74,"12",9,7937,4726,51.492
10,"+1","RIHANNA Where Have You Been",7541,"+126",865,"+12",59.512,"+1.640",54,"8",10,7541,1884,59.512
11,"-1","USHER Scream",7519,"+24",560,"-86",51.616,"+0.318",43,"13",9,7519,2323,51.616
12,"=","KARMIN Broken Hearted",7282,"+16",527,"-21",47.215,"-0.061",110,"19",10,7282,936,47.276
13,"=","ELLIE GOULDING Lights",6280,"+54",640,"-63",41.852,"+0.758",119,"15",13,6280,786,41.852
14,"=","TRAIN Drive By",5703,"-95",-336,"-84",33.98,"-0.411",145,"25",13,6123,601,36.311
15,"=","PITBULL Back In Time",5669,"+44",289,"+4",35.842,"+0.421",71,"7",15,5669,925,35.842
16,"+1","KATY PERRY Wide Awake",5338,"+148",2188,"-264",38.689,"+1.616",17,"4",16,5338,2824,38.689
17,"-1","DAVID GUETTA Titanium f/Sia",5313,"+79",906,"-81",36.36,"+0.328",61,"16",16,5313,987,36.36
18,"+1","GYM CLASS HEROES Fighter f/Ryan Tedder",5023,"+64",800,"-82",31.611,"+0.369",39,"26",18,5023,1441,31.611
19,"-1","KATY PERRY Part Of Me",4972,"-68",-663,"+16",36.857,"-1.316",116,"57",3,12039,3625,78.553
20,"=","ADELE Rumour Has It",4079,"-158",-1029,"-40",27.328,"-0.694",96,"47",8,8497,1514,56.313
21,"=","CALVIN HARRIS Feel So Close",3984,"-120",-523,"-61",27.614,"-0.439",120,"41",7,8145,1329,55.352
22,"=","DEMI LOVATO Give Your Heart A Break",3704,"+4",195,"-38",25.606,"+0.200",100,"32",21,3707,665,25.606
23,"=","DRAKE Take Care f/Rihanna",3005,"-94",-282,"-35",25.25,"-0.541",153,"103",8,7620,1220,60.618
24,"=","HAVANA BROWN We Run The Night f/Pitbull",2855,"+23",133,"+12",22.191,"+0.033",117,"35",24,2855,278,22.571
25,"+1","CALVIN HARRIS Let's Go f/Ne-Yo",2802,"+139",709,"+80",21.406,"+0.645",41,"67",25,2802,836,21.406
26,"-1","ONE DIRECTION One Thing",2759,"+91",909,"-37",15.189,"+0.488",33,"46",25,2759,975,15.189
27,"=","RITA ORA How We Do (Party)",2568,"+36",243,"-11",14.233,"+0.141",43,"105",25,2568,620,14.233
28,"=","KIRKO BANGZ Drank In My Cup",1798,"+8",182,"-3",8.999,"+0.125",66,"70",28,1798,312,8.999
29,"+1","B.O.B Both Of Us f/Taylor Swift",1586,"+59",436,"+24",9.106,"+0.358",26,"76",29,1586,486,9.106
30,"-1","THE WANTED Chasing The Sun",1570,"+28",343,"-20",11.696,"+0.005",35,"93",29,1570,423,11.696
31,"=","NEON TREES Everybody Talks",1462,"+19",195,"-26",7.997,"+0.120",60,"27",30,1462,240,7.997
32,"=","GROUPLOVE Tongue Tied",1260,"-12",111,"-49",6.73,"+0.043",45,"64",32,1272,284,6.73
33,"=","DRAKE The Motto f/Lil Wayne",1223,"-13",-101,"-7",13.135,"+0.087",110,"48",25,2047,321,19.147
34,"=","CHER LLOYD Want U Back",1156,"+45",345,"+18",6.451,"+0.286",27,"111",34,1156,345,6.451
35,"=","JASON MRAZ I Won't Give Up",1107,"+15",99,"-9",5.381,"+0.146",54,"24",35,1107,210,5.381
36,"+1","COLDPLAY Paradise",937,"-6",40,"-17",5.867,"-0.103",79,"61",36,943,255,5.988
37,"-1","CHRIS RENE Young Homie",882,"-93",-755,"+10",3.944,"-0.331",89,"146",25,1933,226,8.787
38,"=","OUTASIGHT Now Or Never",783,"+20",128,"+7",2.346,"+0.003",29,"--",38,783,206,2.346
39,"=","SAMMY ADAMS Only One",743,"+16",196,"-2",2.808,"+0.115",20,"--",39,743,230,2.808
40,"=","JENNIFER LOPEZ Dance Again f/Pitbull",598,"-25",-465,"+85",3.781,"-0.080",70,"54",17,4851,2243,30.831
41,"=","HOT CHELLE RAE Honestly",506,"-80",-524,"-16",2.526,"-0.370",68,"155",30,1339,284,5.972
42,"+1","ALEX CLARE Too Close",460,"+23",182,"-8",1.181,"+0.077",10,"49",42,460,194,1.181
43,"-1","NELLY FURTADO Big Hoops (Bigger The Bett...",447,"-62",-248,"-40",1.328,"-0.223",34,"--",40,754,318,2.709
44,"=","CHIDDY BANG Mind Your Manners f/Icona Po...",418,"+8",78,"+3",1.3,"+0.006",16,"--",44,418,99,1.3
45,"=","THE CAB La La",394,"-5",4,"-11",0.947,"-0.006",62,"--",43,401,82,0.995
