"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAROON 5","Sugar",18436,-94,235,-142,117.202,-0.608,88,"9/46",1,18530,2244,117.81
2,"=","TAYLOR SWIFT","Style",17386,-190,-587,-122,108.489,-1.453,94,"18",1,18488,3111,115.714
3,"=","ELLIE GOULDING","Love Me Like You Do",17251,154,1331,20,112.496,1.097,89,"8",3,17251,2216,112.496
4,"=","MARK RONSON","Uptown Funk f/Bruno Mars",13483,-180,-899,-110,92.378,-1.122,150,"6",1,19386,3126,125.545
5,"=","ED SHEERAN","Thinking Out Loud",13206,-309,-1322,-131,80.207,-1.748,123,"10",1,18914,3319,118.241
6,"=","NATALIE LA ROSE","Somebody f/Jeremih",12736,349,1720,216,71.727,1.298,95,"13",6,12736,1720,71.727
7,"+1","THE WEEKND","Earned It",10718,298,2365,-1,70.704,1.423,50,"3",7,10718,2421,70.704
8,"-1","ARIANA GRANDE","One Last Time",10662,120,1083,50,67.227,1.037,61,"32",7,10662,2135,67.227
9,"+1","JASON DERULO","Want To Want Me",8998,134,1069,-26,55.818,0.466,31,"12",9,8998,4301,55.818
10,"-1","PITBULL","Time Of Our Lives f/Ne-Yo",8964,-421,-2825,77,60.943,-1.22,132,"31",4,15799,2867,94.608
11,"=","FLO RIDA","GDFR f/Sage The Gemini",8799,137,1269,-71,47.775,1.103,90,"4",11,8799,1433,47.775
12,"=","ZEDD","I Want You To Know f/S. Gomez",8714,71,540,-17,50.686,0.03,45,"47",11,8714,3786,50.791
13,"=","NICK JONAS","Chains",8605,74,623,25,48.902,0.528,88,"7",11,8605,1264,48.902
14,"=","RIHANNA/KANYE WEST/P MCCARTNEY","FourFiveSeconds",8195,-275,-2121,-46,41.67,-1.386,74,"11",6,11254,3932,65.756
15,"=","CALVIN HARRIS","Outside f/Ellie Goulding",6782,-345,-1864,-213,46.419,-1.968,110,"67",8,9077,1280,60.662
16,"+3","WALK THE MOON","Shut Up And Dance",5376,297,1770,112,35.227,1.481,54,"2",16,5376,1770,35.227
17,"-1","TORI KELLY","Nobody Love",5346,62,279,-8,24.591,0.243,58,"69",16,5346,1398,24.591
18,"-1","TOVE LO","Talking Body",5264,125,1017,42,28.044,0.737,84,"21",17,5264,1017,28.044
19,"-1","ONE DIRECTION","Night Changes",4815,-275,-1803,-177,27.182,-1.586,145,"71",13,6928,1221,36.976
20,"=","VANCE JOY","Riptide",4588,25,114,83,26.061,-0.034,163,"52",18,4593,802,26.356
21,"=","SAM SMITH","Lay Me Down",4403,33,471,-41,21.45,0.107,58,"45/49",20,4403,1008,21.45
22,"=","MEGHAN TRAINOR","Dear Future Husband",3578,107,1046,-53,16.588,0.283,20,"22",22,3578,1246,16.588
23,"+1","DAVID GUETTA","Hey Mama  f/Nicki Minaj",2970,152,994,60,16.635,0.701,32,"17",23,2970,994,16.635
24,"+1","ECHOSMITH","Bright",2837,54,426,27,12.13,0.199,66,"58",24,2837,426,12.13
25,"-2","KELLY CLARKSON","Heartbeat Song",2776,-244,-1389,-113,12.38,-0.598,85,"28",18,4797,1093,21.689
26,"=","DJ SNAKE & ALUNAGEORGE","You Know You Like It",2660,113,896,38,16.579,0.544,33,"64",26,2660,896,16.579
27,"=","LILLYWOOD & ROBIN SCHULZ","Prayer In C",2500,-24,-454,132,22.318,-0.127,158,"144",6,10755,1413,68.631
28,"+1","CHRIS BROWN & TYGA","Ayo",2474,24,343,-3,11.871,0.043,51,"77",28,2474,346,11.871
29,"-1","NICKI MINAJ","Truffle Butter f/Drake...",2413,-70,-439,-16,14.306,-0.234,81,"41",24,3035,577,17.071
30,"+1","FIFTH HARMONY","Worth It f/Kid Ink",2402,57,533,6,12.025,0.259,36,"23",30,2402,533,12.025
31,"-1","LUNCHMONEY LEWIS","Bills",2375,-26,88,-94,9.341,-0.342,46,"61",27,2410,672,9.683
32,"+1","GEORGE EZRA","Budapest",1901,13,339,-35,7.417,0.095,38,"20",32,1901,438,7.417
33,"+1","IGGY AZALEA","Trouble f/Jennifer Hudson",1863,-10,200,-88,5.385,-0.065,52,"59",33,1873,475,5.855
34,"-2","USHER","I Don't Mind f/Juicy J",1838,-119,-864,64,9.679,-0.532,123,"91",15,6241,911,35.105
35,"+1","LIFE OF DILLON","Overload",1628,5,135,-9,4.52,0.047,42,"182",35,1628,486,4.52
36,"+1","ANDY GRAMMER","Honey, I'm Good",1602,13,241,-45,6.271,0.133,43,"14",36,1602,286,6.271
37,"+1","SHAGGY F/MOHOMBI/FAYDEE/COSTI","I Need Your Love",1593,23,183,17,7.415,-0.015,46,"270",36,1593,233,7.434
38,"-3","WHO IS FANCY","Goodbye",1589,-81,-326,-55,6.32,-0.338,54,"29",28,2070,427,10.511
39,"=","NATE RUESS","Nothing Without Love",1557,91,1027,-51,7.93,0.123,7,"169",39,1557,1078,7.93
40,"=","RYN WEAVER","OctaHate",1555,127,396,102,4.318,0.437,32,"164",40,1555,396,4.318
41,"=","SHEPPARD","Geronimo",1368,110,489,68,5.682,0.397,49,"57",41,1368,489,5.682
42,"+1","FETTY WAP","Trap Queen",1134,83,432,32,6.469,0.794,11,"5",42,1134,432,6.469
43,"+3","WIZ KHALIFA","See You Again f/Charlie Puth",1083,184,632,145,8.321,1.642,6,"1/65",43,1083,632,8.321
44,"=","R5","Let's Not Be Alone Tonight",1041,10,161,-65,2.714,0.035,13,"300",43,1041,490,2.714
45,"-3","IMAGINE DRAGONS","I Bet My Life",1018,-121,-881,-30,5.871,-0.491,94,"86",27,2178,436,8.841
46,"-1","SIA","Elastic Heart f/The Weeknd...",963,16,124,5,8.28,-0.18,25,"25",44,963,202,8.46
47,"+1","ALESSO","Cool",706,25,209,-6,2.994,0.047,6,"551",47,706,273,2.994
48,"-1","CARLY RAE JEPSEN","I Really Like You",701,14,162,-27,1.889,0.036,8,"84",47,701,216,1.889
49,"=","RIHANNA","Bitch Better Have My Money",691,36,-445,-28,3.102,0.087,10,"15",42,1136,1136,10.863
50,"=","EDEN XO","The Weekend",587,7,78,3,1.334,0.03,11,"921",49,587,98,1.334
