"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",13589,"+148",1358,"-75",91.623,"+0.972",18,1,13589,2273,91.623
2,"=","KATY PERRY E.T.",13291,"-89",-368,"+48",90.343,"-0.646",18,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",13278,"-3",-52,"+12",82.366,"-0.719",18,2,13366,715,84.474
4,"=","BRITNEY SPEARS Till The World Ends",11648,"-67",-214,"-128",74.048,"-0.742",18,3,11896,966,75.819
5,"=","BRUNO MARS Lazy Song",10345,"+2",810,"-155",60.177,"+0.291",18,5,10345,1054,60.177
6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10097,"-52",112,"-101",63.419,"-0.514",18,5,10169,668,65.118
7,"=","TINIE TEMPAH Written In The Stars",8379,"-63",-374,"-61",46.141,"-1.050",18,7,8819,756,54.175
8,"=","PITBULL Give Me Everything f/Ne-Yo",8303,"+175",1525,"-116",58.763,"+1.531",18,8,8303,1811,58.763
9,"=","KE$HA Blow",6681,"-216",-1232,"-30",40.381,"-0.889",18,4,10135,0,56.264
10,"=","RIHANNA S&M",6420,"-114",-1040,"+88",40.929,"-0.256",18,5,10081,0,64.524
11,"=","THE SCRIPT For The First Time",5946,"-172",-275,"-230",31.541,"-0.926",18,11,6229,433,33.625
12,"=","JESSIE J Price Tag f/B.O.B",5778,"-132",-107,"-173",28.85,"-0.894",18,12,5959,582,30.453
13,"=","LUPE FIASCO The Show Goes On",5749,"-24",393,"-181",36.065,"-0.354",18,13,5773,1005,36.419
14,"=","JEREMIH Down On Me f/50 Cent",5613,"-156",-1313,"+93",31.459,"-1.166",18,10,8052,153,44.2
15,"=","LADY GAGA The Edge Of Glory",5122,"+129",1684,"-236",30.52,"+0.672",18,15,5122,2193,30.52
16,"=","CEE LO GREEN F**k You (Forget You)",4673,"-73",-478,"+35",27.322,"-0.710",18,11,5830,0,32.865
17,"=","WIZ KHALIFA Roll Up",4229,"+115",640,"+69",23.138,"+0.699",18,17,4229,725,23.138
18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4088,"-7",158,"-44",21.043,"-0.049",18,17,4096,331,21.118
19,"=","SELENA GOMEZ & THE SCENE Who Says",4072,"-14",334,"-93",23.768,"-0.282",18,18,4086,707,24.162
20,"+1","HOT CHELLE RAE Tonight Tonight",3781,"+64",424,"+32",18.532,"+0.510",18,20,3781,643,18.532
21,"-1","PINK F**kin' Perfect (Perfect)",3765,"-78",-617,"+44",21.045,"-0.292",18,14,5394,0,27.986
22,"+1","LMFAO Party Rock Anthem",3584,"+162",676,"+143",24.91,"+1.610",18,22,3584,676,24.91
23,"+1","JASON DERULO Don't Wanna Go Home",3562,"+168",1346,"-21",19.872,"+0.842",16,23,3562,1463,19.872
24,"-2","ONEREPUBLIC Good Life",3552,"+70",370,"-1",18.329,"+0.428",18,21,3552,580,18.329
25,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3273,"-14",156,"-104",20.541,"-0.005",18,23,3287,605,20.588
26,"=","TAYLOR SWIFT The Story Of Us",2621,"-6",118,"-89",13.143,"+0.337",18,26,2627,587,13.143
27,"=","LADY GAGA Born This Way",2590,"-35",-446,"+11",13.863,"-0.501",18,19,3651,0,20.436
28,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",2234,"+121",823,"+17",15.49,"+0.891",16,28,2234,855,15.49
29,"=","NICKI MINAJ Super Bass",2175,"+104",721,"+43",11.948,"+0.364",18,29,2175,721,11.948
30,"=","CHRIS BROWN Look At Me Now",1733,"+3",-78,"-37",11.947,"+0.011",18,29,1861,229,12.746
31,"=","AVRIL LAVIGNE What The Hell",1581,"-34",-418,"+35",7.684,"-0.196",18,24,2903,0,13.876
32,"=","SHONTELLE Say Hello To Goodbye",1554,"-4",57,"-47",4.613,"+0.126",18,32,1558,142,4.613
33,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1529,"+21",239,"-56",6.586,"+0.130",18,33,1529,525,6.586
34,"+1","RIHANNA California King Bed",1509,"+54",556,"-26",7.922,"+0.275",13,34,1509,616,7.922
35,"-1","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",1345,"-150",-1111,"+14",6.616,"-0.788",18,21,3233,127,13.744
36,"=","MAROON 5 Never Gonna Leave This Bed",1339,"-9",146,"-65",4.759,"-0.069",18,36,1348,312,4.828
37,"=","DR. DRE I Need A Doctor f/Eminem",1195,"-91",-777,"+95",9.589,"-0.577",18,20,3521,0,21.933
38,"+2","THE READY SET Young Forever",1006,"+7",33,"-3",2.459,"-0.028",18,38,1006,107,2.494
39,"=","BRITNEY SPEARS Hold It Against Me",963,"-52",-96,"-56",6.281,"-0.716",18,37,1171,58,8.927
40,"-2","BIG TIME RUSH Boyfriend",960,"-160",-862,"-112",3.664,"-0.721",18,30,1912,197,7.455
41,"+1","NEON TREES Your Surrender",951,"+4",97,"-7",2.132,"-0.027",18,41,951,173,2.192
42,"-1","NICKI MINAJ Moment 4 Life f/Drake",896,"-57",-371,"+22",6.675,"-0.514",18,29,2036,0,13.564
43,"+1","THE BAND PERRY If I Die Young",875,"+29",205,"+3",3.288,"+0.120",18,43,875,205,3.288
44,"-1","MY CHEMICAL ROMANCE Sing",848,"-51",-516,"+42",4.603,"-0.273",18,29,2009,0,7.995
45,"=","T-PAIN Best Love Song f/Chris Brown",705,"+8",114,"-19",2.973,"+0.058",16,45,705,151,3.001
46,"=","STEVEN TYLER (It) Feels So Good",678,"+6",252,"-19",3.049,"-0.038",7,46,678,326,3.087
47,"+3","NICOLE SCHERZINGER Right There",667,"+70",404,"+51",5.65,"+0.531",2,47,667,404,5.65
48,"-1","BEYONCE Run The World (Girls)",630,"-34",-436,"-19",2.343,"-0.034",18,35,1285,242,5.356
49,"=","CHRIS BROWN She Ain't You",626,"+19",138,"-18",5.003,"+0.062",7,49,626,201,5.003
50,"--","KATY PERRY Last Friday Night (T.G.I.F.)",568,"--",323,"--",4.705,"--",1,50,568,323,4.705
