"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","TAYLOR SWIFT","I Knew You Were Troubl...",14947,-103,-713,20,119.389,-0.898,101,"10",1,16073,2452,126.481
2,"=","SWEDISH HOUSE MAFIA","Don't You Worry Child",14615,5,-77,17,111.237,-0.611,172,"24",2,14704,1905,116.982
3,"=","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",13305,58,840,-173,98.715,0.34,102,"3",3,13305,2020,98.715
4,"=","WILL.I.AM & BRITNEY SP...","Scream And Shout",13036,-121,84,-214,97.708,-0.739,95,"9",3,13157,2182,99.406
5,"=","MAROON 5","Daylight",11570,152,992,43,86.108,1.068,97,"14",5,11570,1308,86.108
6,"=","CALVIN HARRIS","Sweet Nothing f/Floren...",9805,-3,413,-144,76.666,-0.513,105,"29",6,9808,1126,77.524
7,"=","BRUNO MARS","Locked Out Of Heaven",9555,-128,-735,-84,78.981,-1.147,150,"16",1,15928,2790,124.488
8,"=","LUMINEERS","Ho Hey",8333,-145,-809,-91,63.164,-0.798,165,"15",2,13545,1921,101.636
9,"=","KE$HA","C'mon",8145,-23,119,-56,47.756,-1.077,74,"44",9,8228,1547,54.334
10,"=","BRUNO MARS","When I Was Your Man",7876,182,1113,-8,63.599,1.403,44,"2",10,7876,1738,63.599
11,"=","JUSTIN TIMBERLAKE","Suit & Tie f/JAY Z",7473,124,478,149,52.382,1.236,45,"7",11,7473,6457,59.334
12,"+1","IMAGINE DRAGONS","It's Time",7250,112,354,38,47.749,0.587,158,"33",12,7250,983,47.749
13,"-1","JUSTIN BIEBER","Beauty And A Beat f/N....",7195,-54,-1050,140,53.106,-1.72,133,"50",2,12731,1998,87.772
14,"=","KELLY CLARKSON","Catch My Breath",6809,35,372,20,44.432,0.424,125,"32",14,6809,767,44.432
15,"=","PINK","Try",5871,-136,-1456,112,45.903,-1.243,123,"40",6,9909,1515,66.33
16,"=","PITBULL","Feel This Moment",5795,136,1295,-117,44.221,1.472,53,"13",16,5795,1516,44.221
17,"+1","RIHANNA","Stay f/Mikky Ekko",5660,238,1617,92,45.189,2.633,32,"5",17,5660,1617,45.189
18,"-1","THE SCRIPT","Hall Of Fame f/will.i....",5332,-98,-293,-67,29.112,-0.687,165,"36",16,5672,564,31.748
19,"=","OLLY MURS","Troublemaker f/Flo Rid...",4746,61,173,7,32.498,0.412,73,"18",18,4746,766,32.498
20,"=","ONE DIRECTION","Kiss You",4233,58,373,37,22.204,0.058,37,"65",20,4233,1186,22.204
21,"+1","MUMFORD & SONS","I Will Wait",3981,34,415,-74,26.165,0.52,54,"17",21,3981,747,26.165
22,"-1","ALICIA KEYS","Girl On Fire",3938,-210,-1461,25,25.802,-0.917,128,"28/93",9,7658,1171,50.899
23,"=","OF MONSTERS AND MEN","Little Talks",3877,37,188,8,23.944,0.42,102,"23",20,3877,655,24.51
24,"=","CHRIS WALLACE","Remember When (Push Re...",2791,17,-10,33,13.917,0.085,200,"124",24,2858,332,13.917
25,"+1","KREWELLA","Alive",2726,121,847,12,24.339,0.566,21,"89",25,2726,916,24.339
26,"-1","HUNTER HAYES","Wanted",2666,-71,-312,-52,16.879,-0.5,137,"34",23,3020,368,18.605
27,"=","NELLY","Hey Porsche",2464,4,78,-19,13.804,0.082,41,"22",26,2464,673,13.955
28,"=","FUN.","Carry On",2252,34,409,-42,12.923,0.209,51,"21",27,2252,495,12.923
29,"=","FALL OUT BOY","My Songs Know What You...",2241,130,974,-8,12.845,0.204,18,"31",29,2241,1015,12.845
30,"=","ICONA POP","I Love It f/Charli XCX",1769,100,629,21,15.306,0.855,20,"51",30,1769,629,15.306
31,"=","BRITT NICOLE","Gold",1549,-9,2,-31,5.549,-0.023,74,"142",29,1575,314,5.654
32,"=","MUSE","Madness",1431,27,262,20,4.873,0.172,75,"47",32,1431,262,4.873
33,"+1","AFROJACK & CHRIS BROWN","As Your Friend",1349,43,220,20,9.804,-0.059,28,"63",33,1349,362,9.977
34,"-1","CHER LLOYD","With Ur Love f/Juicy J",1342,21,305,-31,6.149,0.138,18,"229",33,1342,571,6.149
35,"+1","NE-YO","Forever Now",1063,30,194,5,10.792,0.531,34,"298",35,1063,269,10.792
36,"-1","TREY SONGZ","Simply Amazing",1036,-4,5,-38,6.199,-0.038,32,"154",35,1054,243,6.918
37,"=","PITBULL","Don't Stop The Party",985,-23,-290,47,5.953,-0.073,144,"76",12,6363,675,41.893
38,"+1","EMELI SANDE","Next To Me",984,64,331,13,9.073,0.448,12,"57",38,984,453,9.073
39,"+2","PINK","Just Give Me A Reason",968,130,647,56,7.675,0.862,8,"30",39,968,647,7.675
40,"-2","ONEREPUBLIC","If I Lose Myself",937,13,172,-16,2.958,0.052,23,"279",38,937,318,2.958
41,"-1","JONN HART","Who Booty f/French Mon...",875,-35,-483,30,4.11,-0.121,87,"111",29,1580,252,6.617
42,"=","BAAUER","Harlem Shake",748,50,485,-3,5.214,0.136,7,"4",42,748,488,5.214
43,"+1","JUSTIN BIEBER","All Around The World",713,62,337,28,5.835,0.368,11,"310",43,713,337,5.835
44,"-1","A$AP ROCKY","F**kin Problems f/Drak...",692,11,76,-1,3.097,0.056,25,"26",41,692,154,3.097
45,"=","BENNY BENASSI","Cinema f/Gary Go",582,-5,114,-23,3.936,-0.208,18,"255",43,587,155,4.68
46,"+1","LITTLE MIX","Wings",468,32,189,9,1.432,0.091,5,"209",46,468,189,1.432
47,"+2","MIGUEL","Adorn",431,31,115,35,6.39,0.262,109,"117",33,1329,248,9.94
48,"=","STEFANO","Yes To Love",421,17,35,10,0.724,0.027,11,"--",46,421,70,0.737
49,"+1","HOT CHELLE RAE","Hung Up",397,6,86,-16,1.177,0.004,3,"--",49,397,102,1.177
50,"-4","SKYLAR GREY","C'mon Let Me Ride f/Em...",394,-68,-628,13,0.807,-0.142,46,"178",32,1286,381,5.139
