"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","PHARRELL WILLIAMS","Happy",16742,134,1903,-302,117.542,0.912,60,"1",1,16742,2414,117.542
2,"=","LORDE","Team",16348,-92,176,-202,108.068,0.076,116,"12",1,16451,1641,108.068
3,"=","KATY PERRY","Dark Horse",16258,-51,-735,25,117.567,-0.126,117,"4",1,17515,2780,123.167
4,"=","BASTILLE","Pompeii",15058,26,530,-163,100.376,0.054,131,"8",3,15058,1804,100.897
5,"=","JASON DERULO","Talk Dirty f/2 Chainz",13275,63,355,-65,86.717,0.27,80,"6/13",5,13275,2775,86.717
6,"=","JOHN LEGEND","All Of Me",10177,263,2363,-114,74.885,1.76,49,"2",6,10177,2520,74.885
7,"=","ONEREPUBLIC","Counting Stars",9144,-85,-588,-14,70.965,-0.995,158,"20",1,16524,2609,113.696
8,"=","ALOE BLACC","The Man",7932,30,277,-102,41.414,0.001,56,"3",8,7932,1722,42.029
9,"+1","DEMI LOVATO","Neon Lights",7746,153,869,2,41.95,0.624,111,"39",9,7746,869,41.95
10,"-1","ELLIE GOULDING","Burn",7516,-121,-623,21,50.521,-0.838,164,"43",2,14810,1623,95.425
11,"+2","AMERICAN AUTHORS","Best Day Of My Life",7141,116,1115,9,41.557,1.158,100,"14",11,7141,1116,41.557
12,"-1","BRUNO MARS","Young Girls",7066,-365,-1255,-388,37.757,-1.604,96,"73",8,8405,938,46.994
13,"+1","BEYONCE","Drunk In Love f/Jay Z",7012,70,389,-3,39.349,-0.072,59,"18",13,7012,1663,41.601
14,"+1","AVICII","Hey Brother",7004,68,575,-17,42.983,0.199,104,"11",14,7004,816,42.983
15,"-3","ONE DIRECTION","Story Of My Life",6987,-158,-2421,379,45.141,-1.347,140,"29",3,12896,1527,82.164
16,"=","CASH CASH","Take Me Home f/Bebe Rexha",6657,6,145,-40,36.949,-0.076,122,"64",14,6665,1074,37.25
17,"=","MARTIN GARRIX","Animals",5716,23,488,-135,36.39,0.179,108,"19",17,5716,993,36.618
18,"=","EMINEM","The Monster f/Rihanna",5713,81,-436,185,41.193,0.005,141,"68",1,16414,2904,117.022
19,"+1","JUSTIN TIMBERLAKE","Not A Bad Thing",4971,209,1862,-145,32.962,1.107,24,"24",19,4971,2024,32.962
20,"-1","A GREAT BIG WORLD","Say Something w/C. Aguilera",4786,-168,-2035,284,28.315,-0.794,117,"21",7,10605,1506,64.936
21,"=","THE CHAINSMOKERS","#Selfie",4508,216,1632,11,29.143,1.116,30,"7",21,4508,1709,29.143
