"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KE$HA","Die Young",15527,"-28",185,"-144",121.739,"+0.154",75,"7",1,15607,3842,121.911
2,"=","BRUNO MARS","Locked Out Of Heaven",14485,"+112",1386,"-206",111.05,"+0.425",69,"1",2,14485,2790,111.05
3,"=","RIHANNA","Diamonds",13026,"+16",844,"-241",95.524,"-0.589",74,"6",3,13026,2812,96.67
4,"=","NE-YO","Let Me Love You",12190,"-1",301,"-147",90.25,"-0.123",122,"26",4,12234,1345,90.373
5,"=","MAROON 5","One More Night",11821,"-176",-1167,"-31",90.895,"-1.493",144,"15",1,15401,1593,119.954
6,"+1","FLO RIDA","I Cry",9621,"-10",566,"-193",72.526,"+0.551",85,"11",6,9631,1268,72.526
7,"-1","FUN.","Some Nights",9588,"-122",-1398,"+120",67.827,"-1.406",182,"16",2,13297,1295,93.147
8,"=","LUMINEERS","Ho Hey",8552,"+235",1867,"+2",65.631,"+2.001",84,"3",8,8552,1867,65.631
9,"=","PHILLIP PHILLIPS","Home",7846,"+195",851,"+195",51.657,"+0.666",151,"9",9,7846,1033,51.657
10,"+1","JUSTIN BIEBER","Beauty And A Beat f/...",7352,"+40",786,"-217",56.936,"+0.770",52,"8",10,7352,1998,56.936
11,"-1","ALEX CLARE","Too Close",7342,"-157",-1610,"+114",44.475,"-0.923",194,"44",4,11973,1328,81.998
12,"+2","PINK","Try",6263,"+66",994,"-127",41.726,"+0.741",42,"12",12,6263,1515,41.726
13,"-1","NICKI MINAJ","Va Va Voom",6262,"-29",74,"+6",44.143,"-0.686",51,"30",12,6322,1566,45.452
14,"+1","ED SHEERAN","The A Team",6034,"+54",506,"-7",50.216,"+0.023",112,"25",14,6034,868,50.216
15,"-2","CHRIS BROWN","Don't Wake Me Up",6012,"-212",-1604,"+22",42.237,"-1.280",175,"61",6,10385,1456,75.301
16,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",5378,"+41",686,"-61",44.806,"+0.536",91,"19",16,5378,904,44.806
