"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",14225,26,408,-29,95.584,0.139,28,1,14225,2273,95.584
2,"=","KATY PERRY E.T.",12548,-117,-544,-15,85.618,-1.183,28,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",12173,-185,-985,-142,77.763,-0.905,28,2,13366,715,84.474
4,"=","BRUNO MARS Lazy Song",11365,130,966,97,61.378,0.472,28,4,11365,1054,61.378
5,"=","BRITNEY SPEARS Till The World Ends",10849,-168,-688,-157,71.285,-0.653,28,3,11896,966,75.819
6,"=","PITBULL Give Me Everything f/Ne-Yo",10089,244,1366,82,72.877,1.564,28,6,10089,1811,72.877
7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9517,-146,-526,-126,58.789,-0.66,28,5,10169,668,65.118
8,"=","TINIE TEMPAH Written In The Stars",7222,-206,-993,-171,39.75,-1.656,28,7,8819,756,54.175
9,"=","LUPE FIASCO The Show Goes On",7021,122,1043,38,42.627,0.536,28,9,7021,1043,42.627
10,"=","LADY GAGA The Edge Of Glory",6874,231,1392,121,41.489,1.301,28,10,6874,2193,41.489
11,"=","KE$HA Blow",5549,-161,-707,-90,34.416,-1.013,28,4,10135,0,56.264
12,"=","RIHANNA S&M",5402,-141,-589,-61,36.025,-1.037,28,5,10081,0,64.524
13,"=","JESSIE J Price Tag f/B.O.B",5246,-224,-510,-222,25.631,-1,28,12,5959,582,30.453
14,"+1","JASON DERULO Don't Wanna Go Home",5074,207,1157,147,27.461,1.003,26,14,5074,1463,27.461
15,"+1","LMFAO Party Rock Anthem",5032,196,1135,123,36.637,1.653,28,15,5032,1135,36.637
16,"-2","THE SCRIPT For The First Time",4938,-180,-958,-161,28.388,-0.656,28,11,6229,433,33.625
17,"=","WIZ KHALIFA Roll Up",4699,32,312,-38,26.019,0.108,28,16,4699,725,26.019
18,"=","HOT CHELLE RAE Tonight Tonight",4528,62,599,-3,22.077,0.471,28,18,4528,643,22.077
19,"=","SELENA GOMEZ & THE SCENE Who Says",4427,20,272,-2,26.001,-0.202,28,17,4427,707,26.291
20,"=","JEREMIH Down On Me f/50 Cent",4136,-190,-1094,-98,24.022,-0.975,28,10,8052,153,44.2
21,"=","ONEREPUBLIC Good Life",4117,74,337,32,21.078,0.237,28,21,4117,580,21.078
22,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3874,-104,-223,-120,20.724,-0.253,28,17,4096,331,21.342
23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3758,19,214,-57,20.097,-0.226,28,23,3758,605,21.932
24,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3180,70,674,6,19.517,0.056,26,24,3180,864,19.517
25,"+1","NICKI MINAJ Super Bass",3030,116,573,59,17.46,0.91,28,25,3030,834,17.46
26,"-1","TAYLOR SWIFT The Story Of Us",2979,14,255,-36,14.539,-0.026,28,24,2979,587,14.565
27,"=","LADY GAGA Born This Way",2463,-46,-69,-36,13.216,-0.159,28,19,3651,0,20.436
28,"=","RIHANNA California King Bed",2166,69,470,14,10.483,0.192,23,28,2166,616,10.483
29,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1985,63,372,39,8.882,0.304,28,29,1985,525,8.882
30,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",1823,222,1064,173,11.672,1.353,11,30,1823,1064,11.672
31,"-1","SHONTELLE Say Hello To Goodbye",1773,7,120,-12,5.587,0.026,28,29,1773,174,5.587
32,"-1","MAROON 5 Never Gonna Leave This Bed",1658,29,251,2,6.502,0.183,28,31,1658,312,6.502
33,"=","NICOLE SCHERZINGER Right There",1559,71,621,-19,9.296,0.263,12,33,1559,697,9.296
34,"=","CHRIS BROWN Look At Me Now",1436,-45,-304,-32,8.748,-0.518,28,28,1861,229,12.746
35,"=","THE BAND PERRY If I Die Young",1424,93,413,35,5.464,0.436,28,34,1424,413,5.464
36,"=","NEON TREES Your Surrender",1091,8,132,-5,2.732,0.039,28,36,1091,173,2.732
37,"=","THE READY SET Young Forever",1024,-7,0,-14,2.476,-0.006,28,35,1045,107,2.59
38,"=","DR. DRE I Need A Doctor f/Eminem",963,-30,-118,0,7.947,-0.24,28,20,3521,0,21.933
39,"+3","CHRIS BROWN She Ain't You",867,40,208,20,5.662,0.117,17,39,867,208,5.662
40,"-1","T-PAIN Best Love Song f/Chris Brown",859,14,133,3,3.472,0.085,26,39,859,151,3.472
41,"=","STEVEN TYLER (It) Feels So Good",839,8,133,-2,3.408,0.043,17,41,839,326,3.408
42,"-2","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",791,-42,-209,38,3.623,-0.168,28,21,3233,127,13.744
43,"=","AVRIL LAVIGNE Smile",666,14,122,-10,1.836,0.041,10,43,666,226,1.836
44,"=","CEE LO GREEN Bright Lights Bigger City",563,4,111,-14,2.261,0.089,9,44,563,125,2.261
45,"=","TRAIN Save Me San Francisco",499,9,1,4,2.035,0.04,10,45,499,92,2.035
46,"=","LIL WAYNE How To Love",466,48,301,1,2.274,0.033,3,46,466,301,2.274
47,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",427,15,147,-4,3.274,0.077,3,47,427,151,3.274
48,"=","BIG SEAN My Last f/Chris Brown",399,-3,22,-20,1.406,0.047,4,46,404,55,1.406
49,"=","IYAZ Pretty Girls",395,49,258,46,0.842,0.185,3,49,395,258,0.842
50,"=","HOLLYWOOD UNDEAD Coming Back Down",343,8,10,19,0.835,0.021,3,49,343,10,0.835
