"Title","Artist","Spins"
"Partition","BEYONCE",3836
"Happy","PHARRELL WILLIAMS",3590
"The Worst","JHENE AIKO",3376
"Loyal f/Lil' Wayne","CHRIS BROWN",3105
"Part II (On The Run) f/Beyonce","JAY Z",3065
"Show Me f/Chris Brown","KID INK",3039
"Drunk In Love f/Jay Z","BEYONCE",2948
"Na Na","TREY SONGZ",2611
"Stoner","YOUNG THUG",2561
"Paranoid","TY DOLLA $IGN",2499
"Move That Doh f/Pharrel","FUTURE",2379
"Trophies","DRAKE",2357
"All Of Me","JOHN LEGEND",2258
"Can't Raise A Man","K. MICHELLE",2210
"Sex You","BANDO JONEZ",1891
"Cut Her Off","K CAMP",1760
"Dark Horse f/Juicy J","KATY PERRY",1628
"Show Da World f/Kiara","BOOSIE & WEBBIE",1572
"Who Do You Love f/Drake","YG",1484
"Man Of The Year","SCHOOLBOY Q",1327
"Yayo","SNOOTIE WILD",1218
"Next","SEVYN STREETER",1023
"Lookin Ass f/Nicki Minaj","YOUNG MONEY",973
"Candy Rain f/Billy Bang","ANTHONY LEWIS",822
"Party Girls f/Wiz & Jeremih","LUDACRIS",822
"Thug Cry f/Lil Wayne","RICK ROSS",777
"Be Like","RICO LOVE",754
"Forever","SEBASTIAN MIKAEL",726
"Smoke, Drink, Break-Up","MILA J",720
"Gimme Your Love","KESINGTON KROSS",716
"Double Cup f/Jeezy, Ludacris","DJ INFAMOUS",704
"You're Mine (Eternal)","MARIAH CAREY",679
"I Know f/Rich Homie Quan","YO GOTTI",626
"2 On f/Schoolboy Q","TINASHE",608
"Make It Home f/Jeezy","AUGUST ALSINA",607
"She Twerkin","CA$H OUT",603
"Drop It f/B.o.B.","TREVOR JACKSON",587
"Drop That #NaeNae","WE ARE TOONZ",571
"Legs Shakin'","R. KELLY",560
"Throwback f/Chris Brown","B.O.B",553
"Main Chick f/Chris Brown","KID INK",524
"Walk Thru f/Problem","RICH HOMIE QUAN",514
"Talkin Bout f/Chris Brown, Wiz","JUICY J",498
"Smoke f/Trey Songz","50 CENT",479
"Talk Dirty f/2 Chainz","JASON DERULO",450
"Henny","MACK WILDS",449
"My Bae f/Jeremih","VADO",392
"You Like It","OMARION",379
"Danny Glover","YOUNG THUG",374
"We Dem Boyz","WIZ KHALIFA",321
