"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","RAE SREMMURD","Tho Sum Mo f/Nicki Minaj",4225,-43,272,-79,27.044,0.131,90,"57",1,4268,546,27.044
2,"=","FETTY WAP","Trap Queen",4122,38,212,18,26.135,0.134,71,"5",2,4122,687,26.135
3,"=","NICKI MINAJ","Truffle Butter f/Drake...",3580,-59,-205,-71,24.54,-0.215,92,"29",1,4068,655,26.726
4,"=","CHRIS BROWN & TYGA","Ayo",3200,-70,-175,-69,20.517,-0.548,88,"59",4,3407,605,22.558
5,"=","THE WEEKND","Earned It",3012,85,564,11,17.885,0.453,77,"2",5,3012,564,17.885
6,"=","BEYONCE","7/11",2713,-85,-433,-72,18.27,-0.206,129,"121",1,4359,931,29.134
7,"=","NICKI MINAJ","Feeling Myself f/Beyonce",2687,-2,-143,-32,16.388,-0.305,108,"129",7,2830,482,17.286
8,"=","USHER","I Don't Mind f/Juicy J",2504,-102,-673,-5,16.601,-0.317,155,"68",1,4097,458,25.968
9,"=","DRAKE","How About Now",2328,-4,85,9,18.423,0.109,137,"--",7,2700,618,18.942
10,"=","BIG SEAN","Blessings f/Drake",2288,42,142,4,13.586,0.285,53,"66",10,2288,429,13.586
11,"=","BIG SEAN","I Don't F**k With You f/E-40",2241,2,-184,29,15.83,0.047,183,"1069",1,4208,509,26.691
12,"=","KANYE WEST F/T.LONDON","All Day f/A.Kingd./P.McCartney",2126,48,284,7,13.496,0.377,28,"73",12,2126,934,13.496
13,"=","CIARA","I Bet",2091,51,152,19,10.821,0.208,66,"80",13,2091,332,10.821
14,"=","OMARION","Post To Be f/Chris Brown&Jhene",1923,11,175,-29,13.679,0.209,46,"35",14,1923,533,13.679
15,"=","SEVYN STREETER","Don't Kill The Fun",1910,32,38,41,11.793,0.164,75,"706",14,1910,477,12.149
16,"=","LUDACRIS","Good Lovin f/Miguel",1849,-7,-34,-1,10.442,0.09,137,"65",14,1889,290,10.887
17,"=","FUTURE","F*ck Up Some Commas",1719,52,319,19,9.983,0.26,53,"136",17,1719,410,9.983
18,"=","TREY SONGZ","Slow Motion",1668,32,74,17,10.036,0.093,42,"61",17,1668,394,10.036
19,"=","MARK RONSON","Uptown Funk f/Bruno Mars",1556,-13,-36,-31,9.498,-0.023,62,"3",19,1599,424,9.765
20,"=","WALE","The Matrimony f/Usher",1522,69,237,50,10.033,0.517,26,"44",20,1522,514,10.033
21,"=","K CAMP","Lil Bit",1411,34,125,18,7.286,0.187,53,"264",21,1411,257,7.286
22,"=","J. COLE","Apparently",1271,-74,-453,-47,7.547,-0.378,109,"377",8,2750,675,16.019
23,"+1","T.I.","Private Show f/Chris Brown",1226,10,128,-17,6.738,0.167,38,"671",23,1226,374,6.738
24,"+1","MIGOS","One Time",1192,10,58,-20,5.36,0.139,29,"362",24,1192,337,5.36
25,"-2","TK N CASH","Mind Right",1178,-76,-326,-60,4.864,-0.256,118,"674",17,1556,278,7.124
26,"=","THE-DREAM","That's My S**t",1128,25,60,18,5.483,-0.028,50,"389",26,1128,252,5.71
27,"=","KEVIN GATES","I Don't Get Tired (#IDGT)",983,11,93,-13,4.106,-0.001,39,"172",27,983,197,4.196
28,"+2","ANTHONY LEWIS","It's Not My Fault f/T.I.",907,37,221,14,3.114,0.046,64,"--",28,907,222,3.114
29,"=","JIDENNA","Classic Man",887,12,99,-5,3.585,-0.021,33,"370",29,887,191,3.642
