"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","2 CHAINZ","No Lie f/Drake",4008,0,-57,0,29.269,0,92,"33",1,4065,632,29.277
2,"=","WALE","Bag Of Money f/Rick ...",3867,0,307,0,25.979,0,125,"390",2,3867,432,25.979
3,"=","USHER","Lemme See f/Rick Ros...",3655,0,-36,0,27.834,0,101,"81",1,3991,662,27.834
4,"=","MEEK MILL","Amen f/Drake & Jerem...",3299,0,452,0,21.521,0,69,"85",4,3299,550,21.521
5,"=","KANYE WEST","Mercy f/Big Sean/Pus...",2856,0,-520,0,23.85,0,125,"24",1,4008,596,30.226
6,"=","TREY SONGZ","2 Reasons /T.I.",2779,0,30,0,16.901,0,57,"105",5,2784,542,17.679
7,"=","WIZ KHALIFA","Work Hard, Play Hard",2408,0,-30,0,10.962,0,97,"36",7,2448,401,11.929
8,"=","J. COLE","Nobody's Perfect",2372,0,-181,0,17.88,0,189,"--",2,3708,501,25.02
9,"=","TREY SONGZ","Heart Attack",2123,0,-193,0,16.836,0,136,"84",1,3755,550,25.522
10,"=","CHRIS BROWN","Till I Die f/Wiz Kha...",2037,0,-8,0,10.367,0,92,"294",10,2047,272,11.282
11,"=","LIL WAYNE","My Homies Still f/Bi...",2021,0,31,0,10.543,0,66,"82",11,2024,463,10.89
12,"=","FUTURE","Turn On The Lights",1992,0,321,0,11.797,0,41,"104",12,1992,565,11.797
13,"=","KEYSHIA COLE","Enough Of No Love f/...",1915,0,203,0,12.2,0,38,"143",13,1915,537,12.2
14,"=","DJ KHALED","Take It To The Head",1901,0,-329,0,15.353,0,133,"130",4,3366,455,24.935
15,"=","RICK ROSS","Touch 'N You f/Usher",1889,0,-21,0,12.308,0,84,"--",13,1960,444,12.905
16,"=","MIGUEL","Adorn",1857,0,353,0,12.466,0,37,"67",16,1857,396,12.466
17,"=","BRANDY","Put It Down f/Chris ...",1794,0,237,0,11.14,0,62,"226",16,1794,342,11.14
18,"=","DRIICKY GRAHAM","Snapbacks & Tattoos",1502,0,-78,0,6.987,0,111,"54",14,1679,244,9.309
19,"=","NE-YO","Lazy Love",1362,0,139,0,7.101,0,68,"271",19,1362,281,7.101
20,"=","BEYONCE","Dance For You",1336,0,254,0,9.875,0,81,"--",20,1336,256,9.875
21,"=","FRENCH MONTANA","Pop That f/Rick Ross",1332,0,127,0,8.396,0,48,"50",20,1332,291,8.396
22,"=","CHIEF KEEF","I Don't Like f/Lil R...",1238,0,191,0,8.059,0,50,"362",22,1238,417,8.059
23,"=","DRAKE","Crew Love f/The Week...",1184,0,-219,0,8.671,0,153,"--",11,2098,410,18.674
24,"=","OMARION","Let's Talk f/Rick Ro...",1169,0,134,0,5.817,0,63,"--",24,1169,257,5.999
25,"=","BIRDMAN","Born Stunna f/Rick R...",1066,0,16,0,5.141,0,76,"--",24,1086,231,5.141
26,"=","CHRIS BROWN","Sweet Love",1039,0,-133,0,6.912,0,123,"--",13,1748,336,10.681
27,"=","NICKI MINAJ","Beez In The Trap f/2...",919,0,-258,0,5.923,0,125,"98",6,2658,475,18.747
28,"=","FRANK OCEAN","Thinking About You",858,0,145,0,6.905,0,147,"286",28,858,249,6.905
29,"=","BOBBY V","Mirror f/Lil Wayne",690,0,8,0,3.22,0,41,"--",29,690,177,3.22
30,"=","STERLING SIMMS","Tell Her Again",628,0,90,0,2.894,0,46,"--",30,628,157,2.894
31,"=","MYKKO MONTANA","Do It f/K-Camp",622,0,35,0,3.54,0,29,"--",30,628,245,3.54
32,"=","THE-DREAM","Dope Chick f/Pusha T",613,0,59,0,5.361,0,27,"--",30,635,329,5.387
33,"=","DJ KHALED","I Wish You Would",605,0,20,0,4.436,0,23,"247",32,606,204,4.689
34,"=","WAKA FLOCKA FLAME","Get Low f/Nicki Mina...",579,0,-4,0,2.187,0,33,"264",32,588,230,2.388
35,"=","ELLE VARNER","I Don't Care",506,0,140,0,2.707,0,12,"--",35,506,262,2.707
36,"=","TREY SONGZ","Dive In",490,0,136,0,4.497,0,15,"--",36,490,193,4.497
37,"=","YO GOTTI","I Got That Sack",479,0,-11,0,2.262,0,132,"--",22,1215,182,5.8
38,"=","KING L","Val Venis",455,0,77,0,1.572,0,20,"--",38,455,110,1.572
39,"=","DRAKE","HYFR (Hell Ya F**kin...",437,0,-174,0,3.265,0,111,"175",18,1512,406,10.202
40,"=","MARY J. BLIGE","Why f/Rick Ross",423,0,-321,0,2.423,0,118,"--",13,1753,303,9.079
41,"=","FAT JOE","Pride N Joy",403,0,-26,0,1.558,0,31,"--",39,439,131,1.584
42,"=","DIGGY","4 Letter Word",396,0,-98,0,1.564,0,61,"--",36,554,180,3.082
43,"=","CA$H OUT","Big Booty",386,0,19,0,1.354,0,13,"152",42,388,231,1.597
44,"=","KELLY ROWLAND","Ice f/Lil Wayne",372,0,197,0,2.773,0,5,"--",44,372,202,2.773
45,"=","FUTURE","Same Damn Time",369,0,-71,0,2.157,0,146,"--",9,2379,389,15.324
46,"=","KRUSHAI","Legal",346,0,37,0,0.84,0,20,"--",45,353,51,0.84
47,"=","PUSHA T & KANYE WEST","New God Flow",342,0,131,0,1.175,0,6,"191",46,342,173,1.175
48,"=","PLEASURE P","I Love Girls f/Tyga",340,0,81,0,1.516,0,7,"--",47,340,96,1.521
49,"=","LIL CHUCKEE","Da Wop",322,0,3,0,1.518,0,30,"--",43,353,124,1.677
50,"=","T.I.","Go Get It",308,0,69,0,3.043,0,2,"389",50,308,69,3.043
