"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","LIL WAYNE How To Love",3998,"-21",-58,"+7",24.591,"-0.246",76,"7",1,4266,891,27.756
2,"=","DJ KHALED I'm On One f/Drake, Rick Ross",3909,"-52",-232,"-4",29.505,"+0.036",93,"34",1,4543,989,32.584
3,"=","KELLY ROWLAND Motivation f/Lil Wayne",3476,"-14",-137,"+42",25.034,"-0.209",99,"45",1,4671,741,34.283
4,"=","NICKI MINAJ Super Bass",3412,"+12",284,"-28",20.752,"+0.138",70,"16",4,3412,554,20.752
5,"+1","MIGUEL Quickie",3028,"+44",365,"+1",21.494,"+0.237",64,"172",5,3028,553,21.494
6,"-1","BEYONCE Best Thing I Never Had",3011,"+10",148,"-60",18.686,"+0.069",74,"29",5,3011,520,18.686
7,"=","JAY Z & KANYE WEST Otis f/Otis Redding",2950,"+73",568,"-32",20.316,"+0.377",28,"--",7,2950,1048,20.316
8,"=","MIGUEL Sure Thing",2720,"-17",-168,"-32",22.825,"-0.044",99,"99",1,4364,460,30.251
9,"=","CHRIS BROWN She Ain't You",2610,"-42",-309,"+38",17.893,"-0.480",99,"57",4,3708,630,25.447
10,"+1","BIG SEAN Marvin & Chardonnay",2475,"+59",418,"-23",16.678,"+0.468",47,"63",10,2475,552,16.678
11,"-1","LUPE FIASCO Out Of My Head f/Trey Songz",2421,"-2",17,"-23",17.56,"+0.025",99,"97",10,2432,303,17.56
12,"+1","BIG SEAN My Last f/Chris Brown",2268,"-9",-258,"+64",18.735,"+0.165",99,"--",2,3871,461,26.108
13,"-1","TREY SONGZ Unusual f/Drake",2200,"-97",-402,"-58",15.676,"-0.453",99,"567",6,3159,477,20.6
14,"=","RIHANNA Man Down",2185,"-83",-384,"-62",14,"-0.366",99,"190",8,2726,421,17.159
15,"=","DJ DRAMA Oh My f/Fab, Wiz, Roscoe",1834,"-1",28,"-13",10.146,"+0.049",99,"345",13,1842,363,11.166
16,"=","WALE That Way f/Jeremih & Rick Ross",1649,"+6",133,"-30",10.046,"+0.111",57,"330",16,1649,373,10.046
17,"=","DRAKE Marvin's Room",1645,"+13",169,"-17",11.715,"+0.153",53,"36",17,1645,417,11.715
18,"=","CHRIS BROWN Wet The Bed",1270,"+24",261,"-33",7.887,"+0.244",23,"724",18,1270,405,7.887
19,"+2","DRAKE Headlines",1257,"+76",671,"-15",9.399,"+0.487",11,"9",19,1257,686,9.399
20,"+2","MINDLESS BEHAVIOR Mrs. Right f/Diggy Sim...",1180,"+15",174,"-20",6.198,"-0.001",26,"208",20,1180,359,6.199
21,"-1","ESTELLE Break My Heart f/Rick Ross",1171,"-12",52,"-33",6.151,"-0.305",85,"--",19,1185,200,6.814
22,"-3","WIZ KHALIFA On My Level f/Too Short",1150,"-75",-402,"-62",5.508,"-0.313",85,"--",14,1733,356,10.111
23,"+1","MONICA Anything f/Rick Ross & Lil Kim",1061,"+44",232,"+26",6.987,"+0.096",34,"--",23,1061,232,6.987
24,"+1","TINIE TEMPAH Till I'm Gone f/Wiz Khalifa",1017,"+14",81,"+13",3.818,"+0.077",60,"150",23,1017,177,3.818
25,"-2","FRANK OCEAN Novacane",999,"-47",-371,"-7",5.624,"-0.286",91,"458",14,1747,240,10.925
26,"+1","ACE HOOD Body 2 Body f/Chris Brown",868,"+22",219,"-10",4.612,"+0.214",30,"--",26,868,229,4.612
27,"+1","CJ HILTON So Fresh f/Nas",833,"-4",25,"-23",3.74,"-0.091",47,"--",26,847,282,3.862
28,"-2","YOUNG JEEZY Ballin f/Lil Wayne",831,"-46",-300,"+33",3.922,"-0.127",99,"--",9,2234,359,13.189
29,"+1","GAME Pot Of Gold f/Chris Brown",787,"+31",177,"+19",2.774,"-0.004",33,"183",29,787,333,2.778
30,"-1","YO GOTTI We Can Get It On",748,"-24",-190,"-6",3.858,"-0.121",99,"--",18,1286,183,6.7
31,"+1","MEEK MILL I'm A Boss f/Rick Ross",744,"+34",157,"+2",4.777,"+0.305",16,"--",31,744,319,4.777
32,"-1","J. COLE Workout",731,"+12",138,"-14",2.949,"+0.115",18,"--",31,731,255,2.949
33,"+1","MAINO Let It Fly (Hands In The Air)",686,"-23",-77,"-39",2.791,"+0.018",53,"93",28,761,224,3.227
