"Title","Artist","Spins"
"All Me f/2 Chainz...","DRAKE",3759
"It Won't Stop","SEVYN STREETER",3523
"I Luv This Sh*t","AUGUST ALSINA",3107
"Tom Ford","JAY Z",2761
"Royals","LORDE",2746
"Hold On We're Goi...","DRAKE",2739
"Love More f/Nicki...","CHRIS BROWN",2678
"My Hitta f/Jeezy,...","YG",2660
"They Don't Know","RICO LOVE",2283
"23 f/Miley Cyrus,...","MIKE WILL MADE-IT",2186
"Clappers f/Nicki ...","WALE",2107
"Crooked Smile","J. COLE",2042
"Own It","MACK WILDS",1890
"Last Night f/Wale","SEBASTIAN MIKAEL",1853
"My Story f/2 Chai...","R. KELLY",1782
"The Language","DRAKE",1626
"Honest","FUTURE",1572
"Show Me f/Chris B...","KID INK",1529
"Cold Blood","YO GOTTI",1294
"Up Down (Do This ...","T-PAIN",1287
"F*uckwithmeyoukno...","JAY Z",1283
"The Monster f/Rih...","EMINEM",1215
"No Games f/Future","RICK ROSS",1127
"Ready f/Future","B.O.B",1097
"She Knows","J. COLE",1043
"Used 2","2 CHAINZ",1003
"Drunk In Love f/J...","BEYONCE",988
"Paranoid","TY DOLLA $IGN",966
"Primetime f/Migue...","JANELLE MONAE",778
"Bounce It f/Wale ...","JUICY J",743
"Hanna Montana","MIGOS",712
"Bound 2","KANYE WEST",680
"I Wanna Be With Y...","DJ KHALED",678
"All Of Me","JOHN LEGEND",673
"Gas Pedal","SAGE THE GEMINI",653
"Collard Greens f/...","SCHOOLBOY Q",643
"Know You Better f...","OMARION",641
"All The Way Home","TAMAR BRAXTON",616
"Ghetto f/Rich Hom...","AUGUST ALSINA",606
"What I'm About","JABO",568
"Know That f/Frenc...","2 PISTOLS",556
"Shhh","FUTURE",553
"Money Baby f/Kwon...","K CAMP",434
"Shabba f/A$AP Roc...","A$AP FERG",431
"Know Bout Me f/Ja...","TIMBALAND",430
"For The Rest Of M...","ROBIN THICKE",337
"Thank You f/Kanye...","BUSTA RHYMES",307
"Let Me Love You f...","PUSHA T",247
"O.G. Bobby Johnso...","QUE",212
"Ashley f/Miguel","BIG SEAN",205
