"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DRAKE The Motto f/Lil Wayne",3968,"-4",123,"-41",28.807,"-0.076",88,"21",1,3972,755,29.238
2,"=","CHRIS BROWN Strip f/Kevin McCall",3597,"-23",58,"-75",24.324,"-0.417",85,"70",2,3644,434,24.945
3,"=","TYGA Rack City",3513,"+30",243,"+29",20.552,"-0.025",80,"20",3,3513,726,20.775
4,"=","YOUNG JEEZY I Do f/JAY Z & Andre 3000",3119,"-90",-373,"-71",19.092,"-0.074",94,"231",1,3789,635,22.939
5,"=","WALE Lotus Flower Bomb f/Miguel",3082,"-16",-185,"+21",23.31,"+0.102",138,"198",1,4405,550,29.754
6,"=","DRAKE Make Me Proud f/Nicki Minaj",2987,"-12",-245,"+6",21.783,"-0.191",127,"99",1,4265,505,28.828
7,"=","BEYONCE Love On Top",2967,"+80",588,"+59",20.1,"+0.416",50,"--",7,2967,588,20.1
8,"=","MELANIE FIONA 4 AM",2594,"-6",26,"-21",14.697,"+0.345",180,"174",7,2669,533,14.697
9,"=","MARY J. BLIGE Mr. Wrong",2407,"+15",47,"+29",12.896,"-0.010",110,"--",9,2409,307,13.18
10,"=","DIGGY Do It Like You f/Jeremih",2275,"+7",165,"-1",13.509,"+0.203",101,"245",10,2275,351,13.509
11,"=","TREY SONGZ Sex Ain't Better Than Love",2246,"+32",117,"+14",15.675,"+0.097",49,"411",11,2246,469,15.675
12,"=","J. COLE Can't Get Enough f/Trey Songz",2149,"-3",-228,"+49",15.855,"+0.201",120,"--",4,3048,459,19.366
13,"=","RIHANNA Talk That Talk f/Jay-Z",2110,"+20",52,"-8",13.04,"-0.063",43,"80",13,2110,549,13.103
14,"=","KIRKO BANGZ Drank In My Cup",1875,"+24",192,"-7",11.505,"+0.230",146,"126",14,1875,305,11.505
15,"=","FUTURE Magic f/T.I.",1847,"+46",320,"+14",8.78,"+0.367",44,"189",15,1847,343,8.78
16,"=","RICK ROSS You The Boss f/Nicki Minaj",1701,"-21",-175,"-13",10.785,"+0.011",140,"382",3,3659,534,22.449
17,"+1","JAY Z & KANYE WEST Gotta Have It",1612,"-57",-366,"-9",10.685,"-0.110",85,"115",11,2245,497,13.57
18,"+1","BEYONCE Countdown",1519,"-62",-510,"-12",9.822,"-0.097",135,"237",9,2476,505,15.947
19,"+1","TRAVIS PORTER Ayy Ladies f/Tyga",1496,"+18",284,"-18",8.407,"+0.234",41,"167",19,1496,378,8.407
20,"+1","FRENCH MONTANA Shot Caller",1398,"-23",-30,"-65",6.08,"-0.088",54,"998",20,1465,305,7.031
21,"+1","WAKA FLOCKA FLAME Round Of Applause f/Dr...",1310,"-20",-225,"+26",6.92,"-0.130",130,"200",12,2156,306,13.13
22,"+1","USHER Climax",1223,"+125",764,"+42",8.257,"+0.606",9,"46",22,1223,764,8.257
23,"+1","FAT JOE Another Round f/Chris Brown",1159,"+68",398,"+56",7.149,"+0.291",58,"169",23,1159,398,7.149
24,"+1","MONICA & BRANDY It All Belongs To Me",1023,"-7",364,"-103",4.572,"-0.081",12,"--",24,1030,595,4.653
25,"+1","TYRESE Stay",987,"+6",71,"-7",6.034,"+0.035",64,"--",24,987,317,6.034
26,"+1","LOVERANCE Up! f/50 Cent",965,"+19",253,"-32",5.435,"-0.032",37,"263",26,965,335,5.467
27,"+1","WALE Sabotage f/Lloyd",948,"+42",222,"+39",5.604,"+0.291",23,"--",27,948,299,5.604
28,"+1","MIGUEL Girls Like You",835,"-62",-251,"-79",4.599,"-0.293",104,"--",21,1185,188,5.668
29,"+1","ROBIN THICKE Pretty Lil' Heart f/Lil Way...",827,"-33",-183,"-9",3.91,"-0.118",89,"634",22,1124,272,5.032
30,"+1","JENNIFER HUDSON Think Like A Man f/Ne-Yo",808,"-8",117,"-31",3.348,"-0.066",23,"548",30,816,237,3.414
31,"+2","CASH OUT Cashin Out",732,"+19",127,"-1",2.672,"+0.147",29,"--",31,732,143,2.672
32,"=","J. COLE Nobody's Perfect",731,"+0",94,"-12",3.571,"-0.034",23,"--",32,731,297,3.605
33,"+1","ASHANTI The Woman You Love f/Busta",689,"-6",44,"-36",3.338,"-0.068",32,"--",31,702,202,3.406
34,"+2","YOUNG JEEZY SupaFreak f/2 Chainz",670,"+2",12,"+7",4.925,"-0.012",36,"701",30,686,174,5.44
35,"=","MONICA Until It's Gone",665,"-24",-50,"-20",3.039,"-0.052",142,"--",15,1566,276,7.91
36,"+6","RIHANNA Birthday Cake",626,"+105",598,"+108",7.902,"+1.134",3,"69",36,626,598,7.902
37,"=","ESTELLE Thank You",596,"-6",0,"-8",3.303,"+0.008",123,"353",33,634,84,3.359
38,"=","MGK Wild Boy f/Waka Flocka Flame",587,"+15",60,"+6",2.397,"-0.013",40,"175",38,587,171,2.494
39,"+1","THE-DREAM Roc",534,"+6",37,"-8",2.662,"-0.030",29,"--",39,534,251,2.743
40,"+1","JOHN LEGEND Tonight (Best You Ever Had)",531,"+4",120,"-6",2.247,"+0.000",15,"--",40,531,233,2.309
41,"-2","MINDLESS BEHAVIOR Girls Talkin Bout",505,"-38",-201,"-19",2.037,"-0.114",99,"--",26,898,197,3.611
42,"+3","YOUNG JEEZY Leave You Alone f/Ne-Yo",483,"+62",343,"+36",3.544,"+0.195",3,"--",42,483,343,3.544
43,"=","DRAKE Take Care f/Rihanna",471,"-4",-1,"-8",6.748,"+0.016",43,"22",38,496,123,6.892
44,"+3","MYSTIKAL Original f/Lil Wayne & Birdman",368,"+3",17,"+6",1.297,"-0.001",15,"--",44,380,162,1.407
45,"+3","ROCKO Squares Out Your Circle",340,"+4",16,"-6",0.863,"+0.001",12,"--",45,349,112,0.884
46,"+3","LL COOL J No More",319,"-5",-6,"-3",0.909,"-0.067",30,"--",44,374,123,1.202
47,"+3","YO GOTTI Harder f/Rick Ross",309,"-4",-16,"-15",0.652,"+0.006",33,"--",45,347,153,0.753
48,"--","LIL TWIST Turnt Up f/Busta Rhymes",288,"--",-7,"--",0.951,"--",15,"--",48,305,136,1.016
49,"--","DIRTY DAVE DA FLY GUY I Got A Sack",260,"--",96,"--",0.571,"--",1,"--",49,260,96,0.571
50,"--","ELLE VARNER Refill",259,"--",196,"--",1.572,"--",1,"--",50,259,196,1.572
