"Title","Artist","Spins"
"Post To Be f/Chris Brown&Jhene","OMARION",4138
"Slow Motion","TREY SONGZ",3567
"Trap Queen","FETTY WAP",3455
"Blessings f/Drake","BIG SEAN",3385
"Earned It","THE WEEKND",3374
"The Matrimony f/Usher","WALE",3194
"F*ck Up Some Commas","FUTURE",3094
"Bitch Better Have My Money","RIHANNA",2722
"All Day f/A.Kingd./P.McCartney","KANYE WEST F/T.LONDON",2566
"Flex","RICH HOMIE QUAN",2502
"Flicka Da Wrist","CHEDDA DA CONNECT",2425
"Tho Sum Mo f/Nicki Minaj","RAE SREMMURD",2374
"Lil Bit","K CAMP",2339
"I Bet","CIARA",2153
"Wet Dreamz","J. COLE",2112
"Classic Man","JIDENNA",2035
"Private Show f/Chris Brown","T.I.",1993
"Be Real f/Dej Loaf","KID INK",1873
"Truffle Butter f/Drake...","NICKI MINAJ",1802
"I Don't Get Tired (#IDGT)","KEVIN GATES",1607
"You Changed Me f/Chris Brown","JAMIE FOXX",1459
"See You Again f/Charlie Puth","WIZ KHALIFA",1368
"Planes f/J. Cole","JEREMIH",1305
"Watch Me","SILENTO",1271
"How Many Times f/Lil Wayne","DJ KHALED F/C. BROWN/BIG SEAN",1245
"One Time","MIGOS",1122
"Ayo","CHRIS BROWN & TYGA",1086
"Somebody f/Jeremih","NATALIE LA ROSE",1064
"This Could Be Us","RAE SREMMURD",960
"Million","TINK",942
"Make Sum Shake","COOL AMERIKA",815
"Yoga","JANELLE MONAE & JIDENNA",815
"That's My S**t","THE-DREAM",724
"My Way f/Monty","FETTY WAP",723
"Like Me f/Jeremih","LIL DURK",696
"B**ches N Marijuana","CHRIS BROWN & TYGA",693
"Ryda f/DeJ Loaf","GAME",685
"Energy","DRAKE",663
"Hard To Do","K. MICHELLE",637
"Me, U & Hennessy","DEJ LOAF",595
"I Just Wanna...","ELIJAH BLAKE",584
"Pulled Up f/2 Chainz","YOUNG DOLPH",516
"Tell Em f/Young Thug & RH Quan","RICH GANG",509
"Drinks On Us f/Swae Lee","MIKE WILL MADE-IT",455
"Coffee","MIGUEL",454
"Hip Hop","AUGUST ALSINA",406
"King Kunta","KENDRICK LAMAR",394
"Choices","E-40",390
"California Roll f/S. Wonder","SNOOP DOGG",328
"We In Da City","YOUNG DRO",324
