"Title","Artist","Spins"
"Studio","SCHOOLBOY Q",4039
"Believe Me f/Drake","LIL WAYNE",3964
"Fancy f/Charli XCX","IGGY AZALEA",3624
"Loyal f/Lil' Wayne","CHRIS BROWN",3300
"2 On f/Schoolboy Q","TINASHE",3060
"Trophies","DRAKE",3028
"We Dem Boyz","WIZ KHALIFA",2915
"She Twerkin","CA$H OUT",2725
"Fight Night","MIGOS",2471
"Don't Tell 'Em f/YG","JEREMIH",2427
"Good Kisser","USHER",2303
"Cut Her Off","K CAMP",2162
"Walk Thru f/Problem","RICH HOMIE QUAN",2079
"Pills N Potions","NICKI MINAJ",2067
"No Mediocre f/Iggy Azalea","T.I.",2008
"Money Can't Buy f/Jeezy","NE-YO",1881
"No Flex Zone","RAE SREMMURD",1840
"SmartPhones","TREY SONGZ",1791
"Main Chick f/Chris Brown","KID INK",1668
"New Flame f/Rick Ross","CHRIS BROWN",1357
"Lifestyle f/Young Thug","RICH GANG",1355
"Seen It All f/Jay Z","JEEZY",979
"Hookah f/Young Thug","TYGA",915
"Turn Down For What","DJ SNAKE & LIL JON",880
"24 Hours","TEEFLII",876
"Or Nah f/Wiz Khalifa","TY DOLLA $IGN",868
"Pretty Hurts","BEYONCE",862
"I Don't Know f/Paloma Ford","MEEK MILL",827
"Dumb","JAZMINE SULLIVAN",823
"Danny Glover","YOUNG THUG",807
"I Know f/Rich Homie Quan","YO GOTTI",797
"Buy The World f/Lil Wayne","MIKE WILL MADE-IT",753
"About The Money f/Young Thug","T.I.",748
"Birthday Suit","MIKE JAY",738
"They Don't Love You No More","DJ KHALED",734
"Make It Home f/Jeezy","AUGUST ALSINA",689
"Problem f/Iggy Azalea","ARIANA GRANDE",679
"Come Get It Bae","PHARRELL WILLIAMS",606
"I Won f/Kanye West","FUTURE",571
"Walk It Out","JENNIFER HUDSON",568
"She Came To Give It To You","USHER",541
"2AM","ADRIAN MARCEL",530
"0 To 100/The Catch Up","DRAKE",524
"To Love & Die f/Cocaine 80s","JHENE AIKO",516
"Handsome And Wealthy","MIGOS",509
"My Girl f/Trevor Jackson","DIGGY",466
"Suitcase","MARY J. BLIGE",451
"You Don't Know What To Do","MARIAH CAREY",424
"I Want The Love f/Meek Mill","PUFF DADDY",406
"Can I","LOVE DOLLHOUSE",366
