"Title","Artist","Spins"
"Swimming Pools (Dran...","KENDRICK LAMAR",3698
"No Worries f/Detail","LIL WAYNE",3660
"Adorn","MIGUEL",3311
"Don't Judge Me","CHRIS BROWN",3043
"Bands A Make Her Dan...","JUICY J",2891
"Thinking About You","FRANK OCEAN",2735
"Clique f/Big Sean & ...","KANYE WEST",2734
"Ball f/Lil Wayne","T.I.",2583
"Wicked Games","THE WEEKND",2581
"I'm Different","2 CHAINZ",2503
"Diced Pineapples f/D...","RICK ROSS",2408
"Diamonds","RIHANNA",2133
"Remember You f/The W...","WIZ KHALIFA",2122
"Neva End f/Kelly Row...","FUTURE",2053
"Birthday Song f/Kany...","2 CHAINZ",1790
"All Gold Everything","TRINIDAD JAMES",1771
"Ice f/Lil Wayne","KELLY ROWLAND",1753
"Representin' f/Kelly...","LUDACRIS",1583
"F**kin Problems f/Dr...","A$AP ROCKY",1564
"Guap","BIG SEAN",1512
"Trust And Believe","KEYSHIA COLE",1497
"Sorry","CIARA",1415
"Celebration f/Chris ...","GAME",1358
"Do You","MIGUEL",1345
"Young And Gettin It ...","MEEK MILL",1272
"Dive In","TREY SONGZ",1152
"Love Sosa","CHIEF KEEF",946
"M.I.A. f/Wale","OMARION",759
"Brand New Me","ALICIA KEYS",736
"Poetic Justice f/Dra...","KENDRICK LAMAR",701
"Who Booty f/French M...","JONN HART",601
"Need Your Love","ACE HOOD",567
"Check","YO GOTTI",565
"The Blues","TITO LOPEZ",551
"Poppin' Off","WATCH THE DUCK",538
"She Don't Put It Dow...","JOE BUDDEN",538
"I Like It","SEVYN STREETER",514
"Special Delivery","BRIDGET KELLY",497
"Girl On Fire","ALICIA KEYS",489
"Don't Make Em Like Y...","NE-YO",477
"Get Right","YOUNG JEEZY",448
"Yellow Tape f/Lil Wa...","FAT JOE",431
"Hold Up f/Wale","CA$H OUT",410
"Still In This B**ch ...","B.O.B",406
"Smart Girl (Dumb Boo...","TEX JAMES",391
"Make A Little Room","JARVIS",362
"Pour It Up","RIHANNA",358
"Used By You","MARCUS CANTY",338
"Another One f/Future","SLICE9",323
"Freedom","NICKI MINAJ",318
