"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","BEYONCE","7/11",4359,"+0",402,"-102",27.053,"+0.085",70,"69",1,4359,931,27.09
2,"=","BIG SEAN","I Don't F**k With You f/E-40",3953,"-75",-190,"-233",25.874,"-0.375",124,"257",1,4208,509,26.691
3,"=","NICKI MINAJ","Only f/Drake, Lil Wayne",3756,"-31",-196,"-95",26.2,"+0.073",94,"40",1,4075,819,26.2
4,"=","WALE","The Body f/Jeremih",3293,"+78",294,"+10",18.475,"+0.346",130,"304",4,3293,495,18.475
5,"=","USHER","I Don't Mind f/Juicy J",3077,"+46",372,"+3",19.415,"+0.195",96,"33",5,3077,379,19.415
6,"=","DEJ LOAF","Try Me",2754,"-24",-298,"+22",15.165,"+0.039",108,"223",1,3876,758,22.349
7,"=","NE-YO","She Knows f/Juicy J",2591,"+55",185,"+34",14.857,"+0.126",127,"29",7,2591,388,14.857
8,"=","RAE SREMMURD","No Type",2410,"-43",-508,"+52",15.109,"-0.336",125,"73",1,3940,544,24.064
9,"=","J. COLE","Apparently",2378,"+24",144,"-23",13.755,"+0.097",50,"191",9,2378,675,13.755
10,"=","TREY SONGZ","Touchin, Lovin f/Nicki Minaj",2316,"-26",-273,"-13",15.521,"-0.392",155,"272",5,3300,427,22.668
11,"+1","I LOVE MAKONNEN","Tuesday f/Drake",2299,"-3",-199,"+67",12.523,"-0.112",140,"96",1,4155,686,26.844
12,"+2","TAMAR BRAXTON","Let Me Know f/Future",2238,"-25",-128,"-48",10.279,"-0.046",106,"458",12,2366,374,10.943
13,"+2","DRAKE","How About Now",2214,"+110",549,"+35",14.452,"+0.661",78,"--",13,2214,549,14.452
14,"+2","O.T. GENASIS","CoCo",2057,"+36",216,"+12",11.12,"+0.035",78,"83",14,2057,450,11.12
15,"+2","CHRIS BROWN & TYGA","Ayo",1996,"+32",211,"-36",12.491,"+0.224",29,"93",15,1996,605,12.491
