"Title","Artist","Spins"
"It Won't Stop","SEVYN STREETER",3718
"Tom Ford","JAY Z",3358
"I Luv This Sh*t","AUGUST ALSINA",3267
"Hold On We're Goi...","DRAKE",3195
"All Me f/2 Chainz...","DRAKE",2862
"Love More f/Nicki...","CHRIS BROWN",2852
"Crooked Smile","J. COLE",2430
"Last Night f/Wale","SEBASTIAN MIKAEL",2197
"My Story f/2 Chai...","R. KELLY",2142
"Holy Grail f/Just...","JAY Z",2111
"Honest","FUTURE",2102
"My Hitta f/Jeezy,...","YG",2015
"23 f/Miley Cyrus,...","MIKE WILL MADE-IT",1955
"Clappers f/Nicki ...","WALE",1893
"They Don't Know","RICO LOVE",1854
"Bounce It f/Wale ...","JUICY J",1747
"Royals","LORDE",1699
"Own It","MACK WILDS",1663
"No Games f/Future","RICK ROSS",1476
"Used 2","2 CHAINZ",1383
"The Language","DRAKE",1332
"F*uckwithmeyoukno...","JAY Z",1231
"Collard Greens f/...","SCHOOLBOY Q",1174
"Ready f/Future","B.O.B",1021
"I Wanna Be With Y...","DJ KHALED",943
"Show Me f/Chris B...","KID INK",814
"Bound 2","KANYE WEST",784
"Up Down (Do This ...","T-PAIN",776
"Red Nose (Pitbull...","SAGE THE GEMINI",754
"Cold Blood","YO GOTTI",749
"All The Way Home","TAMAR BRAXTON",705
"Primetime f/Migue...","JANELLE MONAE",651
"Hanna Montana","MIGOS",633
"Paranoid","TY DOLLA $IGN",628
"Shabba f/A$AP Roc...","A$AP FERG",598
"She Knows","J. COLE",593
"Know You Better f...","OMARION",543
"The Monster f/Rih...","EMINEM",522
"TKO","JUSTIN TIMBERLAKE",477
"Shhh","FUTURE",471
"Money Baby f/Kwon...","K CAMP",445
"What I'm About","JABO",423
"For The Rest Of M...","ROBIN THICKE",410
"Know That f/Frenc...","2 PISTOLS",378
"King Sh*t","YO GOTTI",378
"Gas Pedal","SAGE THE GEMINI",375
"Ashley f/Miguel","BIG SEAN",369
"Pound Cake/Paris....","DRAKE",364
"Overdose","CIARA",349
"Let Me Love You f...","PUSHA T",344
