"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KELLY ROWLAND Motivation f/Lil Wayne",4556,"-35",-54,"-60",33.075,"-0.379",40,1,4671,741,34.283
2,"=","MIGUEL Sure Thing",3856,"-31",-207,"+0",28.613,"-0.338",40,1,4364,460,30.251
3,"=","BIG SEAN My Last f/Chris Brown",3766,"+2",180,"-41",25.083,"+0.342",40,3,3766,461,25.083
4,"=","CHRIS BROWN She Ain't You",3655,"+0",194,"-11",25.435,"+0.119",40,4,3655,630,25.44
5,"=","DJ KHALED I'm On One f/Drake, Rick Ross",3556,"+71",524,"+12",25.477,"+0.635",34,5,3556,989,25.477
6,"=","MARSHA AMBROSIUS Far Away",2908,"-24",-125,"-26",17.76,"-0.248",40,5,3066,397,19.884
7,"=","LLOYD Cupid",2453,"+39",300,"+35",13.51,"+0.064",40,7,2453,300,13.51
8,"=","TREY SONGZ Unusual f/Drake",2332,"+14",254,"-17",16.464,"+0.239",40,8,2332,477,16.464
9,"=","CHRIS BROWN Look At Me Now",2073,"-74",-640,"-39",16.382,"-0.741",40,2,3494,0,26.238
10,"+1","JAMIE FOXX Best Night Of My Life",2056,"+7",-61,"-16",11.844,"+0.182",40,10,2117,311,12.458
11,"-1","ACE HOOD Hustle Hard",2052,"-48",-211,"-33",12.635,"-0.361",40,7,2503,97,14.627
12,"+1","LIL WAYNE How To Love",1928,"+95",685,"+12",13.182,"+0.584",17,12,1928,778,13.182
13,"-1","YC Racks f/Future",1871,"-43",-212,"-26",9.414,"-0.308",40,4,3411,104,19.707
14,"=","KERI HILSON One Night Stand",1691,"+1",-28,"+30",10.676,"+0.079",40,13,1779,229,10.676
15,"=","YOUNG JEEZY Ballin f/Lil Wayne",1660,"+10",174,"-67",8.703,"+0.281",40,15,1660,359,8.703
16,"+2","RIHANNA Man Down",1552,"+52",309,"+18",10.658,"+0.471",40,16,1552,421,10.658
17,"=","NICKI MINAJ Did It On'em",1496,"-37",-319,"-20",7.385,"-0.161",40,5,3129,0,17.338
18,"+1","LUPE FIASCO Out Of My Head f/Trey Songz",1322,"-9",55,"-33",9.954,"+0.091",40,18,1348,246,9.954
19,"+2","MEEK MILL/RICK ROSS Tupac Back",1173,"+9",-8,"+16",6.374,"+0.202",40,19,1185,380,6.374
20,"=","MARY J. BLIGE Someone To Love Me (Naked)",1132,"-38",-225,"-21",5.325,"-0.110",40,17,1422,100,7.848
21,"+2","WIZ KHALIFA On My Level f/Too Short",1064,"-11",126,"-43",4.948,"-0.099",26,21,1077,356,5.047
22,"=","WIZ KHALIFA Roll Up",1058,"-19",-291,"+40",5.832,"-0.307",40,6,3062,0,16.439
23,"+1","RICK ROSS 9 Piece f/Lil Wayne",1004,"+23",48,"+2",5.613,"+0.180",40,23,1004,297,5.697
24,"+3","LIL WAYNE John f/Rick Ross",934,"-2",-208,"+33",6.742,"+0.113",40,14,1723,37,10.408
25,"=","BEYONCE Best Thing I Never Had",925,"-22",184,"-102",4.677,"-0.167",15,25,947,481,5.063
26,"+2","YO GOTTI We Can Get It On",924,"+1",52,"-4",5.156,"+0.122",40,26,924,99,5.156
27,"-1","TRAVIS PORTER Bring It Back",922,"-18",-135,"+1",4.899,"-0.220",40,22,1288,9,7.626
28,"+1","T-PAIN Booty Wurk (One Cheek At A...",875,"+16",218,"-26",5.211,"-0.014",25,28,875,373,5.359
29,"+1","FRANK OCEAN Novacane",812,"+19",192,"-11",5.641,"+0.224",32,29,812,236,5.641
30,"+3","NICKI MINAJ Super Bass",791,"+41",284,"+13",6.424,"+0.399",11,30,791,318,6.424
31,"=","BIG K.R.I.T. Country Sh**",758,"+3",75,"-17",2.596,"-0.018",36,31,758,277,2.614
32,"=","WAKA FLOCKA FLAME Grove St. Party f/Kebo...",743,"-8",-111,"+17",4.868,"-0.113",40,20,1513,10,9.225
33,"+1","DIDDY-DIRTY MONEY Your Love f/Trey Songz",713,"-21",-313,"+76",3.426,"-0.103",40,12,2053,94,9.345
34,"+1","JENNIFER HUDSON No One Gonna Love You",676,"-16",42,"-49",3.108,"-0.104",20,34,692,271,3.212
35,"+2","SEAN GARRETT In Da Box f/Rick Ross",640,"+13",68,"+9",2.613,"+0.099",27,35,640,176,2.613
36,"=","BEYONCE Run The World (Girls)",633,"-31",-318,"+39",2.593,"-0.063",40,16,1686,271,9.235
37,"+1","K' LA All Your Love",567,"-5",-165,"+29",2.316,"-0.062",40,27,955,157,3.67
38,"+1","BIRDMAN I Get Money f/Lil Wayne",509,"-27",-90,"-34",2.492,"-0.040",40,33,695,186,2.799
39,"+5","MIGUEL Quickie",507,"+59",360,"+50",3.065,"+0.439",5,39,507,360,3.065
