"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","BEYONCE","Drunk In Love f/Jay Z",4432,0,-109,0,34.434,0,77,"12",1,4741,1296,35.847
2,"=","KID INK","Show Me f/Chris Brown",3918,0,223,0,27.181,0,109,"25",2,3918,447,27.181
3,"=","YG","My Hitta f/Jeezy,RichHomieQuan",3316,0,-190,0,24.113,0,154,"384",1,4192,395,28.78
4,"=","DRAKE","The Language",3255,0,223,0,20.354,0,116,"185",4,3255,538,20.354
5,"=","TY DOLLA $IGN","Paranoid",3125,0,267,0,21.395,0,106,"58",5,3125,442,21.395
6,"=","RICO LOVE","They Don't Know",3058,0,-238,0,18.569,0,160,"120",4,3399,341,22.007
7,"=","T-PAIN","Up Down (Do This All Day)",2765,0,212,0,18.359,0,154,"94",7,2765,321,18.359
8,"=","LORDE","Royals",2550,0,-218,0,17.502,0,125,"29",1,3976,624,27.057
9,"=","SEVYN STREETER","It Won't Stop",2439,0,-65,0,18.962,0,245,"147",1,3784,479,26.425
10,"=","DRAKE","All Me f/2 Chainz & Big Sean",2299,0,-152,0,18.321,0,189,"140",1,3818,477,27.175
11,"=","TREY SONGZ","Na Na",2270,0,324,0,17.832,0,49,"75",11,2270,511,17.832
12,"=","PHARRELL WILLIAMS","Happy",2249,0,480,0,15.837,0,35,"1",11,2249,655,15.837
13,"=","JOHN LEGEND","All Of Me",2201,0,140,0,13.327,0,95,"2",11,2211,406,13.327
14,"=","JAY Z","Part II (On The Run) f/Beyonce",2173,0,101,0,15.981,0,45,"194",11,2173,672,15.981
15,"=","CHRIS BROWN","Loyal f/Lil' Wayne",2104,0,249,0,13.691,0,56,"93",13,2104,443,13.691
16,"=","JHENE AIKO","The Worst",2062,0,286,0,16.266,0,45,"109",15,2062,448,16.266
17,"=","K. MICHELLE","Can't Raise A Man",1869,0,145,0,11.582,0,46,"229",16,1869,522,11.767
18,"=","BEYONCE","Partition",1447,0,569,0,12.816,0,44,"59",18,1447,569,12.816
19,"=","YOUNG THUG","Stoner",1307,0,450,0,9.248,0,42,"95",19,1307,450,9.248
20,"=","BANDO JONEZ","Sex You",1260,0,226,0,6.32,0,52,"--",20,1260,244,6.32
21,"=","AUGUST ALSINA","Ghetto f/Rich Homie Quan",1256,0,17,0,6.452,0,84,"--",18,1267,280,6.638
22,"=","QUE","O.G. Bobby Johnson",1174,0,-84,0,7.211,0,77,"208",18,1390,476,9.52
23,"=","DJ INFAMOUS","Double Cup f/Jeezy, Ludacris",1038,0,112,0,4.921,0,45,"--",23,1038,197,4.921
24,"=","SCHOOLBOY Q","Man Of The Year",1000,0,168,0,5.674,0,39,"81",24,1000,246,5.674
25,"=","RICK ROSS","The Devil Is A Lie f/Jay Z",846,0,65,0,4.163,0,69,"118",25,846,267,4.571
26,"=","K CAMP","Money Baby f/Kwony Cash",806,0,1,0,3.861,0,114,"--",24,987,183,5.048
27,"=","YO GOTTI","Cold Blood",616,0,-610,0,2.55,0,109,"--",12,1624,350,7.395
28,"=","YG","Who Do You Love f/Drake",596,0,49,0,3.37,0,21,"213",28,596,258,3.37
29,"=","EMINEM","The Monster f/Rihanna",580,0,-181,0,3.098,0,105,"46",16,1600,413,10.713
30,"=","JABO","What I'm About",528,0,-45,0,1.289,0,105,"--",30,654,128,1.693
31,"=","ALOE BLACC","The Man",526,0,-10,0,2.373,0,25,"7",31,541,278,2.556
32,"=","TREVOR JACKSON","Drop It f/B.o.B.",519,0,0,0,2.335,0,33,"--",30,543,148,2.542
33,"=","FUTURE","Move That Doh f/Pharrel",518,0,258,0,3.288,0,12,"--",33,518,258,3.288
34,"=","WE ARE TOONZ","Drop That #NaeNae",517,0,83,0,2.956,0,37,"99",33,517,162,3.057
35,"=","SNOOTIE WILD","Yayo",495,0,107,0,2.684,0,53,"--",35,495,107,2.684
36,"=","SAGE THE GEMINI","Gas Pedal",476,0,-148,0,2.098,0,93,"150",24,977,225,5.689
37,"=","SEVYN STREETER","Next",474,0,192,0,2.58,0,12,"--",37,474,228,2.58
38,"=","BOOSIE & WEBBIE","Show Da World f/Kiara",473,0,125,0,2.078,0,21,"--",37,473,193,2.078
39,"=","J. COLE","She Knows",452,0,-42,0,2.129,0,101,"374",15,1434,256,8.823
40,"=","K CAMP","Cut Her Off",451,0,85,0,2.746,0,35,"--",40,451,85,2.746
41,"=","YOUNG MONEY","We Alright f/Euro, Birdman",425,0,35,0,1.41,0,21,"--",39,425,264,1.563
42,"=","LUDACRIS","Party Girls f/Wiz & Jeremih",409,0,249,0,1.787,0,7,"367",42,409,277,1.787
43,"=","YOUNG MONEY","Lookin Ass f/Nicki Minaj",386,0,67,0,3.626,0,13,"129",43,386,305,3.722
44,"=","B.O.B","Throwback f/Chris Brown",374,0,34,0,2.383,0,24,"--",42,374,150,2.388
45,"=","CASHIUS GREEN","Right Now f/Pheo",358,0,113,0,0.662,0,19,"--",44,358,164,0.662
46,"=","DRAKE","Worst Behavior",347,0,49,0,4.053,0,33,"320",42,386,159,4.372
47,"=","FUTURE","Shhh",308,0,-242,0,2.449,0,104,"--",28,724,149,5.168
48,"=","SEBASTIAN MIKAEL","Forever",305,0,195,0,1.305,0,3,"--",48,305,195,1.305
49,"=","KESINGTON KROSS","Gimme Your Love",302,0,98,0,0.919,0,7,"--",48,302,129,0.928
50,"=","MILA J","Smoke, Drink, Break-Up",284,0,134,0,0.7,0,3,"--",50,284,134,0.7
