"Title","Artist","Spins"
"All Me f/2 Chainz...","DRAKE",3601
"It Won't Stop","SEVYN STREETER",3366
"My Hitta f/Jeezy,...","YG",3104
"Royals","LORDE",2960
"I Luv This Sh*t","AUGUST ALSINA",2908
"Love More f/Nicki...","CHRIS BROWN",2752
"Tom Ford","JAY Z",2615
"They Don't Know","RICO LOVE",2566
"Hold On We're Goi...","DRAKE",2561
"Drunk In Love f/J...","BEYONCE",2377
"23 f/Miley Cyrus,...","MIKE WILL MADE-IT",2169
"Crooked Smile","J. COLE",1908
"Own It","MACK WILDS",1905
"Clappers f/Nicki ...","WALE",1898
"The Language","DRAKE",1876
"Show Me f/Chris B...","KID INK",1825
"Last Night f/Wale","SEBASTIAN MIKAEL",1571
"Up Down (Do This ...","T-PAIN",1495
"My Story f/2 Chai...","R. KELLY",1332
"The Monster f/Rih...","EMINEM",1323
"Cold Blood","YO GOTTI",1298
"Honest","FUTURE",1283
"F*uckwithmeyoukno...","JAY Z",1139
"She Knows","J. COLE",1115
"Paranoid","TY DOLLA $IGN",1102
"Ready f/Future","B.O.B",1065
"No Games f/Future","RICK ROSS",907
"Used 2","2 CHAINZ",763
"All Of Me","JOHN LEGEND",745
"Gas Pedal","SAGE THE GEMINI",738
"Primetime f/Migue...","JANELLE MONAE",730
"Bounce It f/Wale ...","JUICY J",688
"Hanna Montana","MIGOS",682
"Ghetto f/Rich Hom...","AUGUST ALSINA",639
"Shhh","FUTURE",623
"All The Way Home","TAMAR BRAXTON",603
"I Wanna Be With Y...","DJ KHALED",585
"Know You Better f...","OMARION",528
"What I'm About","JABO",518
"Know That f/Frenc...","2 PISTOLS",507
"Bound 2","KANYE WEST",494
"Collard Greens f/...","SCHOOLBOY Q",461
"Money Baby f/Kwon...","K CAMP",451
"Know Bout Me f/Ja...","TIMBALAND",393
"Shabba f/A$AP Roc...","A$AP FERG",361
"For The Rest Of M...","ROBIN THICKE",336
"The Devil Is A Li...","RICK ROSS",319
"Thank You f/Kanye...","BUSTA RHYMES",269
"Cookie","R. KELLY",261
"O.G. Bobby Johnso...","QUE",252
