"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRANDY","Put It Down f/Chris ...",3834,0,137,0,26.517,0,138,"177",1,3834,393,27.325
2,"=","MIGUEL","Adorn",3700,0,-6,0,29.621,0,113,"90",1,4133,707,30.488
3,"=","FRENCH MONTANA","Pop That f/Rick Ross",3671,0,-311,0,27.201,0,124,"66",1,4052,590,28.426
4,"=","TREY SONGZ","Dive In",3435,0,125,0,21.562,0,91,"256",4,3435,698,21.576
5,"=","JUICY J","Bands A Make Her Dan...",3411,0,176,0,23.945,0,68,"52",4,3411,506,23.945
6,"=","BEYONCE","Dance For You",3236,0,69,0,21.731,0,157,"--",6,3236,466,21.731
7,"=","KANYE WEST","Clique f/Big Sean & ...",3130,0,191,0,21.732,0,48,"21",7,3130,774,21.732
8,"=","FRANK OCEAN","Thinking About You",2802,0,211,0,19.396,0,223,"84",8,2802,567,19.527
9,"=","2 CHAINZ","Birthday Song f/Kany...",2652,0,6,0,17.77,0,76,"58",9,2661,364,18.613
10,"=","FUTURE","Turn On The Lights",2432,0,-526,0,17.852,0,117,"78",1,4018,565,25.84
11,"=","KENDRICK LAMAR","Swimming Pools (Dran...",2232,0,266,0,13.911,0,72,"44",11,2232,496,13.911
12,"=","KELLY ROWLAND","Ice f/Lil Wayne",2113,0,145,0,12.935,0,81,"156",11,2113,318,13.025
13,"=","LIL WAYNE","No Worries f/Detail",2077,0,277,0,12.417,0,44,"71",13,2077,439,12.417
14,"=","OMARION","Let's Talk f/Rick Ro...",2004,0,125,0,10.845,0,139,"--",12,2004,345,10.904
15,"=","RICK ROSS","Diced Pineapples f/D...",1870,0,197,0,12.899,0,62,"117",15,1870,277,12.899
16,"=","ALICIA KEYS","Girl On Fire",1781,0,119,0,11.205,0,47,"33",15,1781,806,11.205
17,"=","CHRIS BROWN","Don't Judge Me",1471,0,66,0,9.087,0,59,"116",17,1471,236,9.087
18,"=","KEYSHIA COLE","Enough Of No Love f/...",1293,0,-458,0,8.23,0,114,"330",4,3180,537,18.621
19,"=","MEEK MILL","Young And Gettin It ...",1288,0,442,0,7.378,0,25,"--",19,1288,442,7.378
20,"=","USHER","Dive",1278,0,19,0,7.478,0,53,"--",19,1287,318,7.602
21,"=","DJ DRAMA","My Moment f/2 Chainz",1112,0,41,0,5.142,0,73,"131",20,1113,184,5.788
22,"=","LUDACRIS","Representin' f/Kelly...",1028,0,247,0,6.533,0,20,"--",22,1028,331,6.533
23,"=","RIHANNA","Diamonds",948,0,464,0,5.468,0,14,"6",23,948,475,5.468
24,"=","THE WEEKND","Wicked Games",920,0,292,0,4.472,0,24,"119",24,920,292,4.472
25,"=","BOBBY V","Mirror f/Lil Wayne",852,0,-30,0,4.395,0,117,"--",21,974,177,4.865
26,"=","MARIAH CAREY","Triumphant (Get 'Em)...",761,0,-13,0,2.481,0,67,"--",26,788,276,3.747
27,"=","MEEK MILL","Amen f/Drake & Jerem...",757,0,-144,0,5.88,0,145,"267",2,3514,550,23.782
28,"=","CA$H OUT","Hold Up f/Wale",716,0,168,0,3.412,0,25,"362",28,716,174,3.412
29,"=","MARCUS CANTY","In And Out",710,0,-121,0,2.325,0,68,"--",24,832,137,3.09
30,"=","CIARA","Sorry",708,0,182,0,3.763,0,27,"210",30,708,225,3.763
31,"=","CHIEF KEEF","I Don't Like f/Lil R...",701,0,-195,0,3.913,0,126,"368",12,1936,417,10.056
32,"=","WIZ KHALIFA","Remember You f/The W...",648,0,324,0,3.703,0,12,"206",32,648,324,3.703
33,"=","TREY SONGZ","2 Reasons /T.I.",594,0,-121,0,4.388,0,133,"110",5,2833,542,17.679
34,"=","GAME","Celebration f/Chris ...",567,0,51,0,2.704,0,29,"121",33,567,143,2.704
35,"=","CURREN$Y","Jet Life f/Big K.R.I...",524,0,56,0,2.714,0,51,"--",35,538,130,2.714
36,"=","ELLE VARNER","I Don't Care",509,0,-28,0,1.691,0,88,"--",27,752,262,3.193
37,"=","$AUCE","Back It Up",466,0,95,0,1.621,0,43,"--",37,466,101,1.621
38,"=","MYKKO MONTANA","Do It f/K-Camp",457,0,-132,0,2.395,0,105,"--",24,847,245,4.3
39,"=","JACOB LATIMORE","You Come First",428,0,1,0,1.465,0,56,"--",38,444,90,1.991
40,"=","AALIYAH/DRAKE","Enough Said",396,0,-97,0,2.086,0,63,"--",31,575,306,4.18
41,"=","BRANDY","Wildest Dreams",393,0,15,0,1.389,0,21,"--",40,400,167,1.492
42,"=","TITO LOPEZ","The Blues",385,0,23,0,1.343,0,33,"--",41,404,99,1.466
43,"=","T.I.","Ball f/Lil Wayne",379,0,288,0,2.99,0,5,"34",43,379,288,2.99
44,"=","BRIDGET KELLY","Special Delivery",363,0,3,0,1.684,0,15,"--",43,372,177,1.738
45,"=","LUPE FIASCO","B*Word Bad",348,0,-85,0,1.485,0,45,"--",34,472,125,2.109
46,"=","TEX JAMES","Smart Girl (Dumb Boo...",343,0,182,0,1.372,0,6,"--",45,343,199,1.387
47,"=","DJ KHALED","Models & Bottles (Le...",324,0,201,0,1.355,0,5,"--",47,324,213,1.355
48,"=","TYGA","Do My Dance f/2 Chai...",256,0,-67,0,1.461,0,32,"144",38,378,201,1.852
49,"=","NICKI MINAJ & CASSIE","The Boys",229,0,-63,0,0.798,0,21,"205",48,299,195,1.08
50,"=","JARVIS","Make A Little Room",225,0,16,0,0.688,0,12,"--",48,233,53,0.785
