"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KELLY ROWLAND Motivation f/Lil Wayne",4588,"+48",202,"+113",33.687,"+0.771",27,1,4588,741,33.687
2,"=","MIGUEL Sure Thing",4090,"+46",156,"+135",29.834,"+0.482",27,1,4364,460,30.251
3,"=","BIG SEAN My Last f/Chris Brown",3503,"+38",273,"+95",23.668,"+0.539",27,3,3503,461,23.668
4,"=","CHRIS BROWN She Ain't You",3358,"+63",630,"+35",23.91,"+0.531",27,4,3358,630,23.91
5,"=","MARSHA AMBROSIUS Far Away",3066,"+86",397,"+140",19.884,"+0.620",27,5,3066,397,19.884
6,"=","CHRIS BROWN Look At Me Now",2851,"+6",-116,"+67",21.877,"+0.148",27,2,3494,0,26.238
7,"=","ACE HOOD Hustle Hard",2401,"+4",25,"+10",14.249,"+0.145",27,7,2503,97,14.627
8,"+1","DJ KHALED I'm On One f/Drake, Rick Ross",2369,"+159",831,"+56",18.057,"+0.803",21,8,2369,831,18.057
9,"-1","YC Racks f/Future",2331,"-43",-334,"-8",11.95,"-0.704",27,4,3411,104,19.707
10,"=","LLOYD Cupid",2145,"+3",162,"+24",12.661,"+0.101",27,10,2145,195,12.661
11,"=","NICKI MINAJ Did It On'em",2080,"-2",-134,"+58",10.657,"-0.070",27,5,3129,0,17.338
12,"=","JAMIE FOXX Best Night Of My Life",2045,"+45",237,"+61",11.974,"+0.206",27,12,2045,311,11.974
13,"=","KANYE WEST All Of The Lights",1990,"-9",-26,"+36",15.515,"+0.153",27,7,2818,0,21.956
14,"=","TREY SONGZ Unusual f/Drake",1828,"+65",343,"+65",13.986,"+0.538",27,14,1828,477,13.986
15,"=","KERI HILSON One Night Stand",1751,"+16",54,"+28",9.642,"+0.226",27,14,1779,229,9.642
16,"=","WIZ KHALIFA Roll Up",1638,"-15",-330,"+36",9.158,"-0.056",27,6,3062,0,16.439
17,"=","DIDDY-DIRTY MONEY Your Love f/Trey Songz",1547,"-77",-357,"-34",6.783,"-0.312",27,12,2053,94,9.345
18,"+1","MARY J. BLIGE Someone To Love Me (Naked)",1400,"-20",-1,"-26",6.829,"-0.101",27,18,1422,100,7.848
19,"+1","LIL WAYNE John f/Rick Ross",1385,"-34",-165,"+9",8.973,"-0.078",27,14,1723,37,10.408
20,"-2","BEYONCE Run The World (Girls)",1380,"-51",-243,"-33",5.751,"-0.428",27,16,1686,271,9.235
21,"=","YOUNG JEEZY Ballin f/Lil Wayne",1173,"+27",55,"-3",6.585,"-0.050",27,21,1173,359,6.748
22,"=","TRAVIS PORTER Bring It Back",1112,"-12",-36,"-39",6.383,"-0.152",27,22,1288,3,7.626
23,"+1","LUPE FIASCO Out Of My Head f/Trey Songz",1104,"+37",214,"+34",7.975,"+0.003",27,23,1104,214,7.975
24,"-1","MEEK MILL/RICK ROSS Tupac Back",1080,"-1",17,"-1",5.6,"-0.278",27,23,1081,380,5.962
25,"+1","RIHANNA Man Down",1054,"+35",189,"+36",6.746,"+0.178",27,25,1054,421,6.746
26,"-1","WAKA FLOCKA FLAME Grove St. Party f/Kebo...",966,"-67",-255,"-92",6.246,"-0.529",27,20,1513,10,9.225
27,"=","K. MICHELLE How Many Times",924,"-29",-37,"-24",4.268,"-0.079",27,24,1030,106,4.983
28,"=","K' LA All Your Love",882,"-11",13,"+17",3.343,"-0.108",27,27,955,157,3.67
29,"=","RICK ROSS 9 Piece f/Lil Wayne",864,"-8",-39,"-24",5.228,"-0.128",27,27,903,297,5.697
30,"=","YO GOTTI We Can Get It On",847,"+8",91,"+22",4.232,"+0.102",27,28,847,91,4.39
31,"=","WIZ KHALIFA On My Level f/Too Short",839,"+17",309,"-39",4.114,"+0.063",13,31,839,356,4.114
32,"=","SNOOP DOGG Platinum f/R. Kelly",739,"-14",16,"-26",2.665,"-0.165",27,31,799,112,3.192
33,"=","ROCKO Goin Steady",699,"-39",-110,"-49",3.24,"-0.170",27,26,932,0,3.761
34,"+1","LLOYD BANKS I Don't Deserve You f/Jeremi...",615,"+14",-135,"+71",4.371,"+0.034",27,25,993,49,6.428
35,"-1","GORILLA ZOE Twisted f/Lil Jon",614,"-45",-62,"-76",2.137,"-0.185",27,34,712,129,2.596
36,"+1","BIG K.R.I.T. Country Sh**",611,"+17",42,"+12",2.244,"+0.015",23,36,611,277,2.244
37,"-1","BIRDMAN I Get Money f/Lil Wayne",596,"-2",-26,"-5",2.389,"-0.018",27,33,695,186,2.799
38,"+1","LIL WAYNE How To Love",579,"+102",486,"+85",5.306,"+0.842",4,38,579,486,5.306
39,"-1","SEAN GARRETT In Da Box f/Rick Ross",496,"+2",122,"-27",2.079,"-0.050",14,38,496,176,2.24
40,"+3","JENNIFER HUDSON No One Gonna Love You",454,"+35",259,"+14",2.177,"+0.099",7,40,454,259,2.177
41,"=","KIRKO BANGZ What Yo Name Iz",452,"-7",28,"-14",3.363,"-0.082",27,39,580,42,3.768
42,"=","FRANK OCEAN Novacane",443,"+12",69,"+10",4.081,"+0.107",19,42,443,148,4.297
43,"-3","DJ DRAMA Oh My f/Fab, Wiz, Roscoe",442,"-21",-37,"-46",3.095,"-0.235",27,39,503,104,3.879
44,"+1","MELANIE FIONA Gone And Never Coming Back",409,"+9",-3,"+31",2.036,"+0.117",27,37,629,0,2.553
45,"-1","JENNIFER LOPEZ I'm Into You f/Lil Wayne",391,"-19",-34,"-27",1.095,"-0.074",27,40,442,38,1.57
46,"=","T-PAIN Booty Wurk (One Cheek At A...",349,"+21",70,"+21",2.846,"+0.256",12,46,349,104,2.846
47,"+3","BEYONCE Best Thing I Never Had",325,"+65",325,"+65",2.946,"+0.553",2,47,325,325,2.946
48,"-1","ESTELLE Break My Heart f/Rick Ross",321,"+16",65,"+9",2.648,"+0.230",13,47,321,86,2.648
49,"=","JILL SCOTT So In Love f/Anthony Hamilton",298,"+23",84,"+13",2.173,"+0.142",4,49,298,84,2.173
50,"--","BOBBY V Grab Somebody f/Twista",297,"--",138,"--",1.9,"--",1,50,297,138,1.9
