"Title","Artist","Spins"
"Power Trip f/Migu...","J. COLE",4000
"Body Party","CIARA",3829
"Bad f/Tiara Thoma...","WALE",3529
"Rich As F**k f/2 ...","LIL WAYNE",3409
"B**ch, Don't Kill...","KENDRICK LAMAR",3269
"No New Friends","DJ KHALED F/DRAKE...",2923
"Tapout f/Birdman,...","RICH GANG",2759
"How Many Drinks?","MIGUEL",2219
"U.O.E.N.O","ROCKO",2152
"Pour It Up","RIHANNA",2038
"Still In This B**...","B.O.B",1925
"Without Me f/Kell...","FANTASIA",1864
"Ready f/Chris Bro...","FABOLOUS",1764
"The One","TAMAR BRAXTON",1714
"Fine China","CHRIS BROWN",1711
"LoveHate Thing f/...","WALE",1515
"High School","NICKI MINAJ",1514
"Blurred Lines f/P...","ROBIN THICKE",1469
"Started From The ...","DRAKE",1430
"Dirty Laundry","KELLY ROWLAND",1375
"I Luv This Sh*t","AUGUST ALSINA",1030
"Somebody Else f/N...","MARIO",1022
"Ain't Worried Abo...","FRENCH MONTANA",955
"Fire We Make","ALICIA KEYS",882
"#Beautiful f/Migu...","MARIAH CAREY",867
"Mirrors","JUSTIN TIMBERLAKE",811
"Feds Watching f/P...","2 CHAINZ",792
"Kisses Down Low","KELLY ROWLAND",788
"Memories Back The...","HUSTLE GANG F/T.I...",735
"Like Whaaat f/Bad...","PROBLEM",647
"Karate Chop f/Cas...","FUTURE",635
"Beat It f/Chris B...","SEAN KINGSTON",624
"We Outchea f/Lil ...","ACE HOOD",578
"Street Dreamin f/...","BRIDGET KELLY",575
"Headband  f/2 Cha...","B.O.B",556
"Work","A$AP FERG",555
"Crooked Smile","J. COLE",544
"V.S.O.P.","K. MICHELLE",543
"Upper Echelon f/T...","TRAVI$ SCOTT",537
"FDB","YOUNG DRO",534
"What I Do","WEBBIE",517
"Show Out f/Young ...","JUICY J",509
"IV Play","THE-DREAM",485
"Callin'","J PEGUERO",463
"Do Me Now f/Hit-b...","K. ROOSEVELT",440
"Type Of Way","RICH HOMIE QUAN",437
"Never Should Have","ASHANTI",434
"#Twerkit","BUSTA RHYMES",429
"I'm Out f/Nicki M...","CIARA",406
"Another Country f...","CA$H OUT",349
