"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","K CAMP","Cut Her Off",3858,"+6",133,"-3",22.208,"-0.268",143,"113",1,3863,421,22.582
2,"=","CHRIS BROWN","Loyal f/Lil' Wayne",3587,"-48",-114,"-35",28.324,"-0.357",164,"119",1,4368,522,30.035
3,"=","FUTURE","Move That Doh f/Pharrel",3218,"-80",-433,"-38",19.165,"-0.620",120,"--",1,3934,510,22.963
4,"=","DRAKE","Trophies",3204,"+27",95,"+30",21.621,"+0.085",125,"122",4,3394,515,22.461
5,"+1","USHER","Good Kisser",3102,"+31",232,"+1",19.333,"-0.089",41,"183",5,3102,793,19.422
6,"-1","BEYONCE","Partition",3087,"+5",-50,"+33",22.559,"-0.153",152,"167",1,3952,734,28.286
7,"=","JHENE AIKO","The Worst",2885,"-36",25,"-23",19.853,"-0.168",153,"--",1,4040,448,27.949
8,"=","JAY Z","Part II (On The Run) f/Beyonce",2731,"-44",-255,"+2",19.856,"-0.170",153,"--",1,3871,672,24.701
9,"=","LIL WAYNE","Believe Me f/Drake",2598,"+53",243,"+9",14.633,"+0.540",40,"32",9,2598,613,14.633
10,"=","YO GOTTI","I Know f/Rich Homie Quan",2474,"+44",79,"+45",12.869,"+0.350",91,"--",9,2474,388,12.869
11,"=","CA$H OUT","She Twerkin",2377,"-29",56,"-57",13.138,"-0.110",84,"--",11,2406,335,13.248
12,"=","TINASHE","2 On f/Schoolboy Q",2364,"+22",84,"+16",13.316,"+0.081",88,"91",10,2364,359,13.353
13,"=","WIZ KHALIFA","We Dem Boyz",2362,"+21",86,"+10",14.379,"+0.192",73,"96",12,2362,392,14.379
14,"=","SCHOOLBOY Q","Studio",2053,"+78",336,"+43",12.146,"+0.415",54,"107",14,2053,336,12.146
15,"=","IGGY AZALEA","Fancy f/Charli XCX",1939,"+100",509,"+22",14.228,"+0.647",27,"10/28",15,1939,509,14.228
16,"=","KID INK","Main Chick f/Chris Brown",1743,"+20",52,"+7",10.038,"+0.019",80,"129",16,1743,350,10.151
17,"=","ANTHONY LEWIS","Candy Rain f/Billy Bang",1645,"+8",-83,"-2",7.933,"+0.068",106,"--",13,1801,301,9.129
18,"=","FUTURE","I Won f/Kanye West",1602,"+34",119,"+22",7.997,"+0.107",65,"--",18,1602,253,7.997
19,"=","DJ KHALED","They Don't Love You No More",1536,"+19",123,"+23",6.609,"-0.044",46,"--",19,1536,470,6.653
20,"=","MIGOS","Fight Night",1429,"-5",40,"-14",7.233,"-0.006",52,"--",20,1434,237,7.239
21,"=","RICH HOMIE QUAN","Walk Thru f/Problem",1344,"+7",22,"-20",6.199,"-0.146",93,"--",21,1344,216,6.797
22,"=","TREY SONGZ","SmartPhones",1296,"+30",63,"+38",7.93,"+0.319",40,"--",22,1296,292,7.93
23,"=","MILA J","Smoke, Drink, Break-Up",1235,"-23",21,"-46",4.803,"-0.033",111,"--",22,1273,218,6.108
24,"=","RICO LOVE","Be Like",1171,"-9",-105,"+2",5.853,"-0.199",91,"--",21,1358,236,6.458
25,"=","NE-YO","Money Can't Buy f/Jeezy",1089,"+8",205,"-79",6.889,"+0.116",20,"--",25,1089,546,6.889
26,"=","DJ SNAKE & LIL JON","Turn Down For What",1069,"+5",86,"+0",5.992,"+0.132",35,"17",26,1069,253,5.992
27,"=","RICK ROSS","Thug Cry f/Lil Wayne",1041,"-13",-40,"+15",3.864,"-0.101",87,"--",22,1261,318,7.803
28,"=","YG","Who Do You Love f/Drake",968,"-41",-228,"+1",5.81,"-0.169",129,"170",11,1849,258,12.239
29,"=","AUGUST ALSINA","Make It Home f/Jeezy",931,"+0",-60,"+19",4.055,"-0.080",99,"--",29,1031,146,4.83
30,"+1","JENNIFER HUDSON","Walk It Out",880,"+11",71,"-3",2.958,"+0.113",38,"--",30,880,326,2.958
31,"-1","TY DOLLA $IGN","Or Nah f/Wiz Khalifa",873,"+3",22,"+5",4.056,"+0.056",45,"149",30,873,215,4.214
32,"+1","PHARRELL WILLIAMS","Happy",846,"+6",-126,"+50",6.198,"+0.097",143,"19",1,3856,655,28.557
33,"+1","NICKI MINAJ","Pills N Potions",827,"+29",166,"-26",4.972,"+0.441",14,"42",33,827,404,4.972
34,"+1","YOUNG THUG","Stoner",804,"+11",-76,"+57",6.118,"+0.055",150,"--",9,2588,544,16.976
35,"-3","KATY PERRY","Dark Horse f/Juicy J",803,"-43",-352,"+16",7.236,"-0.283",101,"40",9,2452,464,18.258
36,"=","JAZMINE SULLIVAN","Dumb",737,"-4",29,"-6",3.639,"-0.030",25,"--",36,741,354,3.669
37,"=","JEREMIH","Don't Tell 'Em f/YG",730,"+26",156,"-25",4.45,"+0.294",11,"109",37,730,329,4.45
38,"=","SEVYN STREETER","Next",600,"-42",-273,"+7",2.657,"-0.253",120,"--",16,1615,352,9.415
39,"=","M. JACKSON & J. TIMBERLAKE","Love Never Felt So Good",599,"-26",-95,"-15",2.766,"+0.000",44,"49",37,734,564,4.37
40,"=","WE ARE TOONZ","Drop That #NaeNae",592,"-23",-55,"-20",2.036,"-0.090",145,"--",32,667,162,3.057
41,"=","ADRIAN MARCEL","2AM",543,"+9",2,"+6",1.407,"+0.056",40,"--",41,547,154,1.648
42,"=","RAE SREMMURD","No Flex Zone",500,"+16",139,"-11",2.099,"+0.044",10,"--",42,500,152,2.099
43,"=","MIKE JAY","Birthday Suit",498,"+22",113,"+19",1.353,"+0.003",20,"--",43,498,113,1.353
44,"+2","MEEK MILL","I Don't Know f/Paloma Ford",456,"+28",226,"+11",2.361,"+0.177",4,"--",44,456,226,2.361
45,"-1","DRIICKY GRAHAM","We Up f/Sebastian Mikael",452,"-8",37,"-8",1.17,"-0.033",27,"--",43,460,120,1.322
46,"-1","MACK WILDS","Henny",420,"-34",-186,"-34",1.182,"+0.000",101,"--",39,624,120,2.42
