"Title","Artist","Spins"
"Down In The DM","YO GOTTI",4631
"Don't","BRYSON TILLER",4216
"Jumpman","DRAKE & FUTURE",4069
"Say It","TORY LANEZ",3823
"Back To Sleep","CHRIS BROWN",3396
"Hotline Bling","DRAKE",3125
"No Role Modelz","J. COLE",3041
"Play No Games","BIG SEAN",2976
"Antidote","TRAVI$ SCOTT",2914
"Again","FETTY WAP",2821
"Best Friend","YOUNG THUG",2517
"Bottom Of The Bottle","CURREN$Y",2391
"Oui","JEREMIH",2359
"California f/Young Dolph","COLONEL LOUD",2272
"$ave Dat Money","LIL DICKY",1868
"Sorry f/Chris Brown","RICK ROSS",1699
"3 Times In A Row","TK N CASH",1697
"White Iverson","POST MALONE",1652
"Acquainted","THE WEEKND",1502
"1Hunnid f/Fetty Wap","K CAMP",1399
"Might Be","DJ LUKE NASTYY",1376
"WTF (Where They From)","MISSY ELLIOTT",1331
"Moses f/Chris Brown & Migos","FRENCH MONTANA",1231
"Like Baby","JACQUEES",1222
"Exchange","BRYSON TILLER",1180
"Song Cry","AUGUST ALSINA",1081
"Look At My Dab","MIGOS",1081
"Moolah","YOUNG GREATNESS",1060
"Milly Rock","2 MILLY",1025
"Church","BJ THE CHICAGO KID",995
"Hello","ADELE",898
"2 Phones","KEVIN GATES",848
"Curtains Closed","RAY J",828
"The Most","RICH HOMIE QUAN",743
"These Walls f/Bilal, Anna Wise","KENDRICK LAMAR",725
"Bank Rolls","TATE KOBANG",706
"You Mine f/Songz/Future...","DJ KHALED",674
"You Could Be My Lover","PUFF DADDY & THE FAMILY",654
"Hey There f/Future","DEJ LOAF",651
"Real Friends f/Ty Dolla $ign","KANYE WEST",556
"Heavy","BLAC YOUNGSTA",524
"Saved f/E-40","TY DOLLA $IGN",522
"Hit The Lotto","ROTIMI",505
"Cut It f/Young Dolph","O.T. GENASIS",479
"Infatuation","LIPSTICK GYPSY",417
"Might Not f/The Weeknd","BELLY",405
"Doin' It Well f/Nicki Minaj","FABOLOUS",404
"Uh Oh f/Jwhite Did It","FAT PIMP",371
"My Beyonce f/DeJ Loaf","LIL DURK",347
"Stick Talk","FUTURE",302
