"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KELLY ROWLAND Motivation f/Lil Wayne",4429,-11,-75,32,31.434,0.028,49,1,4671,741,34.283
2,"=","DJ KHALED I'm On One f/Drake, Rick Ross",4149,60,414,-35,29.184,0.763,43,2,4149,989,29.184
3,"=","BIG SEAN My Last f/Chris Brown",3842,-1,51,-9,25.772,-0.028,49,2,3871,461,26.108
4,"=","MIGUEL Sure Thing",3722,-14,-60,8,27.524,0.013,49,1,4364,460,30.251
5,"=","CHRIS BROWN She Ain't You",3708,28,74,51,25.22,0.302,49,4,3708,630,25.447
6,"=","LIL WAYNE How To Love",3038,130,810,-12,20.085,0.881,26,6,3038,891,20.085
7,"+2","TREY SONGZ Unusual f/Drake",2698,39,261,-13,18.879,0.198,49,7,2698,477,18.879
8,"=","LLOYD Cupid",2693,0,135,-49,14.5,-0.091,49,7,2694,335,14.796
9,"-2","MARSHA AMBROSIUS Far Away",2687,-62,-255,-78,15.954,-0.695,49,5,3066,397,19.884
10,"=","YOUNG JEEZY Ballin f/Lil Wayne",1976,36,248,-8,9.911,0.205,49,10,1976,359,9.911
11,"=","RIHANNA Man Down",1966,35,306,-33,14.059,0.145,49,11,1966,421,14.059
12,"=","CHRIS BROWN Look At Me Now",1837,-50,-99,9,14.704,-0.606,49,2,3494,0,26.238
13,"=","JAMIE FOXX Best Night Of My Life",1812,-64,-259,-69,11.05,-0.437,49,10,2117,311,12.458
14,"=","ACE HOOD Hustle Hard",1744,-38,-223,5,10.309,-0.404,49,7,2503,97,14.627
15,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1637,46,301,38,12.996,0.318,49,15,1637,301,12.996
16,"=","KERI HILSON One Night Stand",1549,-37,-149,-48,9.901,-0.286,49,13,1779,229,11.051
17,"=","YC Racks f/Future",1512,-27,-237,33,7.521,-0.207,49,4,3411,104,19.707
18,"=","NICKI MINAJ Super Bass",1459,88,554,35,9.782,0.524,20,18,1459,554,9.782
