"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","TREY SONGZ Heart Attack",3705,30,255,7,24.643,0.31,85,"--",1,3705,550,24.643
2,"=","KANYE WEST Mercy f/Big Sean/Pusha T...",3648,76,397,32,26.266,0.571,74,"--",2,3648,596,26.266
3,"+1","J. COLE Nobody's Perfect",3397,33,215,37,22.795,0.402,138,"--",3,3397,501,23.158
4,"-1","CASH OUT Cashin Out",3320,-50,-567,-17,22.974,-0.234,144,"--",1,3936,572,26.96
5,"=","DJ KHALED Take It To The Head",3025,76,238,53,19.316,0.692,82,"--",5,3025,455,19.316
6,"=","USHER Lemme See f/Rick Ross",2690,48,288,40,20.261,0.494,50,"--",6,2690,662,20.261
7,"=","NICKI MINAJ Beez In The Trap f/2 Chainz",2492,-57,-166,-82,16.389,-0.392,74,"--",6,2658,475,18.747
8,"=","USHER Climax",2427,-72,-182,-86,19.712,-0.322,124,"--",1,4042,874,30.522
9,"=","RIHANNA Birthday Cake",2220,-109,-517,-54,16.928,-0.959,118,"--",1,4075,740,29.763
10,"=","ELLE VARNER Refill",2201,25,122,2,13.026,0.117,116,"--",10,2201,321,13.633
11,"=","WALE Bag Of Money f/Rick Ross",2075,7,109,2,13.61,0.078,74,"--",11,2075,405,13.61
12,"+2","2 CHAINZ No Lie f/Drake",2008,55,431,-20,14.799,0.433,41,"--",12,2008,491,14.799
13,"-1","DRAKE Crew Love f/The Weekend",1984,-40,-1,-41,18.072,-0.299,102,"--",11,2098,410,18.674
14,"-1","YOUNG JEEZY Leave You Alone f/Ne-Yo",1982,-23,-140,22,14.746,0.122,118,"--",3,3284,448,25.172
15,"=","FUTURE Same Damn Time",1782,-54,-430,13,11.438,-0.295,95,"--",9,2379,389,15.324
16,"=","WAKA FLOCKA FLAME I Don't Really Care",1777,-32,-121,-41,9.423,-0.233,92,"--",15,1898,346,10.003
17,"=","CHRIS BROWN Sweet Love",1692,28,57,60,10.56,0.161,72,"--",17,1692,336,10.56
18,"+1","RICK ROSS Touch 'N You f/Usher",1515,16,204,-16,9.506,-0.058,33,"--",18,1515,444,9.796
19,"-1","LOVERANCE Up! f/50 Cent",1513,-15,-210,19,13.288,0.071,152,"--",3,3612,550,25.497
20,"=","MARY J. BLIGE Why f/Rick Ross",1454,30,85,17,8.181,0.026,67,"--",20,1454,303,8.181
21,"=","DRAKE HYFR (Hell Ya F**kin' Right)",1411,28,14,36,9.427,-0.003,60,"--",20,1411,406,10.202
22,"=","WIZ KHALIFA Work Hard, Play Hard",1359,44,74,24,7.775,0.118,46,"--",22,1359,274,7.775
23,"=","CHRIS BROWN Till I Die f/Wiz Khalifa",1248,-5,146,-42,7.449,-0.154,41,"--",23,1253,247,7.603
24,"=","TYGA Faded f/Lil Wayne",1191,-47,-368,-17,6.48,-0.258,91,"--",15,1734,341,10.54
25,"=","KENDRICK LAMAR The Recipe f/Dr. Dre",1079,19,25,47,5.117,-0.002,53,"--",25,1084,210,5.119
26,"=","NICKI MINAJ Right By My Side f/Chris Bro...",952,-39,-221,-17,7.822,0.199,87,"--",16,1698,486,10.488
27,"=","DRIICKY GRAHAM Snapbacks & Tattoos",937,22,125,17,4.754,0.055,60,"--",27,937,161,4.754
28,"=","LIL WAYNE My Homies Still f/Big Sean",916,29,431,-32,6.08,0.132,15,"--",28,916,463,6.08
29,"=","YO GOTTI I Got That Sack",895,23,117,31,3.899,0.096,81,"--",28,895,182,3.899
30,"=","T.I. Love This Life",744,-25,-201,12,5.519,-0.196,67,"--",22,1222,255,7.224
31,"=","FRANK OCEAN Thinking About You",586,-15,-34,-38,4.252,-0.104,96,"--",28,782,174,5.07
32,"=","BRANDY Put It Down f/Chris Brown",582,16,173,-21,3.088,0.08,11,"--",32,582,230,3.088
33,"=","NE-YO Lazy Love",581,31,175,18,2.729,0.176,17,"--",33,581,281,2.729
34,"=","OMARION Let's Talk f/Rick Ross",568,24,146,8,3.083,0.144,12,"--",33,568,234,3.083
35,"+1","MEEK MILL Amen f/Drake & Jeremih",558,54,189,45,6.204,0.505,18,"--",35,558,189,6.204
36,"-1","V.I.C. Twerk It",525,-14,-13,-42,1.885,-0.049,44,"--",34,539,106,2.016
37,"=","BIRDMAN Born Stunna f/Rick Ross",511,22,37,24,2.27,0.103,25,"--",35,511,231,2.361
38,"+1","BEYONCE Dance For You",491,21,48,14,4.382,0.102,30,"--",37,491,197,4.382
39,"+2","TREY SONGZ 2 Reasons /T.I.",484,72,272,35,4.953,0.623,6,"--",36,504,503,6.171
40,"-2","NAS Daughters",464,-9,11,-9,2.063,-0.09,38,"--",34,500,162,2.346
41,"-1","DIGGY 4 Letter Word",446,16,92,-12,2.195,0.184,10,"--",40,446,180,2.195
42,"=","LUDACRIS Jingalin",418,15,143,5,1.931,0.048,6,"--",42,418,143,1.931
43,"=","BEI MAEJOR Lights Down Low",402,11,4,14,1.676,0.073,45,"--",39,418,164,1.676
44,"+1","ASAP ROCKY Goldie",373,16,66,15,2.142,0.066,17,"--",44,373,128,2.142
45,"-1","TRAVIS PORTER Ride Like That f/Jeremih",356,-35,-196,-12,1.209,-0.165,39,"--",33,575,260,2.422
46,"=","PURE The Stars",315,-8,-67,-18,1.392,-0.047,36,"--",40,425,87,1.733
47,"=","JUSTIN BIEBER Boyfriend",299,-9,-40,-10,1.319,-0.029,66,"--",39,480,208,2.207
48,"+1","OMG GIRLZ Where The Boys At",298,8,160,-18,0.863,-0.026,2,"--",48,298,178,0.889
49,"-1","TITO LOPEZ Mama Proud",289,-9,-38,-15,1.001,-0.061,23,"--",45,329,113,1.129
50,"=","KANYE WEST Cold f/DJ Khaled",289,1,-73,8,0.873,-0.001,37,"--",40,443,182,2.055
