"Title","Artist","Spins"
"One Dance f/Wizkid & Kyla","DRAKE",4590
"Panda","DESIIGNER",4428
"Don't Mind","KENT JONES",3956
"Cut It f/Young Dolph","O.T. GENASIS",3844
"All The Way Up","FAT JOE & REMY MA",3649
"Needed Me","RIHANNA",3552
"Sorry","BEYONCE",3520
"Work f/Drake","RIHANNA",3430
"Exchange","BRYSON TILLER",3190
"Law","YO GOTTI",2615
"Low Life f/The Weeknd","FUTURE",2349
"Wicked","FUTURE",2195
"Uber Everywhere","MADEINTYO",2062
"Body f/Jeremih","DREEZY",2061
"Wake Up","FETTY WAP",1810
"Really Really","KEVIN GATES",1702
"Might Not f/The Weeknd","BELLY",1612
"Dope f/Marsha Ambrosius","T.I.",1587
"MY PYT","WALE",1415
"Wat U Mean","DAE DAE",1369
"In Common","ALICIA KEYS",1266
"Halfway","S-8IGHTY",1198
"Formation","BEYONCE",891
"New Level","A$AP FERG",886
"MFN Right","2 CHAINZ",882
"On The Way","TWENTY88",878
"That Part f/Kanye West","SCHOOLBOY Q",876
"Permission","RO JAMES",818
"5 Minutes f/2 Chainz","K CAMP",772
"Wishing fChris Brown, Skeme","DJ DRAMA",732
"Grass Ain't Greener","CHRIS BROWN",725
"Pass Dat","JEREMIH",674
"Controlla","DRAKE",671
"Famous","KANYE WEST",668
"Drifting f/Chris Brown","G-EAZY",609
"Ran Off On Da Plug Twice","PLIES",608
"Money Talk","T.I.",605
"Look Alive","RAE SREMMURD",590
"She Don't Love You","SPECTACULAR",586
"Work From Home","FIFTH HARMONY",585
"Lake By The Ocean","MAXWELL",532
"Finessin f/Lil Wayne","BABY E",528
"Just A Lil' Thick ($he's...","TRINIDAD JAMES",519
"Key To The Streets","YFN LUCCI",518
"This Feeling","BERNARD FLOWERS",508
"Say Sum","MIGOS",447
"Gold Wrappers f/Rick Ross","B. SMYTH",432
"Why You Always Hatin' f/Drake","YG",421
"Ain't You","K. MICHELLE",404
"Pop Style f/The Throne","DRAKE",399
