"Title","Artist","Spins"
"I Luv This Sh*t","AUGUST ALSINA",4359
"Hold On We're Goi...","DRAKE",4184
"Crooked Smile","J. COLE",3733
"Holy Grail f/Just...","JAY Z",3707
"How Many Drinks?","MIGUEL",2956
"Honest","FUTURE",2805
"Type Of Way","RICH HOMIE QUAN",2789
"V.S.O.P.","K. MICHELLE",2767
"Blurred Lines f/P...","ROBIN THICKE",2684
"It Won't Stop","SEVYN STREETER",2518
"Love More f/Nicki...","CHRIS BROWN",2497
"Power Trip f/Migu...","J. COLE",2458
"Tom Ford","JAY Z",2144
"Versace f/Drake","MIGOS",1834
"Memories Back The...","HUSTLE GANG F/T.I...",1805
"Bounce It f/Wale ...","JUICY J",1726
"I Wanna Be With Y...","DJ KHALED",1531
"Red Nose (Pitbull...","SAGE THE GEMINI",1476
"My Story f/2 Chai...","R. KELLY",1319
"Feds Watching f/P...","2 CHAINZ",1308
"Last Night f/Wale","SEBASTIAN MIKAEL",1070
"Collard Greens f/...","SCHOOLBOY Q",1053
"All Me f/2 Chainz...","DRAKE",1022
"Act Right f/Young...","YO GOTTI",1019
"Ain't Worried Abo...","FRENCH MONTANA",985
"Clappers f/Nicki ...","WALE",910
"Beware f/Lil Wayn...","BIG SEAN",910
"Get Like Me f/Min...","NELLY",887
"Levels","MEEK MILL",772
"All Hustle No Luc...","LANTANA",757
"The One","TAMAR BRAXTON",716
"23 f/Miley Cyrus,...","MIKE WILL MADE-IT",713
"F*uckwithmeyoukno...","JAY Z",713
"All The Way Home","TAMAR BRAXTON",694
"No Games f/Future","RICK ROSS",673
"They Don't Know","RICO LOVE",639
"Over Here f/Drake","PARTYNEXTDOOR",624
"Let Me Find Out","DOE B",603
"Own It","MACK WILDS",467
"Primetime f/Migue...","JANELLE MONAE",406
"Bound 2","KANYE WEST",405
"Up Down (Do This ...","T-PAIN",398
"Good Time","J PEGUERO",350
"Pound Cake/Paris....","DRAKE",337
"We Been On f/R. K...","RICH GANG",323
"Win Win f/Future","B. SMYTH",313
"Atlanta Lights","STUEY ROCK",304
"My Kind Of Love","EMELI SANDE",304
"My Hitta f/Jeezy,...","YG",298
"TKO","JUSTIN TIMBERLAKE",293
