"Title","Artist","Spins"
"Hotline Bling","DRAKE",4573
"Where Ya At f/Drake","FUTURE",3878
"679 f/Remy Boyz...","FETTY WAP",3206
"The Hills","THE WEEKND",3180
"Antidote","TRAVI$ SCOTT",3152
"Liquor","CHRIS BROWN",3144
"Say It","TORY LANEZ",2879
"Blase f/Future & Rae Sremmurd","TY DOLLA $IGN",2775
"Back Up f/Big Sean","DEJ LOAF",2599
"No Role Modelz","J. COLE",2576
"Don't","BRYSON TILLER",2459
"White Iverson","POST MALONE",2423
"Back To Back","DRAKE",2011
"All Eyes On You f/Minaj/Brown","MEEK MILL",1986
"Come Get Her","RAE SREMMURD",1957
"California f/Young Dolph","COLONEL LOUD",1805
"Here","ALESSIA CARA",1788
"Play No Games","BIG SEAN",1678
"Jumpman","DRAKE & FUTURE",1587
"Again","FETTY WAP",1543
"Hit The Quan","IHEARTMEMPHIS",1487
"Sorry f/Chris Brown","RICK ROSS",1466
"Watch Out","2 CHAINZ",1433
"Comfortable","K CAMP",1375
"Bout 2 Blow f/Yazz","EMPIRE CAST",1200
"These Walls f/Bilal, Anna Wise","KENDRICK LAMAR",1065
"Just Right For Me","MONICA X LIL WAYNE",1016
"You Mine f/Songz/Future...","DJ KHALED",979
"Thank Yo Momma","MALACHIAE WARREN",942
"Get Home f/Kid Ink & Migos","JR CASTRO",931
"Down In The DM","YO GOTTI",907
"Church","BJ THE CHICAGO KID",902
"Gold Slugs f/Brown/Alsina/Wap","DJ KHALED",884
"$ave Dat Money","LIL DICKY",831
"Sweet Life f/Janelle Monae","JEEZY",790
"3 Times In A Row","TK N CASH",769
"Bottom Of The Bottle","CURREN$Y",710
"Pipe It Up","MIGOS",656
"I'm Up f/Kid Ink","OMARION",634
"Oh My","BOOGIE",630
"1Hunnid f/Fetty Wap","K CAMP",604
"Milly Rock","2 MILLY",545
"Moses f/Chris Brown & Migos","FRENCH MONTANA",511
"Catfish","TAMAR BRAXTON",434
"Bank Rolls","TATE KOBANG",400
"Heavy","BLAC YOUNGSTA",386
"Peanut Butter Jelly","T.I.",363
"UFO f/Tink & Future","TIMBALAND",346
"WTF (Where They From)","MISSY ELLIOTT",325
"Song Cry","AUGUST ALSINA",316
