"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DJ KHALED I'm On One f/Drake, Rick Ross",4262,18,-47,-59,30.32,0.169,53,1,4309,989,30.516
2,"=","KELLY ROWLAND Motivation f/Lil Wayne",4076,-3,-276,-5,28.976,0.142,59,1,4671,741,34.283
3,"=","BIG SEAN My Last f/Chris Brown",3711,-9,-101,16,23.754,0.293,59,2,3871,461,26.108
4,"=","LIL WAYNE How To Love",3615,56,253,-51,22.415,0.34,36,4,3615,891,22.415
5,"=","CHRIS BROWN She Ain't You",3372,-30,-230,-33,22.785,-0.015,59,4,3708,630,25.447
6,"=","MIGUEL Sure Thing",3191,-47,-508,-28,22.694,-0.14,59,1,4364,460,30.251
7,"=","TREY SONGZ Unusual f/Drake",2811,8,11,-17,18.531,0.124,59,7,2811,477,19.41
8,"=","LLOYD Cupid",2446,-18,-176,-7,12.984,0.059,59,7,2694,335,14.796
9,"+2","RIHANNA Man Down",2085,45,73,30,13.536,0.265,59,9,2085,421,14.077
10,"-1","YOUNG JEEZY Ballin f/Lil Wayne",2076,6,11,-12,11.155,-0.057,59,9,2081,359,11.212
11,"-1","MARSHA AMBROSIUS Far Away",2071,16,-360,120,11.979,0.077,59,5,3066,397,19.884
12,"=","NICKI MINAJ Super Bass",1856,47,197,-2,11.45,0.372,30,12,1856,554,11.45
13,"=","ACE HOOD Hustle Hard",1737,18,52,47,11.095,0.012,59,7,2503,97,14.627
14,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1620,16,-71,10,12.717,0.07,59,12,1691,303,13.311
15,"=","WIZ KHALIFA On My Level f/Too Short",1443,32,240,11,6.837,0.081,45,15,1443,356,6.837
16,"=","JAMIE FOXX Best Night Of My Life",1404,-4,-251,58,8.817,0.013,59,10,2117,311,12.458
17,"+1","FRANK OCEAN Novacane",1402,39,214,18,9.02,0.199,51,17,1402,240,9.02
18,"+1","BEYONCE Best Thing I Never Had",1370,23,113,8,7.579,0.231,34,18,1370,481,7.579
19,"-2","YC Racks f/Future",1364,-11,-22,5,7.774,-0.187,59,4,3411,104,19.707
20,"=","MIGUEL Quickie",1304,10,68,-40,8.036,0.099,24,20,1304,553,8.317
21,"=","RICK ROSS 9 Piece f/Lil Wayne",1227,2,65,-12,6.134,0.111,59,19,1232,297,6.134
22,"=","YO GOTTI We Can Get It On",1136,-5,-15,-14,5.914,-0.051,59,22,1151,183,6.259
23,"=","DJ DRAMA Oh My f/Fab, Wiz, Roscoe",1121,46,341,6,6.508,0.311,59,23,1121,363,6.508
24,"=","MEEK MILL/RICK ROSS Tupac Back",999,-25,-47,-11,5.622,-0.192,59,19,1185,380,6.473
25,"=","KERI HILSON One Night Stand",994,-7,-385,56,5.964,0.081,59,13,1779,229,11.051
26,"=","T-PAIN Booty Wurk (One Cheek At A...",919,5,-16,23,5.225,-0.099,44,25,976,373,5.64
27,"=","BIG K.R.I.T. Country Sh**",892,-3,53,-11,3.22,0.031,55,27,895,277,3.22
28,"=","NICKI MINAJ Did It On'em",884,6,-62,21,5.129,0.06,59,5,3129,0,17.338
29,"+1","WIZ KHALIFA Roll Up",799,18,-35,32,4.654,0.033,59,6,3062,0,16.439
30,"-1","LIL WAYNE John f/Rick Ross",798,10,-107,25,6.749,0.063,59,14,1723,37,10.408
31,"=","ESTELLE Break My Heart f/Rick Ross",781,5,54,-7,5.599,0.025,45,31,781,200,5.637
32,"+1","JENNIFER HUDSON No One Gonna Love You",749,-4,-55,-10,3.256,-0.101,39,32,804,271,3.728
33,"-1","TRAVIS PORTER Bring It Back",745,-19,-81,-18,4.651,-0.217,59,22,1288,9,7.626
34,"=","SEAN GARRETT In Da Box f/Rick Ross",703,-17,3,-23,3.242,-0.052,46,33,720,176,3.294
35,"=","ACE HOOD Go & Get It",608,-1,75,-10,2.752,-0.056,23,35,609,229,2.808
36,"+2","MAINO Let It Fly (Hands In The Air)",529,38,224,23,2.358,0.144,13,36,529,224,2.358
37,"=","TINIE TEMPAH Till I'm Gone f/Wiz Khalifa",508,16,37,4,2.225,0.14,20,37,508,177,2.225
38,"-2","MARY J. BLIGE Someone To Love Me (Naked)",482,-12,-53,1,2.196,0.077,59,17,1422,100,7.848
39,"+3","WALE That Way f/Jeremih & Rick Ross",435,33,170,20,3.808,0.19,17,39,435,170,3.808
40,"=","LEDISI Pieces Of Me",433,2,29,-9,1.74,-0.011,16,39,433,213,1.871
41,"-2","BOBBY V Grab Somebody f/Twista",421,-12,-62,-15,1.617,-0.046,33,38,483,216,2.291
42,"-1","JILL SCOTT So In Love f/Anthony Hamilton",415,2,27,-13,2.755,0.054,36,39,415,119,2.755
43,"=","CJ HILTON So Fresh f/Nas",397,10,209,-27,1.956,-0.07,7,42,397,282,2.061
44,"=","BIG SEAN Marvin & Chardonnay",367,22,169,-5,3.245,0.143,7,44,367,179,3.245
45,"=","DRAKE Marvin's Room",331,13,35,17,4.096,0.085,13,42,331,216,4.096
46,"=","RAY J Bananas",322,25,183,1,1.087,-0.01,5,46,322,183,1.097
47,"=","ROYCE DA 5'9"" Writer's Block f/Eminem",291,10,92,1,0.749,0.011,2,47,291,92,0.749
48,"=","LONNY BEREAL Favor f/Kelly Rowland",285,11,38,2,0.905,0.037,13,46,285,83,0.905
49,"=","B. TAYLOR Fire In Your Eyes f/P Perrette",240,10,52,4,0.435,0.022,6,48,240,52,0.435
50,"=","50 CENT Outlaw",233,5,103,-23,0.773,0.091,4,49,233,131,0.773
