"Title","Artist","Spins"
"Blurred Lines f/P...","ROBIN THICKE",4003
"Power Trip f/Migu...","J. COLE",3314
"How Many Drinks?","MIGUEL",3191
"Crooked Smile","J. COLE",3032
"Body Party","CIARA",2954
"Holy Grail f/Just...","JAY Z",2529
"Feds Watching f/P...","2 CHAINZ",2512
"Ain't Worried Abo...","FRENCH MONTANA",2384
"No New Friends","DJ KHALED F/DRAKE...",2337
"Without Me f/Kell...","FANTASIA",2273
"Bad f/Tiara Thoma...","WALE",2258
"LoveHate Thing f/...","WALE",2232
"Tapout f/Birdman,...","RICH GANG",2130
"Type Of Way","RICH HOMIE QUAN",2060
"I Luv This Sh*t","AUGUST ALSINA",2011
"U.O.E.N.O","ROCKO",1890
"Rich As F**k f/2 ...","LIL WAYNE",1758
"Act Right f/Young...","YO GOTTI",1752
"The One","TAMAR BRAXTON",1636
"V.S.O.P.","K. MICHELLE",1577
"Somebody Else f/N...","MARIO",1508
"Memories Back The...","HUSTLE GANG F/T.I...",1367
"Versace f/Drake","MIGOS",1347
"Beware f/Lil Wayn...","BIG SEAN",1228
"Love More f/Nicki...","CHRIS BROWN",1172
"Hold On We're Goi...","DRAKE",1149
"Headband  f/2 Cha...","B.O.B",1035
"I'm Out f/Nicki M...","CIARA",892
"FDB","YOUNG DRO",868
"Get Like Me f/Min...","NELLY",776
"Another Country f...","CA$H OUT",776
"It Won't Stop","SEVYN STREETER",665
"Fine China","CHRIS BROWN",634
"Bounce It f/Wale ...","JUICY J",618
"Mirrors","JUSTIN TIMBERLAKE",587
"My Story f/2 Chai...","R. KELLY",568
"Dirty Laundry","KELLY ROWLAND",562
"Tom Ford","JAY Z",554
"Get Lucky","DAFT PUNK",523
"4 What","DJ DRAMA",491
"Levels","MEEK MILL",457
"Collard Greens f/...","SCHOOLBOY Q",439
"Red Nose (Pitbull...","SAGE THE GEMINI",421
"Best Friend","RAVAUGHN",416
"We Been On f/R. K...","RICH GANG",407
"I Wanna Be With Y...","DJ KHALED",404
"Helluva Night","LUDACRIS",400
"F*uckwithmeyoukno...","JAY Z",351
"Street Dreamin f/...","BRIDGET KELLY",338
"All Hustle No Luc...","LANTANA",319
