"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DJ KHALED I'm On One f/Drake, Rick Ross",4077,-40,-144,-32,30.033,-0.476,88,"33",1,4543,989,32.584
2,"=","LIL WAYNE How To Love",4040,-10,-185,11,25.169,-0.319,71,"8",1,4266,891,27.756
3,"=","KELLY ROWLAND Motivation f/Lil Wayne",3528,-40,-289,-43,26.255,-0.313,94,"44",1,4671,741,34.283
4,"=","NICKI MINAJ Super Bass",3244,64,151,70,18.644,0.528,65,"10",4,3244,554,18.644
5,"=","BEYONCE Best Thing I Never Had",2909,22,304,8,18.143,0.1,69,"27",5,2909,520,18.143
6,"=","MIGUEL Sure Thing",2837,-9,-38,-1,23.518,-0.111,94,"97",1,4364,460,30.251
7,"+1","MIGUEL Quickie",2786,48,437,-3,19.702,0.49,59,"165",7,2786,553,19.702
8,"-1","CHRIS BROWN She Ain't You",2777,-61,-366,-54,19.438,-0.497,94,"57",4,3708,630,25.447
9,"+3","JAY Z & KANYE WEST Otis f/Otis Redding",2546,93,653,-25,17.987,0.593,23,"--",9,2546,1048,17.987
10,"=","RIHANNA Man Down",2506,-36,-191,-29,15.207,-0.168,94,"162",8,2726,421,17.159
11,"-2","TREY SONGZ Unusual f/Drake",2485,-59,-363,-19,16.885,-0.416,94,"423",6,3159,477,20.6
12,"+1","LUPE FIASCO Out Of My Head f/Trey Songz",2421,17,114,7,17.307,0.265,94,"91",11,2421,303,17.307
13,"-2","BIG SEAN My Last f/Chris Brown",2419,-69,-416,-6,18.933,-0.374,94,"--",2,3871,461,26.108
14,"=","BIG SEAN Marvin & Chardonnay",2201,55,532,15,14.934,0.525,42,"80",14,2201,552,14.934
15,"=","DJ DRAMA Oh My f/Fab, Wiz, Roscoe",1828,12,33,-14,10.46,-0.017,94,"258",13,1828,363,11.166
16,"=","WALE That Way f/Jeremih & Rick Ross",1595,16,279,-17,9.179,0.023,52,"273",16,1595,373,9.179
17,"+1","DRAKE Marvin's Room",1525,31,171,3,10.873,0.257,48,"36",17,1525,417,10.873
18,"-1","WIZ KHALIFA On My Level f/Too Short",1475,-43,-98,-25,6.864,-0.11,80,"--",14,1733,356,10.111
19,"=","FRANK OCEAN Novacane",1265,-50,-357,-22,6.757,-0.226,86,"348",14,1747,240,10.925
20,"=","ESTELLE Break My Heart f/Rick Ross",1148,26,122,3,6.466,-0.05,80,"688",20,1148,200,6.814
21,"=","CHRIS BROWN Wet The Bed",1103,29,371,-19,6.981,0.098,18,"666",21,1103,405,6.981
22,"+1","MINDLESS BEHAVIOR Mrs. Right f/Diggy Sim...",1097,41,295,7,6.049,0.119,21,"98",22,1097,359,6.049
23,"-1","YOUNG JEEZY Ballin f/Lil Wayne",1039,-35,-427,36,4.905,-0.226,94,"565",9,2234,359,13.189
24,"=","TINIE TEMPAH Till I'm Gone f/Wiz Khalifa",935,1,42,-7,3.289,0.037,55,"149",23,936,177,3.416
25,"+1","MONICA Anything f/Rick Ross & Lil Kim",887,37,136,12,6.689,0.207,29,"--",25,887,221,6.689
26,"-1","YO GOTTI We Can Get It On",873,-44,-232,-12,4.587,-0.147,94,"--",18,1286,183,6.7
27,"=","CJ HILTON So Fresh f/Nas",824,3,79,-5,3.708,0.056,42,"--",26,824,282,3.708
28,"=","JENNIFER HUDSON No One Gonna Love You",789,-13,11,-12,3.748,-0.052,74,"906",25,825,271,3.95
29,"+4","DRAKE Headlines",777,82,533,1,6.523,0.291,6,"2",29,777,533,6.523
30,"=","MAINO Let It Fly (Hands In The Air)",756,-1,30,-3,2.786,0.068,48,"294",28,761,224,3.227
31,"-2","LLOYD Cupid",752,-43,-286,-9,3.348,-0.209,94,"--",7,2694,335,14.796
32,"-1","SEAN GARRETT In Da Box f/Rick Ross",736,2,178,-2,1.853,-0.068,81,"--",31,736,180,3.294
33,"-1","DJ KHALED It Ain't Over f/Mary J. Blige",716,-14,65,-37,3.634,-0.098,26,"--",31,730,239,3.732
34,"=","ACE HOOD Body 2 Body f/Chris Brown",715,34,141,4,3.523,0.113,25,"--",33,715,182,3.523
35,"=","GAME Pot Of Gold f/Chris Brown",673,32,109,24,2.503,-0.029,28,"220",34,673,333,2.532
36,"+1","MEEK MILL I'm A Boss f/Rick Ross",642,27,276,-28,4.156,0.197,11,"--",36,642,319,4.156
37,"-1","J. COLE Workout",642,18,218,-20,2.456,0.01,13,"--",35,642,255,2.456
38,"+2","YOUNG JEEZY Shake Life",580,9,268,-36,2.278,0.036,7,"--",38,580,331,2.278
39,"-1","HAMILTON PARK Thing Called Us",579,-10,-10,-11,2.458,-0.051,34,"--",31,590,182,2.716
40,"-1","VERSE SIMMONDS Boo Thang f/Kelly Rowland",575,-8,25,-12,2.461,-0.004,27,"--",37,583,244,2.465
41,"=","LIL WAYNE John f/Rick Ross",562,10,-60,26,6.448,-0.036,94,"150",14,1723,74,10.408
42,"=","RAY J Bananas",519,11,71,13,2.452,0.074,40,"281",41,519,183,2.452
43,"=","BIG K.R.I.T. Country Sh**",465,-23,-213,17,1.156,-0.044,90,"--",22,907,277,3.22
44,"=","LEDISI Pieces Of Me",461,-10,-34,-4,1.982,-0.031,51,"--",36,522,213,2.199
45,"=","LONNY BEREAL Favor f/Kelly Rowland",453,-5,-8,-15,1.375,0.003,48,"--",42,468,83,1.429
46,"+1","KERI HILSON Lose Control (Let Me Down)",442,9,24,5,1.559,0.026,20,"--",44,450,307,1.638
47,"-1","JAMIE FOXX Best Night Of My Life",422,-24,-62,-40,3.445,-0.08,94,"--",10,2117,311,12.458
48,"+1","LLOYD Dedication To My Ex...",312,28,133,26,1.5,0.065,2,"689",48,312,133,1.5
49,"-1","DIGGY Copy, Paste",306,12,154,-8,2.688,0.129,4,"--",48,306,162,2.688
50,"=","FUTURE Tony Montana",255,-1,-13,-7,1.259,-0.002,9,"--",49,277,41,1.558
