"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","JAY Z & KANYE WEST N***** In Paris",4104,8,-64,31,27.847,-0.102,73,"26",1,4191,624,29.177
2,"=","BEYONCE Party f/Kanye & Andre",3944,56,325,40,25.121,0.383,75,"238",2,3944,708,25.121
3,"=","LIL WAYNE She Will f/Drake",3690,-1,-23,20,26.648,0.033,89,"68",1,4043,954,29.033
4,"=","DRAKE Headlines",3588,-16,4,-26,25.749,0.092,96,"35",1,3923,686,27.599
5,"=","CHRIS BROWN Wet The Bed",3183,-10,-93,26,19.629,-0.189,108,"292",5,3444,405,22.308
6,"=","WALE That Way f/Jeremih & Rick Ross",3135,27,-208,81,23.017,0.044,142,"--",3,3726,421,25.014
7,"=","BIG SEAN Marvin & Chardonnay",2703,-29,-170,28,18.508,-0.372,132,"101",1,3834,552,25.854
8,"=","ACE HOOD Body 2 Body f/Chris Brown",2625,11,51,-21,18.739,0.007,115,"--",8,2640,389,18.801
9,"=","J. COLE Workout",2275,34,265,9,12.906,0.031,103,"40",9,2275,358,12.906
10,"+1","WALE Lotus Flower Bomb f/Miguel",2211,65,371,22,16.107,0.443,30,"--",10,2211,550,16.107
11,"-1","T-PAIN 5 O'clock f/Wiz Khalifa",2200,38,232,-51,12.613,0.145,47,"11",10,2200,382,12.613
12,"=","BIG SEAN Dance (A$$)",1975,55,386,14,14.049,0.659,43,"--",12,1975,386,14.049
13,"=","FUTURE Tony Montana",1901,20,117,21,8.81,0.095,98,"--",12,1909,304,9.23
14,"=","MINDLESS BEHAVIOR Mrs. Right f/Diggy Sim...",1734,-103,-762,-46,10.983,-0.675,111,"189",7,2975,388,18.738
15,"+1","RICK ROSS You The Boss f/Nicki Minaj",1644,75,468,51,11.266,0.548,32,"145",15,1644,468,11.266
16,"+1","ELLE VARNER Only Wannna Give It To You",1578,18,92,1,8.927,0.093,55,"--",16,1578,293,9.032
17,"-2","DRAKE Marvin's Room",1528,-60,-114,-89,12.882,-0.475,138,"113",8,2476,460,19.185
18,"=","JAY Z & KANYE WEST Otis f/Otis Redding",1395,-24,-116,9,12.268,-0.197,113,"134",1,3830,1048,24.559
19,"=","BEI MAEJOR Trouble f/J. Cole",1367,29,178,19,6.758,0.069,65,"232",19,1367,186,6.758
20,"=","MEEK MILL I'm A Boss f/Rick Ross",1297,-13,-177,17,6.653,0.035,101,"378",12,1825,319,9.763
21,"=","T.I. I'm Flexin f/Big K.R.I.T.",1219,-10,10,-20,6.895,-0.034,36,"456",20,1237,420,6.986
22,"+1","DRAKE Make Me Proud f/Nicki Minaj",1143,67,277,39,7.754,0.204,19,"38",22,1143,363,7.754
23,"-1","MIGUEL Quickie",1137,-63,-396,-28,8.108,-0.398,149,"573",1,3628,553,23.786
24,"+1","MONICA Until It's Gone",1064,26,185,-3,5.623,0.083,34,"873",24,1064,276,5.623
25,"-1","VERSE SIMMONDS Boo Thang f/Kelly Rowland",1061,15,-91,29,4.66,-0.062,117,"--",21,1233,244,5.463
26,"=","RED CAFE Fly Together f/Rick Ross",1054,18,162,9,4.862,0.012,57,"539",26,1054,259,4.862
27,"=","BIRDMAN Y.U. Mad f/Nicki Minaj",1039,10,-35,18,3.867,-0.05,50,"--",24,1082,386,4.484
28,"+1","MELANIE FIONA 4 AM",916,1,47,2,3.893,-0.102,72,"574",26,916,209,3.995
29,"+1","WAKA FLOCKA FLAME Round Of Applause f/Dr...",902,40,285,-5,5.677,0.189,22,"406",29,902,290,5.677
30,"-2","NICKI MINAJ Fly f/Rihanna",858,-59,-328,-31,5.44,-0.35,70,"45",18,1352,389,9.546
31,"=","PHYLLISIA I Love You f/Yung Joc",849,-2,6,-15,2.764,-0.032,68,"--",28,873,176,3.048
32,"=","MARIO The Walls f/Fabolous",784,-7,-11,-48,3.628,0.052,41,"--",31,819,271,3.628
33,"=","ROSCOE DASH Good Good Night",741,9,65,-12,3.248,0.049,51,"172",33,741,207,3.248
34,"+2","KIRKO BANGZ Drank In My Cup",686,9,70,7,2.679,-0.035,38,"--",34,686,196,2.772
35,"-1","MARSHA AMBROSIUS Late Nights & Early Mor...",682,-5,-53,32,3.931,0.03,86,"--",22,1099,288,6.294
36,"-1","2 CHAINZ Spend It",678,-4,33,7,3.795,0.093,91,"--",34,682,111,4.116
37,"=","JACOB LATIMORE Like 'Em All f/Issa",665,11,16,-8,2.813,0.096,44,"--",34,684,242,2.813
38,"=","J. COLE Can't Get Enough f/Trey Songz",628,32,195,4,4.819,0.241,12,"--",38,628,195,4.819
39,"=","BEYONCE Countdown",601,22,66,-2,5.234,0.107,27,"89",38,601,141,5.234
40,"=","J. DASH WOP",533,11,27,9,1.298,0.007,66,"270",36,561,135,1.348
41,"=","HAMILTON PARK Thing Called Us",492,-6,-77,-12,1.569,-0.05,124,"--",22,1024,182,3.794
42,"=","YOUNG JEEZY F.A.M.E. f/T.I.",486,2,25,4,2.329,-0.071,28,"--",42,486,280,2.54
43,"+1","B.O.B Strange Clouds f/Lil Wayne",447,21,108,-2,2.632,0.138,8,"84",43,447,119,2.632
44,"-1","ESTELLE Thank You",445,5,68,3,2.088,-0.025,15,"504",43,445,84,2.294
45,"+1","LIL WAYNE Mirror f/Bruno Mars",413,25,283,-10,1.318,0.058,4,"264",45,413,293,1.318
46,"+3","MARY J. BLIGE Mr. Wrong",372,42,230,18,3.758,0.259,2,"200",46,372,230,3.758
47,"=","TYGA Still Got It f/Drake",343,3,18,5,1.284,-0.082,13,"611",46,347,211,1.598
48,"-3","TYRESE Too Easy f/Ludacris",339,-51,-326,-25,1.089,-0.135,76,"--",24,1026,309,5.348
49,"+1","MR SIPP Goin' Ham f/Future",337,9,58,8,0.583,-0.012,4,"--",49,337,68,0.609
50,"-2","YO GOTTI Single",328,-6,-13,-8,1.312,-0.065,11,"401",46,351,91,1.466
