"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KELLY ROWLAND Motivation f/Lil Wayne",4546,-6,174,-21,33.583,0.055,29,1,4588,741,33.687
2,"=","MIGUEL Sure Thing",4089,-15,270,24,29.835,-0.026,29,1,4364,460,30.251
3,"=","BIG SEAN My Last f/Chris Brown",3511,3,289,-52,23.908,-0.246,29,3,3511,461,24.154
4,"=","CHRIS BROWN She Ain't You",3402,17,529,-49,23.816,-0.094,29,4,3402,630,23.91
5,"=","MARSHA AMBROSIUS Far Away",3061,9,334,3,19.727,-0.089,29,5,3066,397,19.884
6,"=","CHRIS BROWN Look At Me Now",2805,-11,-63,2,21.385,-0.09,29,2,3494,0,26.238
7,"=","DJ KHALED I'm On One f/Drake, Rick Ross",2631,106,934,-21,19.371,0.503,23,7,2631,955,19.371
8,"=","ACE HOOD Hustle Hard",2328,-6,-17,13,13.899,0.1,29,7,2503,97,14.627
9,"=","YC Racks f/Future",2189,-44,-359,5,11.111,-0.175,29,4,3411,104,19.707
10,"=","LLOYD Cupid",2138,-2,127,-6,12.592,-0.082,29,10,2145,195,12.674
11,"=","JAMIE FOXX Best Night Of My Life",2054,10,186,-25,11.976,0.03,29,11,2054,311,11.976
12,"=","NICKI MINAJ Did It On'em",1997,-20,-118,7,10.44,0.066,29,5,3129,0,17.338
13,"=","KANYE WEST All Of The Lights",1935,-38,-49,-38,15.048,-0.174,29,7,2818,0,21.956
14,"=","TREY SONGZ Unusual f/Drake",1903,38,399,10,14.264,0.066,29,14,1903,477,14.264
15,"=","KERI HILSON One Night Stand",1750,-15,69,-13,9.419,-0.116,29,14,1779,229,9.642
16,"=","WIZ KHALIFA Roll Up",1545,-35,-252,35,8.961,-0.104,29,6,3062,0,16.439
17,"+1","MARY J. BLIGE Someone To Love Me (Naked)",1393,-12,-29,-28,6.924,-0.062,29,17,1422,100,7.848
18,"-1","DIDDY-DIRTY MONEY Your Love f/Trey Songz",1348,-90,-517,-55,5.808,-0.393,29,12,2053,94,9.345
19,"=","LIL WAYNE John f/Rick Ross",1303,-27,-177,-6,8.577,-0.158,29,14,1723,37,10.408
20,"+1","YOUNG JEEZY Ballin f/Lil Wayne",1255,35,161,10,6.923,0.076,29,20,1255,359,6.923
21,"-1","BEYONCE Run The World (Girls)",1232,-66,-352,-54,4.957,-0.354,29,16,1686,271,9.235
22,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1153,32,236,23,7.754,-0.01,29,22,1153,236,7.975
23,"=","MEEK MILL/RICK ROSS Tupac Back",1137,22,103,-1,5.543,-0.074,29,23,1137,380,5.962
24,"=","TRAVIS PORTER Bring It Back",1115,11,-9,-2,6.335,0.001,29,22,1288,3,7.626
