"Title","Artist","Spins"
"Wide Awake","KATY PERRY",13982
"Lights","ELLIE GOULDING",13345
"Where Have You Been","RIHANNA",12675
"Payphone f/Wiz Khali...","MAROON 5",12575
"Call Me Maybe","CARLY RAE JEPSEN",11207
"Titanium f/Sia","DAVID GUETTA",9711
"Scream","USHER",9585
"Somebody That I Used...","GOTYE",8199
"Let's Go f/Ne-Yo","CALVIN HARRIS",8136
"Give Your Heart A Br...","DEMI LOVATO",7530
"Blow Me (One Last Ki...","PINK",6557
"Want U Back","CHER LLOYD",6259
"Whistle","FLO RIDA",5931
"We Run The Night f/P...","HAVANA BROWN",5458
"Good Time","OWL CITY & CARLY RAE...",5330
"One Thing","ONE DIRECTION",5159
"Chasing The Sun","THE WANTED",4221
"Everybody Talks","NEON TREES",3561
"As Long As You Love ...","JUSTIN BIEBER",3003
"Tongue Tied","GROUPLOVE",2657
"Dark Side","KELLY CLARKSON",2656
"I Won't Give Up","JASON MRAZ",2362
"Fighter f/Ryan Tedde...","GYM CLASS HEROES",2335
"Settle Down","NO DOUBT",2237
"Now Or Never","OUTASIGHT",2084
"Some Nights","FUN.",2077
"Back In Time","PITBULL",2061
"One More Night","MAROON 5",1892
"Too Close","ALEX CLARE",1872
"Pound The Alarm","NICKI MINAJ",1829
"Boyfriend","JUSTIN BIEBER",1765
"How We Do (Party)","RITA ORA",1636
"Both Of Us f/Taylor ...","B.O.B",1419
"Rumour Has It","ADELE",1117
"Burn It Down","LINKIN PARK",1055
"Don't Wake Me Up","CHRIS BROWN",1039
"Heart Skips A Beat","OLLY MURS",989
"Only One","SAMMY ADAMS",978
"She's So Mean","MATCHBOX TWENTY",963
"Hurt Me Tomorrow","K'NAAN",952
"Get It Started f/Sha...","PITBULL",597
"Can't Stop Me","AFROJACK & SHERMANOL...",596
"Primadonna","MARINA AND THE DIAMO...",555
"Cashin' Out","CA$H OUT",549
"Back 2 Life (Live It...","SEAN KINGSTON",511
"Goin' In f/Flo Rida","JENNIFER LOPEZ",502
"Trouble","CHRIS RENE",408
"Home","PHILLIP PHILLIPS",388
"Work Hard, Play Hard","WIZ KHALIFA",387
"Vegas Girl","CONOR MAYNARD",382
