"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",13773,-95,34,-345,92.414,-0.675,112,7,1,14238,2184,95.593
2,"=","BRUNO MARS It Will Rain",13508,-20,580,-291,85.966,-0.247,104,9,2,13528,2024,86.477
3,"=","KATY PERRY The One That Got Away",13338,-49,508,-345,80.413,-0.21,100,14,2,13387,1631,80.623
4,"=","FLO RIDA Good Feeling",12243,165,1548,-109,80.797,1.349,112,2,4,12243,1657,80.797
5,"=","LMFAO Sexy And I Know It",9458,-155,-765,-149,60.861,-0.845,141,4,2,12000,1530,74.768
6,"+1","SELENA GOMEZ & THE SCENE Love You Like A...",8720,107,1101,-107,45.25,0.491,145,28,6,8720,1208,45.25
7,"-1","DAVID GUETTA Without You f/Usher",8670,-197,-627,-295,53.389,-1.195,141,32,1,13428,1586,84.476
8,"=","ADELE Set Fire To The Rain",8484,199,2085,-216,55.85,1.232,51,1,8,8484,2301,55.85
9,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",7085,-21,-806,0,43.782,-0.884,200,23,1,13951,1685,86.013
10,"=","JESSIE J Domino",7010,221,1390,17,41.872,1.188,121,11,10,7010,1390,41.872
11,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5868,-67,-567,15,37.293,-0.181,190,20,1,14127,1893,93.336
12,"=","GAVIN DEGRAW Not Over You",5649,70,415,-74,28.623,0.373,143,18,12,5649,547,28.623
13,"=","J. COLE Workout",5329,52,417,-85,34.021,-0.061,83,21,13,5329,659,34.109
14,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",5137,-119,-685,-95,32.145,-0.831,215,45,4,11548,1097,70.438
15,"=","T-PAIN 5 O'clock f/Wiz Khalifa",4697,-224,-1183,-271,21.603,-1.208,99,33,10,6640,1264,34.118
16,"=","DRAKE Headlines",4556,-55,-147,-127,26.536,-0.623,91,39,16,4778,754,30.781
17,"+2","JAY Z & KANYE WEST N***** In Paris",4520,-12,474,-189,33.686,0.259,70,10,17,4532,785,33.686
18,"-1","ADELE Someone Like You",4507,-88,-1008,-70,32.822,-0.557,161,17,2,13563,2614,91.686
19,"-1","LADY GAGA Marry The Night",4450,-131,-562,-150,23.989,-0.884,67,54,14,5499,1570,30.701
20,"=","RIHANNA You Da One",4411,2,283,-96,24.973,-0.066,65,27,19,4411,3394,36.963
21,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",4316,106,1396,-247,27.776,0.959,35,3,21,4316,1674,27.776
22,"+1","HOT CHELLE RAE I Like It Like That f/New...",4272,84,630,-9,20.555,0.473,107,29,22,4272,639,20.555
23,"-2","BREATHE CAROLINA Blackout",4257,18,189,-116,23.078,0.252,143,34,21,4257,498,23.078
