"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",14592,-32,-188,-88,96.586,-0.159,2,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",12998,94,647,-68,81.972,0.034,2,2,12998,715,81.972
3,"=","BRITNEY SPEARS Till The World Ends",11367,107,928,-38,73.518,1.236,2,3,11367,966,73.518
4,"+2","ADELE Rolling In The Deep",10088,303,2205,-68,68.202,1.911,2,4,10088,2273,68.202
5,"-1","KE$HA Blow",9859,-276,-962,-250,54.634,-1.63,2,4,10135,0,56.264
6,"-1","RIHANNA S&M",9724,-357,-1920,-157,62.493,-2.031,2,5,10081,0,64.524
7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9567,51,590,-78,62.323,0.098,2,7,9567,668,62.323
8,"=","TINIE TEMPAH Written In The Stars",8398,113,756,20,51.781,1.201,2,8,8398,756,51.781
9,"=","BRUNO MARS Lazy Song",8358,102,730,-56,48.909,0.692,2,9,8358,786,48.909
10,"=","JEREMIH Down On Me f/50 Cent",8052,1,112,-41,43.767,-0.433,2,10,8052,153,44.2
11,"+1","THE SCRIPT For The First Time",5840,81,292,1,33.378,-0.247,2,11,5840,292,33.625
12,"-1","CEE LO GREEN F**k You (Forget You)",5725,-105,-1388,62,32.107,-0.758,2,11,5830,0,32.865
13,"=","JESSIE J Price Tag f/B.O.B",5595,42,518,-64,29.975,0.062,2,13,5595,582,29.975
14,"=","PINK F**kin' Perfect (Perfect)",5298,-96,-481,-30,27.477,-0.509,2,14,5394,0,27.986
15,"+1","PITBULL Give Me Everything f/Ne-Yo",4768,168,1092,7,36.401,1.126,2,15,4768,1092,36.401
16,"-1","LADY GAGA Judas",4583,-218,-350,-201,25.17,-2.062,2,15,4801,0,27.232
17,"=","LUPE FIASCO The Show Goes On",4132,79,723,-63,27.378,0.509,2,17,4132,786,27.378
18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3671,19,275,-56,18.579,0.288,2,18,3671,331,18.579
19,"=","LADY GAGA Born This Way",3542,-109,-755,-55,19.644,-0.792,2,19,3651,0,20.436
20,"=","DR. DRE I Need A Doctor f/Eminem",3372,-149,-415,-148,20.686,-1.247,2,20,3521,0,21.933
21,"=","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",3226,2,127,5,13.65,-0.094,2,21,3226,127,13.744
22,"=","SELENA GOMEZ & THE SCENE Who Says",3037,77,513,-28,17.186,0.373,2,22,3037,541,17.186
23,"=","WIZ KHALIFA Roll Up",2983,33,647,-78,15.245,-0.058,2,23,2983,725,15.303
24,"=","AVRIL LAVIGNE What The Hell",2771,-132,-1087,-10,13.39,-0.486,2,24,2903,0,13.876
25,"=","HOT CHELLE RAE Tonight Tonight",2608,78,450,20,11.143,0.432,2,25,2608,450,11.143
26,"=","ONEREPUBLIC Good Life",2501,93,455,-1,11.921,0.429,2,26,2501,456,11.921
27,"+1","MARTIN SOLVEIG & DRAGONETTE Hello",2434,68,548,-12,17.253,0.59,2,27,2434,560,17.253
28,"-1","LMFAO Party Rock Anthem",2410,42,339,-5,14.25,0.572,2,27,2410,344,14.25
29,"+1","MY CHEMICAL ROMANCE Sing",1995,-14,-50,1,7.96,-0.035,2,29,2009,0,7.995
30,"-1","NICKI MINAJ Moment 4 Life f/Drake",1948,-88,-1361,181,12.883,-0.681,2,29,2036,0,13.564
31,"=","TAYLOR SWIFT The Story Of Us",1917,26,247,-44,10.035,0.236,2,31,1917,291,10.035
32,"=","BIG TIME RUSH Boyfriend",1878,15,197,14,6.89,0.218,2,32,1878,197,6.89
33,"=","CHRIS BROWN Look At Me Now",1680,-4,188,-41,11.768,0.31,2,33,1684,229,11.768
34,"+1","SHONTELLE Say Hello To Goodbye",1352,13,117,-25,3.912,0.082,2,34,1352,142,3.912
35,"-1","THIRTY SECONDS TO MARS Closer To The Edg...",1300,-90,-258,-76,4.507,-0.322,2,34,1390,0,4.829
36,"=","BEYONCE Run The World (Girls)",1283,-2,179,-63,5.187,-0.169,2,36,1285,242,5.356
37,"+1","BRITNEY SPEARS Hold It Against Me",1161,6,-115,38,8.927,0.046,2,37,1161,0,8.927
38,"-1","KANYE WEST All Of The Lights",1157,0,55,-16,7.3,0.001,2,37,1157,71,7.3
39,"=","CHRISTINA PERRI Jar Of Hearts",951,-14,-193,-8,4.492,-0.204,2,39,965,0,4.696
40,"=","MAROON 5 Never Gonna Leave This Bed",912,38,276,-36,3.535,0.065,2,40,912,312,3.535
41,"=","THE READY SET Young Forever",859,-14,14,-40,2.201,-0.094,2,41,873,54,2.295
42,"+6","LADY GAGA The Edge Of Glory",789,266,789,266,8.032,2.325,2,42,789,789,8.032
43,"+1","NICKI MINAJ Super Bass",761,91,492,56,5.962,0.453,2,43,761,492,5.962
44,"-1","NEON TREES Your Surrender",686,10,141,-32,1.666,0.04,2,43,686,173,1.666
45,"-3","KERI HILSON Pretty Girl Rock",667,-24,-375,45,3.044,-0.144,2,42,691,0,3.188
46,"-1","FAR EAST MOVEMENT If I Was You (OMG) f/S...",640,8,108,1,2.123,-0.078,2,45,640,108,2.201
47,"-1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",615,60,437,29,2.527,0.385,2,46,615,437,2.527
48,"-1","T-PAIN Best Love Song f/Chris Brown",529,-15,28,-26,2.289,-0.114,2,47,544,54,2.403
49,"=","THE BAND PERRY If I Die Young",507,16,101,12,1.813,0.041,2,49,507,101,1.813
50,"=","ISQUARE Hey Sexy Lady",462,-18,-50,-32,1.077,-0.042,2,50,480,0,1.119
