"Title","Artist","Spins"
"The Monster f/Rih...","EMINEM",15522
"Counting Stars","ONEREPUBLIC",15147
"Timber f/Ke$ha","PITBULL",14799
"Demons","IMAGINE DRAGONS",12791
"Wake Me Up","AVICII",9478
"Stay The Night f/...","ZEDD",9443
"Burn","ELLIE GOULDING",8938
"Do What U Want f/...","LADY GAGA",8789
"Let Her Go","PASSENGER",8176
"Story Of My Life","ONE DIRECTION",8100
"Sweater Weather","NEIGHBOURHOOD",8049
"White Walls f/ScH...","MACKLEMORE & RYAN...",6664
"Royals","LORDE",6638
"Wrecking Ball","MILEY CYRUS",6597
"Team","LORDE",6118
"Say Something w/C...","A GREAT BIG WORLD",5825
"Dark Horse","KATY PERRY",5775
"Hold On We're Goi...","DRAKE",5575
"Pompeii","BASTILLE",4817
"Roar","KATY PERRY",4451
"Applause","LADY GAGA",4091
"Love Me Again","JOHN NEWMAN",4048
"Unconditionally","KATY PERRY",3154
"Replay","ZENDAYA",3001
"Alone Together","FALL OUT BOY",2991
"Young Girls","BRUNO MARS",2944
"XO","BEYONCE",2872
"Brave","SARA BAREILLES",2835
"Perfume","BRITNEY SPEARS",2829
"How I Feel","FLO RIDA",2620
"Slow Down","SELENA GOMEZ",2504
"Thinking About Yo...","CALVIN HARRIS",2095
"Neon Lights","DEMI LOVATO",2029
"TKO","JUSTIN TIMBERLAKE",1979
"Marry Me","JASON DERULO",1864
"Chocolate","THE 1975",1555
"Hey Brother","AVICII",1395
"Take Me Home f/Be...","CASH CASH",1342
"Old School Love f...","LUPE FIASCO",1303
"Adore You","MILEY CYRUS",1279
"Best Day Of My Li...","AMERICAN AUTHORS",1230
"Keep Me Crazy","CHRIS WALLACE",997
"Harlem","NEW POLITICS",970
"Classic","MKTO",896
"Talk Dirty f/2 Ch...","JASON DERULO",794
"Animals","MARTIN GARRIX",691
"Pumpin Blood","NONONO",663
"Love More f/Nicki...","CHRIS BROWN",593
"Collide","JAKE MILLER",586
"Feel Good","ROBIN THICKE",534
