"Title","Artist","Spins"
"Stay f/Mikky Ekko","RIHANNA",15431
"When I Was Your M...","BRUNO MARS",15136
"Feel This Moment","PITBULL",12803
"Just Give Me A Re...","PINK",12770
"Suit & Tie f/JAY ...","JUSTIN TIMBERLAKE",10452
"Thrift Shop f/Wan...","MACKLEMORE & RYAN...",10093
"Daylight","MAROON 5",9064
"Heart Attack","DEMI LOVATO",8613
"Mirrors","JUSTIN TIMBERLAKE",7929
"Troublemaker f/Fl...","OLLY MURS",7667
"I Love It f/Charl...","ICONA POP",7452
"Sweet Nothing f/F...","CALVIN HARRIS",7394
"Alive","KREWELLA",7307
"Can't Hold Us f/R...","MACKLEMORE & RYAN...",7031
"Don't You Worry C...","SWEDISH HOUSE MAF...",6589
"22","TAYLOR SWIFT",6340
"I Knew You Were T...","TAYLOR SWIFT",6149
"My Songs Know Wha...","FALL OUT BOY",5205
"Carry On","FUN.",4820
"Scream And Shout","WILL.I.AM & BRITN...",4757
"All Around The Wo...","JUSTIN BIEBER",4724
"#thatpower","WILL.I.AM F/JUSTI...",4641
"I Will Wait","MUMFORD & SONS",4101
"Next To Me","EMELI SANDE",3429
"Little Talks","OF MONSTERS AND M...",3397
"Madness","MUSE",3220
"Come & Get It","SELENA GOMEZ",3042
"Cruise","FLORIDA-GEORGIA L...",2776
"The Way f/Mac Mil...","ARIANA GRANDE",2534
"Here's To Never G...","AVRIL LAVIGNE",2486
"Wings","LITTLE MIX",2428
"Clarity f/Foxes","ZEDD",1800
"Lego House","ED SHEERAN",1382
"I Need Your Love","CALVIN HARRIS F/E...",1356
"Tonight I'm Getti...","CARLY RAE JEPSEN",1355
"I Could Be The On...","AVICII VS NICKY R...",1196
"With Ur Love f/Ju...","CHER LLOYD",1060
"As Your Friend","AFROJACK & CHRIS ...",1049
"Hung Up","HOT CHELLE RAE",975
"Radioactive","IMAGINE DRAGONS",961
"Glowing","NIKKI WILLIAMS",856
"Cups (Pitch Perfe...","ANNA KENDRICK",843
"Thank You","MKTO",814
"Started From The ...","DRAKE",742
"Battle Scars f/Gu...","LUPE FIASCO",655
"Pour It Up","RIHANNA",643
"The Other Side","JASON DERULO",638
"If I Lose Myself","ONEREPUBLIC",597
"Crickets f/Jeremi...","DROP CITY YACHT C...",596
"Fine China","CHRIS BROWN",482
