"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY Last Friday Night (T.G.I.F.)",14776,161,978,71,94.788,1.923,66,"3",1,14776,2322,94.788
2,"=","LMFAO Party Rock Anthem",13980,27,29,-26,93.742,0.59,83,"1/94",1,14013,1859,93.742
3,"=","PITBULL Give Me Everything f/Ne-Yo",12716,-79,-648,28,84.78,-0.368,83,"9",1,14233,1811,95.596
4,"=","NICKI MINAJ Super Bass",10392,107,862,-111,64.692,0.927,83,"8",4,10392,1188,64.692
5,"=","LADY GAGA The Edge Of Glory",9908,-65,-582,112,61.852,-0.269,83,"14",3,11672,2193,68.045
6,"=","ONEREPUBLIC Good Life",9292,75,621,-61,51.645,0.48,83,"12",6,9292,978,51.645
7,"+1","BRITNEY SPEARS I Wanna Go",9054,224,1254,38,62.003,1.778,49,"7",7,9054,1768,62.003
8,"-1","HOT CHELLE RAE Tonight Tonight",8980,121,587,1,47.171,0.664,83,"4",7,8980,838,47.171
9,"=","ADELE Rolling In The Deep",8248,-107,-1659,170,56.366,-1.281,83,"10",1,14295,2273,96.15
10,"=","LIL WAYNE How To Love",6555,141,910,-48,38.205,0.935,58,"5",10,6555,1328,38.205
11,"+3","BAD MEETS EVIL Lighters f/Bruno Mars",5442,170,1186,3,34.342,1.2,37,"2/78",11,5442,1450,34.342
12,"=","BLACK EYED PEAS Just Can't Get Enough",5427,-54,-466,66,37.572,-0.412,83,"48",2,13366,715,84.474
13,"-2","LUPE FIASCO The Show Goes On",5343,-172,-1302,28,29.732,-1.29,83,"50",6,8825,1043,53.459
14,"-1","JASON DERULO Don't Wanna Go Home",5080,-263,-1744,-119,25.34,-1.551,81,"31",9,7292,1463,37.775
15,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",5077,64,321,-19,26.14,0.412,83,"27",15,5077,615,26.14
16,"=","KATY PERRY E.T.",4915,-19,-733,180,34.489,0.224,83,"65",1,14624,0,96.745
17,"=","THE BAND PERRY If I Die Young",4618,-8,145,-53,24.722,0.041,83,"13",17,4626,655,24.722
18,"=","BEYONCE Best Thing I Never Had",4477,46,191,35,22.016,0.28,55,"19",18,4477,856,22.016
19,"=","CHRIS BROWN She Ain't You",4001,71,509,12,20.904,0.443,72,"52",19,4001,635,20.904
20,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",3437,62,315,0,18.894,0.195,58,"47",20,3437,611,18.894
21,"+1","COBRA STARSHIP You Make Me Feel... f/Sab...",3106,148,715,63,16.559,0.701,49,"22",21,3106,715,16.559
22,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",3078,154,937,43,15.749,0.894,24,"11",22,3078,951,15.749
23,"-2","NICOLE SCHERZINGER Right There",2710,-278,-1495,-227,11.648,-1.134,67,"39",16,4411,720,21.085
24,"=","PITBULL Rain Over Me",2493,73,780,-33,16.429,0.071,23,"33",24,2493,813,16.429
25,"+1","FOSTER THE PEOPLE Pumped Up Kicks",2195,163,861,84,14.524,1.255,19,"6",25,2195,861,14.524
26,"-1","BLACK EYED PEAS Don't Stop The Party",2186,31,425,-42,7.974,0.11,31,"146",25,2186,492,7.974
27,"+1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",2114,110,597,43,11.692,0.499,34,"25",27,2114,597,11.692
28,"-1","AVRIL LAVIGNE Smile",2037,15,140,3,8.142,-0.034,65,"57",27,2037,320,8.176
29,"=","IYAZ Pretty Girls",1993,18,211,-29,8.377,0.132,58,"71",28,1993,353,8.377
30,"+1","COLDPLAY Every Teardrop Is A Waterfall",1765,22,180,3,8.703,0.028,38,"43",30,1765,446,8.703
