"Title","Artist","Spins"
"One More Night","MAROON 5",14084
"Die Young","KE$HA",13948
"Some Nights","FUN.",12687
"Too Close","ALEX CLARE",11502
"Let Me Love You","NE-YO",11049
"Diamonds","RIHANNA",10386
"Locked Out Of Heaven","BRUNO MARS",10196
"We Are Never Ever Ge...","TAYLOR SWIFT",10064
"Don't Wake Me Up","CHRIS BROWN",9965
"As Long As You Love ...","JUSTIN BIEBER",7947
"I Cry","FLO RIDA",7428
"Home","PHILLIP PHILLIPS",6421
"Blow Me (One Last Ki...","PINK",6035
"Va Va Voom","NICKI MINAJ",5552
"Beauty And A Beat f/...","JUSTIN BIEBER",5137
"Finally Found You f/...","ENRIQUE IGLESIAS",4851
"Ho Hey","LUMINEERS",4747
"The A Team","ED SHEERAN",4553
"Feel Again","ONEREPUBLIC",4100
"Gangnam Style","PSY",3723
"Don't You Worry Chil...","SWEDISH HOUSE MAFIA",3715
"Try","PINK",3688
"50 Ways To Say Goodb...","TRAIN",3087
"Live While We're You...","ONE DIRECTION",2858
"Hall Of Fame f/will....","THE SCRIPT",2845
"Don't Stop The Party","PITBULL",2816
"Anything Could Happe...","ELLIE GOULDING",2328
"Ready Or Not","BRIDGIT MENDLER",2320
"It's Time","IMAGINE DRAGONS",1907
"Catch My Breath","KELLY CLARKSON",1862
"Oath f/Becky G","CHER LLOYD",1748
"Remember When (Push ...","CHRIS WALLACE",1373
"Girl On Fire","ALICIA KEYS",1320
"Wanted","HUNTER HAYES",1301
"Bad For Me","MEGAN & LIZ",1276
"Rest Of My Life","LUDACRIS F/USHER/DAV...",1122
"This Kiss","CARLY RAE JEPSEN",1117
"2 Reasons f/T.I.","TREY SONGZ",1088
"Adorn","MIGUEL",1056
"Give Me Your Hand","THE READY SET",987
"Sweet Nothing f/Flor...","CALVIN HARRIS",950
"R.I.P. f/Tinie Tempa...","RITA ORA",853
"I Found You","THE WANTED",842
"Turn Around f/Ne-Yo","CONOR MAYNARD",647
"Little Talks","OF MONSTERS AND MEN",551
"Thrift Shop f/Wanz","MACKLEMORE & RYAN LE...",507
"Little Things","ONE DIRECTION",489
"Be Your Everything","BOYS LIKE GIRLS",482
"Clique f/Big Sean & ...","KANYE WEST",460
"I Knew You Were Trou...","TAYLOR SWIFT",411
