"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY Last Friday Night (T.G.I.F.)",13615,-58,-469,24,80.866,-0.204,94,"23",1,14935,2322,96.531
2,"=","BRITNEY SPEARS I Wanna Go",12824,49,447,-85,82.045,0.123,77,"21",2,12824,1768,82.123
3,"+1","NICKI MINAJ Super Bass",11920,16,32,7,73.1,0.47,111,"16",3,12009,1188,73.1
4,"-1","LMFAO Party Rock Anthem",11868,-91,-488,-2,80.906,-0.434,111,"10",1,14043,1859,94.193
5,"=","BAD MEETS EVIL Lighters f/Bruno Mars",10087,74,729,-124,63.232,0.668,65,"12",5,10087,1599,63.232
6,"=","HOT CHELLE RAE Tonight Tonight",9613,-97,-424,-133,52.556,-0.454,111,"20",5,10036,838,54.593
7,"=","ONEREPUBLIC Good Life",9183,-62,-346,-20,54.608,-0.739,111,"19",6,9571,978,57.364
8,"=","PITBULL Give Me Everything f/Ne-Yo",8832,-77,-524,118,65.073,-0.118,111,"14",1,14233,1811,95.596
9,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",8188,250,1413,41,49.277,1.516,52,"4",9,8188,1684,49.277
10,"=","LIL WAYNE How To Love",7904,18,-108,53,42.631,-0.155,86,"17",9,8047,1328,45.275
11,"=","FOSTER THE PEOPLE Pumped Up Kicks",6512,140,1004,-17,37.506,0.634,47,"2",11,6512,1302,37.506
12,"=","RIHANNA Cheers (Drink To That)",6279,128,788,-31,37.082,0.755,33,"8",12,6279,1594,37.082
13,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",6262,111,748,-21,35.096,0.959,77,"7",12,6262,1017,35.096
14,"=","THE BAND PERRY If I Die Young",5908,-13,-120,11,31.901,0.132,111,"22",11,6052,768,32.397
15,"=","LADY GAGA The Edge Of Glory",5480,-118,-784,16,30.992,-1.277,111,"50",3,11672,2193,68.045
16,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",5409,162,818,24,31.685,1.099,62,"9",16,5409,1014,31.685
17,"=","LADY GAGA You And I",4243,259,1532,63,25.629,1.754,21,"3",17,4243,1553,25.629
18,"=","IYAZ Pretty Girls",3932,79,634,-25,18.947,0.6,86,"64",18,3932,659,18.947
19,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3262,-365,-1943,-312,14.613,-2.219,111,"63",12,5432,615,27.03
20,"=","PITBULL Rain Over Me",3054,-80,-329,-60,13.921,-0.613,51,"51",20,3403,813,19.382
21,"=","DEV In The Dark",2766,140,886,29,21.486,1.118,32,"58",21,2766,886,21.486
22,"=","KELLY ROWLAND Motivation f/Lil Wayne",2559,41,296,-9,12.911,0.285,56,"68",22,2559,415,12.911
23,"+1","ADELE Someone Like You",2390,167,936,69,13.16,0.911,23,"1",23,2390,936,13.16
24,"+2","THE SCRIPT Nothing",2256,122,485,92,11.048,0.689,31,"66",24,2256,722,11.048
25,"=","ANDY GRAMMER Keep Your Head Up",2226,45,341,6,8.676,0.142,65,"99",25,2226,341,8.676
