"Title","Artist","Spins"
"Uptown Funk f/Bruno Mars","MARK RONSON",18248
"Thinking Out Loud","ED SHEERAN",16901
"Take Me To Church","HOZIER",14230
"Lips Are Movin","MEGHAN TRAINOR",13338
"Blank Space","TAYLOR SWIFT",11536
"Style","TAYLOR SWIFT",11153
"Time Of Our Lives f/Ne-Yo","PITBULL",10659
"Prayer In C","LILLYWOOD & ROBIN SCHULZ",9539
"Sugar","MAROON 5",9396
"I'm Not The Only One","SAM SMITH",8056
"FourFiveSeconds","RIHANNA/KANYE WEST/P MCCARTNEY",7882
"Ghost","ELLA HENDERSON",7827
"Centuries","FALL OUT BOY",7567
"Outside f/Ellie Goulding","CALVIN HARRIS",6279
"Love Me Like You Do","ELLIE GOULDING",6042
"Love Me Harder","ARIANA GRANDE & THE WEEKND",5390
"Night Changes","ONE DIRECTION",5052
"I Don't Mind f/Juicy J","USHER",4890
"She Knows f/Juicy J","NE-YO",3929
"The Heart Wants What It Wants","SELENA GOMEZ",3901
"Stuck On A Feeling f/Snoop...","PRINCE ROYCE",3755
"Heartbeat Song","KELLY CLARKSON",3725
"Chains","NICK JONAS",3621
"Somebody f/Jeremih","NATALIE LA ROSE",3544
"I Lived","ONEREPUBLIC",3453
"Riptide","VANCE JOY",2769
"One Last Time","ARIANA GRANDE",2443
"Talking Body","TOVE LO",2002
"Truffle Butter f/Drake...","NICKI MINAJ",1818
"Nobody Love","TORI KELLY",1778
"GDFR f/Sage The Gemini","FLO RIDA",1750
"Masterpiece","JESSIE J",1727
"I Bet My Life","IMAGINE DRAGONS",1469
"Lay Me Down","SAM SMITH",1362
"Tuesday f/Drake","I LOVE MAKONNEN",1117
"Bright","ECHOSMITH",996
"Weekend","PRIORY",961
"Living For Love","MADONNA",767
"All About It f/Ed Sheeran","HOODIE ALLEN",758
"Can't Stop Dancin'","BECKY G",731
"Surrender","CASH CASH",729
"Wrapped Up f/Travie McCoy","OLLY MURS",707
"Only One f/Paul McCartney","KANYE WEST",670
"Sledgehammer","FIFTH HARMONY",656
"The Hanging Tree f/J. Lawrence","JAMES NEWTON HOWARD",646
"Shut Up And Dance","WALK THE MOON",595
"Goodbye","WHO IS FANCY",583
"I'm An Albatraoz","ARONCHUPA",499
"Trouble f/Jennifer Hudson","IGGY AZALEA",469
"Ayo","CHRIS BROWN & TYGA",435
